batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.085509,25.180309
0,mae,0,0.075,5.832154,24.552429
0,mae,0,0.1,5.846334,24.219009
0,mae,0,0.15,6.395174,23.159065
0,mse,0,0.05,3.715457,36.291225
0,mse,0,0.075,3.616675,34.995739
0,mse,0,0.1,3.609261,34.309284
0,mse,0,0.15,4.049278,31.806217
0,mae,1,0.05,6.33527,25.631569
0,mae,1,0.075,6.520182,24.931053
0,mae,1,0.1,6.389621,24.286591
0,mae,1,0.15,6.904325,23.278683
0,mse,1,0.05,3.965327,37.444302
0,mse,1,0.075,4.291814,35.779961
0,mse,1,0.1,4.212656,34.273094
0,mse,1,0.15,4.55388,32.028004
0,mae,2,0.05,7.24393,25.062601
0,mae,2,0.075,7.745386,24.497688
0,mae,2,0.1,7.707749,24.203876
0,mae,2,0.15,7.577714,23.116226
0,mse,2,0.05,4.662275,35.796619
0,mse,2,0.075,5.230903,34.194187
0,mse,2,0.1,5.174056,33.614449
0,mse,2,0.15,5.066402,31.139576
0,mae,3,0.05,7.375102,25.353313
0,mae,3,0.075,7.687191,24.789116
0,mae,3,0.1,7.794427,24.625916
0,mae,3,0.15,8.082125,23.669149
0,mse,3,0.05,4.946825,36.8246
0,mse,3,0.075,5.135423,35.328766
0,mse,3,0.1,5.199374,34.827988
0,mse,3,0.15,5.339657,32.72197
0,mae,4,0.05,7.182714,25.399418
0,mae,4,0.075,7.659686,24.693817
0,mae,4,0.1,7.554997,24.399605
0,mae,4,0.15,7.903703,23.586721
0,mse,4,0.05,4.441062,36.649292
0,mse,4,0.075,4.915897,34.992401
0,mse,4,0.1,4.990029,34.387135
0,mse,4,0.15,5.420845,32.600243
0,mae,5,0.05,7.705008,25.423563
0,mae,5,0.075,7.827944,24.944675
0,mae,5,0.1,7.896794,24.727951
0,mae,5,0.15,8.16711,24.091492
0,mse,5,0.05,5.012897,36.987823
0,mse,5,0.075,5.222569,35.816875
0,mse,5,0.1,5.314484,35.261116
0,mse,5,0.15,5.648966,33.664665
0,mae,6,0.05,7.47235,25.681421
0,mae,6,0.075,7.78536,25.234028
0,mae,6,0.1,7.765831,24.907787
0,mae,6,0.15,8.045175,23.765594
0,mse,6,0.05,4.816424,37.504341
0,mse,6,0.075,5.225527,36.445374
0,mse,6,0.1,5.268664,35.497169
0,mse,6,0.15,5.50062,32.488037
0,mae,7,0.05,7.330455,25.641823
0,mae,7,0.075,7.385236,25.291096
0,mae,7,0.1,7.518312,24.906755
0,mae,7,0.15,8.178225,23.789833
0,mse,7,0.05,4.819697,37.279568
0,mse,7,0.075,4.901805,36.676491
0,mse,7,0.1,5.01426,35.622055
0,mse,7,0.15,5.675461,32.846352
0,mae,8,0.05,7.199583,25.703264
0,mae,8,0.075,7.401865,25.082636
0,mae,8,0.1,7.547362,24.590332
0,mae,8,0.15,7.875719,23.911963
0,mse,8,0.05,4.792837,37.950645
0,mse,8,0.075,5.014085,36.305431
0,mse,8,0.1,5.142591,34.880402
0,mse,8,0.15,5.401355,33.16169
0,mae,9,0.05,6.53041,25.673859
0,mae,9,0.075,6.855895,24.818495
0,mae,9,0.1,7.172911,24.416283
0,mae,9,0.15,7.857686,23.448685
0,mse,9,0.05,4.225482,37.359589
0,mse,9,0.075,4.514704,35.440006
0,mse,9,0.1,4.801576,34.572273
0,mse,9,0.15,5.46735,31.97579
0,mae,10,0.05,6.914313,25.531681
0,mae,10,0.075,7.096873,24.909252
0,mae,10,0.1,7.292169,24.376949
0,mae,10,0.15,8.096526,23.126984
0,mse,10,0.05,4.620826,37.097908
0,mse,10,0.075,4.782981,35.300323
0,mse,10,0.1,4.907333,34.092724
0,mse,10,0.15,5.74911,30.827837
0,mae,11,0.05,6.453663,25.502138
0,mae,11,0.075,7.03805,25.030647
0,mae,11,0.1,7.18542,24.717455
0,mae,11,0.15,7.95103,23.420277
0,mse,11,0.05,4.131504,36.889961
0,mse,11,0.075,4.603243,35.52124
0,mse,11,0.1,4.638059,34.885681
0,mse,11,0.15,5.400053,31.659389
0,mae,12,0.05,6.811366,25.658092
0,mae,12,0.075,6.700911,25.193996
0,mae,12,0.1,6.710618,24.630135
0,mae,12,0.15,7.216825,22.952471
0,mse,12,0.05,4.415223,37.45076
0,mse,12,0.075,4.328306,36.177326
0,mse,12,0.1,4.289546,34.67416
0,mse,12,0.15,4.652397,30.572937
0,mae,13,0.05,7.106857,25.673929
0,mae,13,0.075,7.090808,25.156288
0,mae,13,0.1,7.105142,24.636356
0,mae,13,0.15,7.498292,23.510345
0,mse,13,0.05,4.645404,37.65691
0,mse,13,0.075,4.655773,36.00116
0,mse,13,0.1,4.772418,34.660812
0,mse,13,0.15,5.086426,31.942209
0,mae,14,0.05,7.113175,25.626698
0,mae,14,0.075,7.275108,25.019751
0,mae,14,0.1,7.286176,24.393661
0,mae,14,0.15,7.956581,23.1313
0,mse,14,0.05,4.607104,37.579567
0,mse,14,0.075,4.741066,35.805901
0,mse,14,0.1,4.880837,34.330513
0,mse,14,0.15,5.41634,31.106426
0,mae,15,0.05,6.989287,25.625322
0,mae,15,0.075,7.133821,25.006096
0,mae,15,0.1,7.27283,24.571005
0,mae,15,0.15,8.050854,23.142683
0,mse,15,0.05,4.474765,37.642448
0,mse,15,0.075,4.651592,36.111008
0,mse,15,0.1,4.921359,35.021919
0,mse,15,0.15,5.714076,31.150145
0,mae,16,0.05,7.203573,25.580448
0,mae,16,0.075,7.241091,24.905537
0,mae,16,0.1,7.386049,24.495726
0,mae,16,0.15,7.933569,23.127922
0,mse,16,0.05,4.735259,37.413246
0,mse,16,0.075,4.780412,35.726444
0,mse,16,0.1,4.955363,34.766598
0,mse,16,0.15,5.520453,31.203688
0,mae,17,0.05,7.126824,25.347153
0,mae,17,0.075,7.604537,24.617245
0,mae,17,0.1,7.598887,24.302105
0,mae,17,0.15,8.16646,23.04364
0,mse,17,0.05,4.662245,36.959641
0,mse,17,0.075,5.22169,35.134338
0,mse,17,0.1,5.319031,34.342281
0,mse,17,0.15,6.144895,30.865749
0,mae,18,0.05,7.128075,25.45153
0,mae,18,0.075,7.47595,24.646988
0,mae,18,0.1,7.717999,24.02449
0,mae,18,0.15,8.241364,22.857483
0,mse,18,0.05,4.787851,36.741337
0,mse,18,0.075,5.280393,34.973637
0,mse,18,0.1,5.531306,33.60862
0,mse,18,0.15,6.107856,30.8526
0,mae,19,0.05,7.168815,25.867922
0,mae,19,0.075,8.074976,24.984707
0,mae,19,0.1,8.18285,24.305635
0,mae,19,0.15,8.951647,23.000584
