batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.318232,25.567741
0,mae,0,0.075,9.045192,24.411663
0,mae,0,0.1,9.20496,23.897007
0,mae,0,0.15,10.00602,22.061745
0,mse,0,0.05,7.126247,37.723019
0,mse,0,0.075,7.920589,34.196709
0,mse,0,0.1,8.08938,32.750092
0,mse,0,0.15,9.066325,28.469727
0,mae,1,0.05,8.396324,25.414974
0,mae,1,0.075,9.084994,24.094238
0,mae,1,0.1,9.477894,23.288548
0,mae,1,0.15,10.730414,21.347704
0,mse,1,0.05,7.167228,37.24567
0,mse,1,0.075,8.006674,33.680462
0,mse,1,0.1,8.283429,31.740141
0,mse,1,0.15,9.874237,26.532677
0,mae,2,0.05,8.238375,25.185543
0,mae,2,0.075,9.520836,23.632862
0,mae,2,0.1,10.112013,22.967796
0,mae,2,0.15,11.218064,21.157608
0,mse,2,0.05,6.971948,36.52322
0,mse,2,0.075,8.125246,32.203072
0,mse,2,0.1,8.998486,30.462257
0,mse,2,0.15,10.591145,25.96077
0,mae,3,0.05,6.853862,25.354713
0,mae,3,0.075,8.645407,23.4491
0,mae,3,0.1,10.154017,22.555655
0,mae,3,0.15,11.538457,20.542618
0,mse,3,0.05,4.941548,36.705166
0,mse,3,0.075,6.788764,31.80715
0,mse,3,0.1,8.785745,29.377182
0,mse,3,0.15,10.607059,24.04027
0,mae,4,0.05,6.422383,25.05629
0,mae,4,0.075,8.426216,23.466057
0,mae,4,0.1,9.451384,22.959888
0,mae,4,0.15,11.320212,20.480095
0,mse,4,0.05,4.242154,35.570335
0,mse,4,0.075,6.120973,31.036873
0,mse,4,0.1,7.421385,29.728184
0,mse,4,0.15,9.92849,24.131279
0,mae,5,0.05,6.032194,24.916054
0,mae,5,0.075,7.792298,23.248423
0,mae,5,0.1,8.889051,22.64394
0,mae,5,0.15,11.137215,20.744225
0,mse,5,0.05,3.761081,34.806892
0,mse,5,0.075,5.334622,30.377483
0,mse,5,0.1,6.692583,28.827271
0,mse,5,0.15,9.173286,24.288057
0,mae,6,0.05,6.204037,24.756012
0,mae,6,0.075,7.79195,23.348572
0,mae,6,0.1,8.725204,22.681862
0,mae,6,0.15,10.461115,20.512337
0,mse,6,0.05,3.93192,34.884277
0,mse,6,0.075,5.393045,31.062069
0,mse,6,0.1,6.356463,29.322063
0,mse,6,0.15,8.355177,24.075691
0,mae,7,0.05,6.415132,25.268696
0,mae,7,0.075,7.83744,23.668312
0,mae,7,0.1,8.845847,22.896763
0,mae,7,0.15,10.375522,21.053009
0,mse,7,0.05,4.364134,36.432655
0,mse,7,0.075,5.474185,31.772152
0,mse,7,0.1,6.421037,29.934368
0,mse,7,0.15,8.742973,25.732613
0,mae,8,0.05,6.231674,25.095505
0,mae,8,0.075,8.206928,23.593601
0,mae,8,0.1,9.220377,22.686357
0,mae,8,0.15,10.836784,20.785831
0,mse,8,0.05,4.095941,35.682091
0,mse,8,0.075,5.930598,31.903955
0,mse,8,0.1,6.957728,29.763626
0,mse,8,0.15,9.044113,24.918697
0,mae,9,0.05,6.522177,24.926025
0,mae,9,0.075,8.364254,23.517677
0,mae,9,0.1,8.873993,22.773045
0,mae,9,0.15,11.266283,20.354469
0,mse,9,0.05,4.326259,34.861946
0,mse,9,0.075,6.031347,31.259941
0,mse,9,0.1,6.586164,29.0606
0,mse,9,0.15,9.67268,23.341908
0,mae,10,0.05,6.178478,25.192612
0,mae,10,0.075,8.277473,23.660826
0,mae,10,0.1,9.444859,22.15802
0,mae,10,0.15,11.778852,20.174103
0,mse,10,0.05,4.122427,34.772079
0,mse,10,0.075,6.339596,30.9256
0,mse,10,0.1,7.801826,27.257355
0,mse,10,0.15,10.928736,22.672089
0,mae,11,0.05,6.745377,25.628143
0,mae,11,0.075,9.190989,23.493919
0,mae,11,0.1,9.872108,22.645714
0,mae,11,0.15,11.698441,20.445808
0,mse,11,0.05,4.597909,35.763203
0,mse,11,0.075,7.286288,29.907866
0,mse,11,0.1,8.106134,27.932495
0,mse,11,0.15,10.669165,23.440802
0,mae,12,0.05,6.901526,24.881317
0,mae,12,0.075,9.264538,23.290367
0,mae,12,0.1,9.938669,22.441587
0,mae,12,0.15,11.825988,20.775087
0,mse,12,0.05,4.53418,34.049496
0,mse,12,0.075,7.120512,29.866508
0,mse,12,0.1,7.916835,27.822517
0,mse,12,0.15,10.691266,24.086874
0,mae,13,0.05,7.273506,25.563309
0,mae,13,0.075,9.097505,24.198105
0,mae,13,0.1,9.85113,23.162113
0,mae,13,0.15,12.280252,21.207876
0,mse,13,0.05,4.917757,36.001289
0,mse,13,0.075,6.773694,32.297447
0,mse,13,0.1,7.819243,29.729961
0,mse,13,0.15,10.959862,25.469997
0,mae,14,0.05,6.721627,25.522675
0,mae,14,0.075,8.800547,24.304169
0,mae,14,0.1,10.246513,23.735849
0,mae,14,0.15,11.20405,22.218941
0,mse,14,0.05,4.034862,36.014648
0,mse,14,0.075,5.953588,32.835701
0,mse,14,0.1,7.819676,31.467966
0,mse,14,0.15,9.126539,27.713083
0,mae,15,0.05,6.433011,25.892391
0,mae,15,0.075,8.298475,24.875177
0,mae,15,0.1,8.893473,24.071505
0,mae,15,0.15,10.153188,22.556938
0,mse,15,0.05,3.526012,37.193027
0,mse,15,0.075,5.520068,34.372593
0,mse,15,0.1,6.117678,32.556553
0,mse,15,0.15,7.806382,29.000229
0,mae,16,0.05,5.40263,25.92444
0,mae,16,0.075,6.609729,24.897469
0,mae,16,0.1,7.247518,24.570765
0,mae,16,0.15,7.917505,23.160591
0,mse,16,0.05,2.651361,37.484055
0,mse,16,0.075,3.888795,35.162098
0,mse,16,0.1,4.68909,34.304382
0,mse,16,0.15,5.59339,30.953741
0,mae,17,0.05,4.900214,26.149067
0,mae,17,0.075,6.248975,25.221928
0,mae,17,0.1,6.842323,24.700279
0,mae,17,0.15,8.049356,23.232273
0,mse,17,0.05,2.362782,38.233727
0,mse,17,0.075,3.814049,36.017189
0,mse,17,0.1,4.206134,34.734741
0,mse,17,0.15,5.410731,31.336006
0,mae,18,0.05,6.43124,26.028492
0,mae,18,0.075,8.275871,24.801012
0,mae,18,0.1,9.34429,24.144371
0,mae,18,0.15,9.968691,23.043694
0,mse,18,0.05,3.977967,38.203659
0,mse,18,0.075,5.777694,35.597992
0,mse,18,0.1,7.198874,34.124004
0,mse,18,0.15,8.002684,31.835308
0,mae,19,0.05,6.807764,26.00753
0,mae,19,0.075,8.644354,24.799576
0,mae,19,0.1,9.177406,24.079426
0,mae,19,0.15,10.389822,22.549772
0,mse,19,0.05,4.300081,38.577805
0,mse,19,0.075,6.33733,35.627739
0,mse,19,0.1,6.918924,33.985134
0,mse,19,0.15,8.618947,30.772987
0,mae,20,0.05,7.239081,26.027842
0,mae,20,0.075,8.947255,24.727207
0,mae,20,0.1,9.265875,24.062107
0,mae,20,0.15,10.610145,22.537144
0,mse,20,0.05,4.767285,38.536442
0,mse,20,0.075,6.625128,35.581161
0,mse,20,0.1,7.11385,34.050716
0,mse,20,0.15,9.178259,31.077948
0,mae,21,0.05,4.136291,26.507824
0,mae,21,0.075,5.253025,25.200163
0,mae,21,0.1,5.876053,24.50174
0,mae,21,0.15,7.434262,22.837658
0,mse,21,0.05,1.773057,39.272728
0,mse,21,0.075,2.840709,36.47776
0,mse,21,0.1,3.468992,34.698372
0,mse,21,0.15,4.961687,31.031872
0,mae,22,0.05,7.901242,25.901558
0,mae,22,0.075,9.045022,24.419544
0,mae,22,0.1,9.232936,23.708084
0,mae,22,0.15,10.467848,21.674309
0,mse,22,0.05,6.058213,38.924503
0,mse,22,0.075,7.600347,35.573029
0,mse,22,0.1,7.786598,33.673092
0,mse,22,0.15,9.73106,29.153362
0,mae,23,0.05,8.781868,25.660431
0,mae,23,0.075,9.377577,24.25601
0,mae,23,0.1,9.703578,23.752132
0,mae,23,0.15,10.203025,21.885498
0,mse,23,0.05,7.154059,38.072815
0,mse,23,0.075,8.059224,34.658279
