batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.423859,24.597326
0,mae,0,0.075,10.263103,22.596352
0,mae,0,0.1,10.613306,21.700737
0,mae,0,0.15,11.693188,19.637503
0,mse,0,0.05,6.67608,34.079365
0,mse,0,0.075,8.951477,28.899582
0,mse,0,0.1,9.40815,26.689564
0,mse,0,0.15,10.665621,21.91909
0,mae,1,0.05,7.818513,24.398529
0,mae,1,0.075,9.678464,22.673412
0,mae,1,0.1,10.438569,21.536976
0,mae,1,0.15,11.721853,19.845554
0,mse,1,0.05,6.412556,33.681404
0,mse,1,0.075,8.635386,29.163795
0,mse,1,0.1,9.797298,26.25716
0,mse,1,0.15,11.345482,22.33733
0,mae,2,0.05,8.195377,24.198738
0,mae,2,0.075,10.1735,22.718365
0,mae,2,0.1,10.906002,21.662819
0,mae,2,0.15,12.699421,19.686735
0,mse,2,0.05,7.142756,33.47681
0,mse,2,0.075,8.885654,29.038374
0,mse,2,0.1,10.061517,26.280359
0,mse,2,0.15,12.356806,21.927523
0,mae,3,0.05,8.549173,24.125656
0,mae,3,0.075,10.497011,22.281687
0,mae,3,0.1,11.354176,21.141617
0,mae,3,0.15,13.574024,19.010612
0,mse,3,0.05,7.084434,32.81126
0,mse,3,0.075,9.207551,27.644791
0,mse,3,0.1,10.264118,24.960798
0,mse,3,0.15,13.732569,20.111689
0,mae,4,0.05,8.140004,24.3834
0,mae,4,0.075,10.122213,22.174786
0,mae,4,0.1,11.412016,21.069365
0,mae,4,0.15,13.206774,19.209667
0,mse,4,0.05,6.37559,33.067497
0,mse,4,0.075,9.071547,27.247169
0,mse,4,0.1,10.41701,24.229744
0,mse,4,0.15,12.794619,20.345356
0,mae,5,0.05,7.691764,24.253782
0,mae,5,0.075,9.803938,22.266176
0,mae,5,0.1,11.12711,21.038677
0,mae,5,0.15,13.702951,18.615238
0,mse,5,0.05,5.590966,32.398533
0,mse,5,0.075,8.725674,27.180962
0,mse,5,0.1,10.070228,24.019302
0,mse,5,0.15,13.490634,19.10438
0,mae,6,0.05,7.588431,24.077501
0,mae,6,0.075,10.258104,22.492622
0,mae,6,0.1,11.126514,21.300686
0,mae,6,0.15,13.565844,18.750074
0,mse,6,0.05,5.991959,32.085106
0,mse,6,0.075,8.728592,27.634235
0,mse,6,0.1,9.816511,24.916204
0,mse,6,0.15,12.97646,19.4571
0,mae,7,0.05,7.657885,24.172361
0,mae,7,0.075,10.520645,22.209505
0,mae,7,0.1,11.409826,21.273376
0,mae,7,0.15,13.953388,19.149191
0,mse,7,0.05,5.989306,32.042961
0,mse,7,0.075,9.501321,27.273167
0,mse,7,0.1,10.780106,25.136086
0,mse,7,0.15,13.979511,20.019823
0,mae,8,0.05,7.946525,24.142426
0,mae,8,0.075,10.693954,22.270626
0,mae,8,0.1,11.586918,21.359779
0,mae,8,0.15,13.895203,18.889107
0,mse,8,0.05,6.108747,31.862663
0,mse,8,0.075,9.837387,27.261261
0,mse,8,0.1,11.092789,25.043308
0,mse,8,0.15,13.745483,19.510551
0,mae,9,0.05,8.168909,24.074532
0,mae,9,0.075,10.334872,22.460964
0,mae,9,0.1,11.388885,21.627823
0,mae,9,0.15,13.496399,18.939222
0,mse,9,0.05,6.451538,31.483162
0,mse,9,0.075,9.154409,27.584106
0,mse,9,0.1,10.736485,25.704161
0,mse,9,0.15,13.683998,19.795099
0,mae,10,0.05,7.872258,24.151768
0,mae,10,0.075,9.807461,22.730305
0,mae,10,0.1,10.729349,21.484737
0,mae,10,0.15,12.9058,18.92778
0,mse,10,0.05,5.792571,31.789207
0,mse,10,0.075,8.426144,28.269169
0,mse,10,0.1,9.734823,25.470911
0,mse,10,0.15,12.884884,20.050377
0,mae,11,0.05,8.005341,24.372599
0,mae,11,0.075,9.82917,22.714825
0,mae,11,0.1,10.769706,21.737432
0,mae,11,0.15,12.741236,19.711365
0,mse,11,0.05,5.441575,32.168156
0,mse,11,0.075,8.044231,28.354179
0,mse,11,0.1,9.38964,26.149122
0,mse,11,0.15,12.478481,22.122231
0,mae,12,0.05,8.182035,24.735832
0,mae,12,0.075,10.323902,22.955408
0,mae,12,0.1,11.326372,21.921772
0,mae,12,0.15,12.861315,19.773777
0,mse,12,0.05,5.395051,33.177464
0,mse,12,0.075,8.314611,28.871204
0,mse,12,0.1,9.69328,26.561516
0,mse,12,0.15,12.09127,22.129419
0,mae,13,0.05,8.512975,24.943268
0,mae,13,0.075,10.508405,23.547756
0,mae,13,0.1,11.191284,22.483364
0,mae,13,0.15,12.828554,20.350426
0,mse,13,0.05,5.553363,33.538055
0,mse,13,0.075,8.251953,30.261063
0,mse,13,0.1,9.297161,28.078356
0,mse,13,0.15,11.707359,23.790752
0,mae,14,0.05,8.692871,25.271835
0,mae,14,0.075,10.884494,23.643955
0,mae,14,0.1,12.162073,22.802811
0,mae,14,0.15,13.709526,20.765385
0,mse,14,0.05,6.2443,35.333683
0,mse,14,0.075,8.86216,31.662495
0,mse,14,0.1,10.448952,29.870378
0,mse,14,0.15,12.700668,25.281097
0,mae,15,0.05,7.947487,25.271925
