batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.237385,24.554396
0,mae,0,0.075,8.601395,23.706635
0,mae,0,0.1,9.195047,23.268429
0,mae,0,0.15,10.299177,21.908199
0,mse,0,0.05,5.439344,34.329372
0,mse,0,0.075,7.221065,32.565285
0,mse,0,0.1,8.164433,31.549086
0,mse,0,0.15,9.603848,28.600544
0,mae,1,0.05,7.430345,24.639154
0,mae,1,0.075,9.135116,23.675982
0,mae,1,0.1,9.863995,23.260164
0,mae,1,0.15,11.46018,22.198631
0,mse,1,0.05,5.6866,34.790676
0,mse,1,0.075,8.086073,32.757401
0,mse,1,0.1,9.472548,31.77079
0,mse,1,0.15,11.603171,29.377583
0,mae,2,0.05,8.052608,24.545557
0,mae,2,0.075,9.773648,23.8262
0,mae,2,0.1,10.604322,23.474518
0,mae,2,0.15,12.411683,22.372448
0,mse,2,0.05,6.347681,34.852058
0,mse,2,0.075,8.813301,33.366615
0,mse,2,0.1,10.266899,32.565819
0,mse,2,0.15,13.156902,29.963505
0,mae,3,0.05,7.706584,24.618675
0,mae,3,0.075,9.884765,23.426395
0,mae,3,0.1,11.063358,22.936699
0,mae,3,0.15,12.36961,22.172577
0,mse,3,0.05,5.793609,35.164818
0,mse,3,0.075,8.905828,32.820435
0,mse,3,0.1,10.728552,31.701939
0,mse,3,0.15,12.803521,29.749493
0,mae,4,0.05,7.773348,24.470058
0,mae,4,0.075,10.101595,23.768486
0,mae,4,0.1,10.734643,23.490139
0,mae,4,0.15,13.192276,22.116169
0,mse,4,0.05,5.730515,34.685768
0,mse,4,0.075,9.143721,33.301617
0,mse,4,0.1,10.205341,32.533134
0,mse,4,0.15,14.141829,29.300209
0,mae,5,0.05,7.870285,24.610891
0,mae,5,0.075,10.354626,23.430807
0,mae,5,0.1,11.15839,22.89389
0,mae,5,0.15,13.663406,21.83622
0,mse,5,0.05,5.78461,34.565933
0,mse,5,0.075,9.533937,32.249832
0,mse,5,0.1,10.757889,31.125774
0,mse,5,0.15,15.0323,28.598923
0,mae,6,0.05,7.119985,24.52253
0,mae,6,0.075,10.400927,23.367489
0,mae,6,0.1,11.483902,22.794884
0,mae,6,0.15,13.379509,21.886673
0,mse,6,0.05,5.035491,34.399441
0,mse,6,0.075,9.603336,32.192646
0,mse,6,0.1,11.50964,30.811377
0,mse,6,0.15,14.468605,28.598408
0,mae,7,0.05,7.486685,24.321774
0,mae,7,0.075,9.776036,23.165394
0,mae,7,0.1,10.917096,22.425777
0,mae,7,0.15,12.798155,21.471308
0,mse,7,0.05,5.673992,34.255951
0,mse,7,0.075,8.655606,31.439928
0,mse,7,0.1,10.171549,29.959061
0,mse,7,0.15,13.226772,28.092216
0,mae,8,0.05,7.288754,23.994053
0,mae,8,0.075,10.127083,22.895487
0,mae,8,0.1,10.898978,22.489603
0,mae,8,0.15,12.786283,21.419537
0,mse,8,0.05,5.37636,33.109035
0,mse,8,0.075,9.243559,31.004467
0,mse,8,0.1,10.388734,30.062172
0,mse,8,0.15,13.349339,28.091501
0,mae,9,0.05,7.652176,23.961864
0,mae,9,0.075,9.495344,22.776525
0,mae,9,0.1,10.722527,22.120169
0,mae,9,0.15,12.912449,20.690008
0,mse,9,0.05,5.796286,32.657219
0,mse,9,0.075,8.057529,30.300802
0,mse,9,0.1,9.801224,28.9949
0,mse,9,0.15,13.526276,26.099024
0,mae,10,0.05,7.825052,24.343391
0,mae,10,0.075,9.455694,23.110485
0,mae,10,0.1,10.285577,22.438871
0,mae,10,0.15,11.976887,20.922852
0,mse,10,0.05,5.701606,33.190041
0,mse,10,0.075,8.115879,30.701664
0,mse,10,0.1,9.256641,29.45286
0,mse,10,0.15,12.014284,26.638485
0,mae,11,0.05,7.153132,24.569519
0,mae,11,0.075,8.873888,23.149021
0,mae,11,0.1,9.85454,22.60569
0,mae,11,0.15,11.786647,20.926205
0,mse,11,0.05,4.939481,33.475327
0,mse,11,0.075,7.248931,30.727272
0,mse,11,0.1,8.718628,29.615629
0,mse,11,0.15,11.896382,26.412769
0,mae,12,0.05,6.983945,24.630056
0,mae,12,0.075,8.417508,23.539358
0,mae,12,0.1,9.059965,23.024902
0,mae,12,0.15,11.111516,21.598703
0,mse,12,0.05,4.602336,33.678272
0,mse,12,0.075,6.554417,31.333481
0,mse,12,0.1,7.556719,30.158396
0,mse,12,0.15,10.590593,27.511974
0,mae,13,0.05,7.386458,24.717705
0,mae,13,0.075,8.803493,23.553165
0,mae,13,0.1,9.53102,23.004856
0,mae,13,0.15,11.073242,21.581272
0,mse,13,0.05,4.965451,34.173126
0,mse,13,0.075,6.966385,31.380585
0,mse,13,0.1,8.057865,30.544559
0,mse,13,0.15,10.480603,27.582375
0,mae,14,0.05,7.53809,24.850441
0,mae,14,0.075,9.048231,24.036201
0,mae,14,0.1,9.665461,23.572313
0,mae,14,0.15,11.319033,22.004488
0,mse,14,0.05,4.991769,34.757717
0,mse,14,0.075,7.13805,32.892403
0,mse,14,0.1,7.961926,32.016857
0,mse,14,0.15,10.567432,28.704433
0,mae,15,0.05,7.634118,24.786383
0,mae,15,0.075,9.340166,24.001755
0,mae,15,0.1,10.105871,23.380318
0,mae,15,0.15,11.37642,21.966946
0,mse,15,0.05,5.004821,34.878769
0,mse,15,0.075,7.233613,33.202152
0,mse,15,0.1,8.390442,31.799425
0,mse,15,0.15,10.605025,28.231045
0,mae,16,0.05,5.215739,25.629322
0,mae,16,0.075,7.308272,24.179878
0,mae,16,0.1,8.877325,23.473476
0,mae,16,0.15,10.167761,22.042795
0,mse,16,0.05,2.818403,37.139786
0,mse,16,0.075,5.330831,33.687035
0,mse,16,0.1,7.000637,32.231552
0,mse,16,0.15,9.053783,28.827667
0,mae,17,0.05,4.974364,25.666553
0,mae,17,0.075,6.462832,24.887949
0,mae,17,0.1,7.273504,24.320461
0,mae,17,0.15,9.120697,22.839954
0,mse,17,0.05,2.507524,37.479397
0,mse,17,0.075,4.236122,35.916649
0,mse,17,0.1,5.44442,34.858543
0,mse,17,0.15,7.691307,31.553547
0,mae,18,0.05,5.645955,25.946068
0,mae,18,0.075,7.606418,24.95899
0,mae,18,0.1,8.173388,24.395199
0,mae,18,0.15,9.687944,22.912338
0,mse,18,0.05,2.926041,38.607143
0,mse,18,0.075,5.254728,36.942802
0,mse,18,0.1,6.070213,35.371056
0,mse,18,0.15,8.187668,31.737675
0,mae,19,0.05,5.606261,25.804043
0,mae,19,0.075,7.070585,24.80423
0,mae,19,0.1,8.248564,24.015423
0,mae,19,0.15,9.584448,22.600739
0,mse,19,0.05,2.830297,38.308334
0,mse,19,0.075,4.60777,35.683655
0,mse,19,0.1,6.033911,33.638123
0,mse,19,0.15,8.118983,30.059473
0,mae,20,0.05,6.340617,25.357906
0,mae,20,0.075,7.847558,24.426746
0,mae,20,0.1,8.604157,23.763845
0,mae,20,0.15,10.107799,22.201828
0,mse,20,0.05,3.518679,37.154819
0,mse,20,0.075,5.382677,34.509678
0,mse,20,0.1,6.457412,32.959915
0,mse,20,0.15,8.786366,28.57262
0,mae,21,0.05,4.502801,25.642662
0,mae,21,0.075,5.506347,24.850967
0,mae,21,0.1,6.24859,24.085249
0,mae,21,0.15,8.21292,22.477524
0,mse,21,0.05,2.183101,37.123341
0,mse,21,0.075,3.28572,35.206703
0,mse,21,0.1,4.149269,33.387814
0,mse,21,0.15,6.387547,29.345169
0,mae,22,0.05,6.201324,25.200998
0,mae,22,0.075,7.422755,24.104572
0,mae,22,0.1,8.080579,23.561607
0,mae,22,0.15,9.381733,21.795246
0,mse,22,0.05,4.078311,36.090698
0,mse,22,0.075,5.245304,33.376953
0,mse,22,0.1,5.948511,32.038456
0,mse,22,0.15,7.531489,27.748466
0,mae,23,0.05,5.892951,25.391073
0,mae,23,0.075,7.182595,24.254879
0,mae,23,0.1,7.534419,23.519711
0,mae,23,0.15,9.139501,22.100021
0,mse,23,0.05,3.654898,36.034805
0,mse,23,0.075,5.041597,33.520931
0,mse,23,0.1,5.507085,31.783213
0,mse,23,0.15,7.379718,28.270336
1,mae,0,0.05,14.282587,27.019474
1,mae,0,0.075,15.520803,26.029434
1,mae,0,0.1,16.345051,25.501015
1,mae,0,0.15,17.352776,24.081303
1,mse,0,0.05,24.365925,45.448345
1,mse,0,0.075,27.918377,42.721363
1,mse,0,0.1,30.812241,41.022629
1,mse,0,0.15,33.685516,36.831253
1,mae,1,0.05,14.102118,27.153896
1,mae,1,0.075,16.967165,25.744257
1,mae,1,0.1,18.168072,25.011574
1,mae,1,0.15,19.477015,23.940685
1,mse,1,0.05,24.258783,46.547501
1,mse,1,0.075,32.355736,41.774902
1,mse,1,0.1,35.683475,39.10524
1,mse,1,0.15,40.042374,35.846413
1,mae,2,0.05,15.41774,26.279461
1,mae,2,0.075,17.613386,25.338551
1,mae,2,0.1,18.410767,24.635536
1,mae,2,0.15,20.366199,23.736023
1,mse,2,0.05,26.891033,43.633949
1,mse,2,0.075,34.550522,40.683395
1,mse,2,0.1,36.663582,38.52776
1,mse,2,0.15,42.53965,35.362309
1,mae,3,0.05,16.028854,26.126503
1,mae,3,0.075,18.364933,25.301346
1,mae,3,0.1,19.182976,24.948757
1,mae,3,0.15,20.241396,24.016565
1,mse,3,0.05,28.479937,42.883259
1,mse,3,0.075,35.655006,41.045242
1,mse,3,0.1,38.345261,39.806114
1,mse,3,0.15,42.034039,36.457829
1,mae,4,0.05,15.74117,25.645412
1,mae,4,0.075,19.444378,24.525192
1,mae,4,0.1,20.623354,24.218807
1,mae,4,0.15,22.266624,23.222668
1,mse,4,0.05,27.652658,41.341148
1,mse,4,0.075,38.414539,38.31271
1,mse,4,0.1,42.044449,37.352081
1,mse,4,0.15,47.925858,34.375793
1,mae,5,0.05,16.070736,25.815866
1,mae,5,0.075,19.320213,24.021076
1,mae,5,0.1,20.52651,23.490742
1,mae,5,0.15,22.390356,22.813341
1,mse,5,0.05,28.634012,41.523529
1,mse,5,0.075,37.91478,37.722836
1,mse,5,0.1,41.88163,36.481136
1,mse,5,0.15,48.217552,34.318096
1,mae,6,0.05,15.803628,25.873249
1,mae,6,0.075,19.126534,24.576824
1,mae,6,0.1,20.208422,23.89086
1,mae,6,0.15,22.33144,23.032063
1,mse,6,0.05,27.712959,42.525848
1,mse,6,0.075,36.514637,39.892441
1,mse,6,0.1,40.275429,37.851303
1,mse,6,0.15,46.803356,35.572079
1,mae,7,0.05,15.349894,25.972485
1,mae,7,0.075,18.784397,24.579159
1,mae,7,0.1,19.965036,23.616718
1,mae,7,0.15,22.130598,22.484844
1,mse,7,0.05,27.873764,43.470543
1,mse,7,0.075,35.802109,40.120102
1,mse,7,0.1,39.317863,37.918339
1,mse,7,0.15,45.380249,34.825768
1,mae,8,0.05,15.423334,26.029425
1,mae,8,0.075,18.307219,24.575714
1,mae,8,0.1,19.499046,23.90826
1,mae,8,0.15,21.545872,22.760376
1,mse,8,0.05,27.342037,43.693668
1,mse,8,0.075,34.389175,40.2439
1,mse,8,0.1,37.55912,38.656441
1,mse,8,0.15,43.090633,36.171764
1,mae,9,0.05,15.069241,26.539532
1,mae,9,0.075,17.616564,24.783146
1,mae,9,0.1,18.658527,24.335581
1,mae,9,0.15,20.653873,22.802673
1,mse,9,0.05,25.928658,44.867645
1,mse,9,0.075,31.953226,40.422783
1,mse,9,0.1,34.075848,39.366455
1,mse,9,0.15,38.836155,35.742569
1,mae,10,0.05,14.432591,27.143539
1,mae,10,0.075,16.373199,25.803062
1,mae,10,0.1,17.451403,25.058369
1,mae,10,0.15,19.317463,23.89716
1,mse,10,0.05,23.728817,46.942108
1,mse,10,0.075,28.112629,43.755531
1,mse,10,0.1,30.475765,42.069183
1,mse,10,0.15,34.687645,39.05806
1,mae,11,0.05,14.079992,27.559223
1,mae,11,0.075,15.75105,26.6052
1,mae,11,0.1,16.813431,26.131458
1,mae,11,0.15,18.375679,24.92168
1,mse,11,0.05,22.427235,48.106026
1,mse,11,0.075,26.274776,45.736969
1,mse,11,0.1,28.326668,44.794914
1,mse,11,0.15,32.005524,41.866249
1,mae,12,0.05,12.548946,27.970474
1,mae,12,0.075,14.146846,27.112534
1,mae,12,0.1,15.157971,26.71455
1,mae,12,0.15,17.038685,25.673027
1,mse,12,0.05,18.854397,49.077671
1,mse,12,0.075,22.106842,47.229084
1,mse,12,0.1,23.830654,46.607567
1,mse,12,0.15,27.942482,43.404919
1,mae,13,0.05,12.619844,28.343882
1,mae,13,0.075,14.081144,27.629868
1,mae,13,0.1,14.99162,27.17445
