batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.09387,23.686604
0,mae,0,0.075,9.651878,22.68149
0,mae,0,0.1,10.398855,22.245285
0,mae,0,0.15,12.383242,20.942572
0,mse,0,0.05,6.587726,31.895302
0,mse,0,0.075,8.554283,29.577312
0,mse,0,0.1,9.57668,28.758184
0,mse,0,0.15,12.522426,25.985725
0,mae,1,0.05,8.492801,24.007046
0,mae,1,0.075,10.922647,23.124599
0,mae,1,0.1,12.185714,22.577017
0,mae,1,0.15,14.270908,21.659157
0,mse,1,0.05,7.146334,33.139206
0,mse,1,0.075,10.696233,31.14385
0,mse,1,0.1,12.608072,30.127371
0,mse,1,0.15,15.843295,28.09996
0,mae,2,0.05,9.208167,23.826403
0,mae,2,0.075,11.897896,22.853752
0,mae,2,0.1,13.078123,22.477814
0,mae,2,0.15,15.197163,21.579287
0,mse,2,0.05,7.964881,33.167412
0,mse,2,0.075,12.011978,31.246525
0,mse,2,0.1,14.16275,30.634434
0,mse,2,0.15,17.970158,28.295774
0,mae,3,0.05,9.791332,23.662525
0,mae,3,0.075,11.958971,23.049768
0,mae,3,0.1,12.923405,22.577095
0,mae,3,0.15,14.964134,22.009678
0,mse,3,0.05,8.393456,33.481441
0,mse,3,0.075,12.048526,32.029976
0,mse,3,0.1,13.829786,30.773914
0,mse,3,0.15,17.597254,29.315083
0,mae,4,0.05,9.696697,23.646828
0,mae,4,0.075,11.972496,22.947468
0,mae,4,0.1,13.230586,22.689159
0,mae,4,0.15,15.4848,22.239168
0,mse,4,0.05,8.240715,33.219261
0,mse,4,0.075,11.82415,31.719889
0,mse,4,0.1,14.057603,31.244848
0,mse,4,0.15,18.360285,30.274773
0,mae,5,0.05,9.521421,23.471592
0,mae,5,0.075,12.316094,22.704016
0,mae,5,0.1,13.562883,22.309286
0,mae,5,0.15,16.233438,21.843651
0,mse,5,0.05,7.917291,32.814877
0,mse,5,0.075,12.116375,31.527515
0,mse,5,0.1,14.254647,30.632
0,mse,5,0.15,19.484131,29.595346
0,mae,6,0.05,9.169102,23.339521
0,mae,6,0.075,12.00484,22.559647
0,mae,6,0.1,13.460551,22.224102
0,mae,6,0.15,16.135998,21.613995
0,mse,6,0.05,7.283563,32.275131
0,mse,6,0.075,11.666971,31.035404
0,mse,6,0.1,14.068293,30.567804
0,mse,6,0.15,18.915356,29.437635
0,mae,7,0.05,9.122071,23.146212
0,mae,7,0.075,11.840534,22.459597
0,mae,7,0.1,13.051368,21.898085
0,mae,7,0.15,15.692554,21.438829
0,mse,7,0.05,7.392472,31.724936
0,mse,7,0.075,11.377886,30.422239
0,mse,7,0.1,13.214764,29.654282
0,mse,7,0.15,17.712297,29.050751
0,mae,8,0.05,8.887377,23.15785
0,mae,8,0.075,11.224647,22.405632
0,mae,8,0.1,12.758707,21.653027
0,mae,8,0.15,15.360886,21.1092
0,mse,8,0.05,7.141006,31.736109
0,mse,8,0.075,10.539757,30.198582
0,mse,8,0.1,12.622875,29.117435
0,mse,8,0.15,17.148029,27.887465
