batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.60322,13.480021
0,mae,0,0.075,6.981213,13.086418
0,mae,0,0.1,7.81416,12.765821
0,mae,0,0.15,8.812177,12.879015
0,mse,0,0.05,2.429408,10.810328
0,mse,0,0.075,3.360998,10.181438
0,mse,0,0.1,3.974064,9.749517
0,mse,0,0.15,4.882163,9.723133
0,mae,1,0.05,5.60322,13.480021
0,mae,1,0.075,6.981213,13.086418
0,mae,1,0.1,7.81416,12.765821
0,mae,1,0.15,8.812177,12.879015
0,mse,1,0.05,2.429408,10.810328
0,mse,1,0.075,3.360998,10.181438
0,mse,1,0.1,3.974064,9.749517
0,mse,1,0.15,4.882163,9.723133
0,mae,2,0.05,5.60322,13.480021
0,mae,2,0.075,6.981213,13.086418
0,mae,2,0.1,7.81416,12.765821
0,mae,2,0.15,8.812177,12.879015
0,mse,2,0.05,2.429408,10.810328
0,mse,2,0.075,3.360998,10.181438
0,mse,2,0.1,3.974064,9.749517
0,mse,2,0.15,4.882163,9.723133
0,mae,3,0.05,5.60322,13.480021
0,mae,3,0.075,6.981213,13.086418
0,mae,3,0.1,7.81416,12.765821
0,mae,3,0.15,8.812177,12.879015
0,mse,3,0.05,2.429408,10.810328
0,mse,3,0.075,3.360998,10.181438
0,mse,3,0.1,3.974064,9.749517
0,mse,3,0.15,4.882163,9.723133
0,mae,4,0.05,5.60322,13.480021
0,mae,4,0.075,6.981213,13.086418
0,mae,4,0.1,7.81416,12.765821
0,mae,4,0.15,8.812177,12.879015
0,mse,4,0.05,2.429408,10.810328
0,mse,4,0.075,3.360998,10.181438
0,mse,4,0.1,3.974064,9.749517
0,mse,4,0.15,4.882163,9.723133
0,mae,5,0.05,5.60322,13.480021
0,mae,5,0.075,6.981213,13.086418
0,mae,5,0.1,7.81416,12.765821
0,mae,5,0.15,8.812177,12.879015
0,mse,5,0.05,2.429408,10.810328
0,mse,5,0.075,3.360998,10.181438
0,mse,5,0.1,3.974064,9.749517
0,mse,5,0.15,4.882163,9.723133
0,mae,6,0.05,5.60322,13.480021
0,mae,6,0.075,6.981213,13.086418
0,mae,6,0.1,7.81416,12.765821
0,mae,6,0.15,8.812177,12.879015
0,mse,6,0.05,2.429408,10.810328
0,mse,6,0.075,3.360998,10.181438
0,mse,6,0.1,3.974064,9.749517
0,mse,6,0.15,4.882163,9.723133
0,mae,7,0.05,5.60322,13.480021
0,mae,7,0.075,6.981213,13.086418
0,mae,7,0.1,7.81416,12.765821
0,mae,7,0.15,8.812177,12.879015
0,mse,7,0.05,2.429408,10.810328
0,mse,7,0.075,3.360998,10.181438
0,mse,7,0.1,3.974064,9.749517
0,mse,7,0.15,4.882163,9.723133
0,mae,8,0.05,5.60322,13.480021
0,mae,8,0.075,6.981213,13.086418
0,mae,8,0.1,7.81416,12.765821
0,mae,8,0.15,8.812177,12.879015
0,mse,8,0.05,2.429408,10.810328
0,mse,8,0.075,3.360998,10.181438
0,mse,8,0.1,3.974064,9.749517
0,mse,8,0.15,4.882163,9.723133
0,mae,9,0.05,5.60322,13.480021
0,mae,9,0.075,6.981213,13.086418
0,mae,9,0.1,7.81416,12.765821
0,mae,9,0.15,8.812177,12.879015
0,mse,9,0.05,2.429408,10.810328
0,mse,9,0.075,3.360998,10.181438
0,mse,9,0.1,3.974064,9.749517
0,mse,9,0.15,4.882163,9.723133
0,mae,10,0.05,5.60322,13.480021
0,mae,10,0.075,6.981213,13.086418
0,mae,10,0.1,7.81416,12.765821
0,mae,10,0.15,8.812177,12.879015
0,mse,10,0.05,2.429408,10.810328
0,mse,10,0.075,3.360998,10.181438
0,mse,10,0.1,3.974064,9.749517
