batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.714852,23.153725
0,mae,0,0.075,9.995663,21.46693
0,mae,0,0.1,10.605165,20.200191
0,mae,0,0.15,12.374941,17.892298
0,mse,0,0.05,7.679115,30.997169
0,mse,0,0.075,9.046051,26.874359
0,mse,0,0.1,9.451005,23.896837
0,mse,0,0.15,11.657904,18.959839
0,mae,1,0.05,8.392442,22.989414
0,mae,1,0.075,9.951259,21.381702
0,mae,1,0.1,10.977055,20.3381
0,mae,1,0.15,12.676309,17.741642
0,mse,1,0.05,7.174045,30.867958
0,mse,1,0.075,9.241327,27.038589
0,mse,1,0.1,10.56927,24.599472
0,mse,1,0.15,12.813911,18.870298
0,mae,2,0.05,8.845654,22.656111
0,mae,2,0.075,10.639651,20.432587
0,mae,2,0.1,11.41489,19.347229
0,mae,2,0.15,13.332487,17.127434
0,mse,2,0.05,7.709292,30.06938
0,mse,2,0.075,10.072918,24.573912
0,mse,2,0.1,11.171911,22.025375
0,mse,2,0.15,13.857531,17.593708
0,mae,3,0.05,9.160698,22.367943
0,mae,3,0.075,11.048067,20.21125
0,mae,3,0.1,12.024228,18.926165
0,mae,3,0.15,14.340799,16.640232
0,mse,3,0.05,7.913656,28.565063
0,mse,3,0.075,10.756186,23.553387
0,mse,3,0.1,12.017553,20.874731
0,mse,3,0.15,15.301273,16.506184
0,mae,4,0.05,8.837965,21.922672
0,mae,4,0.075,11.041085,20.177784
0,mae,4,0.1,12.257442,18.995258
0,mae,4,0.15,14.792494,16.307304
0,mse,4,0.05,7.781881,27.515373
0,mse,4,0.075,10.579849,23.061102
0,mse,4,0.1,12.01287,20.633518
0,mse,4,0.15,16.465946,15.52844
0,mae,5,0.05,9.085678,21.800959
0,mae,5,0.075,11.185721,19.899307
0,mae,5,0.1,12.45502,18.919838
0,mae,5,0.15,14.678505,16.451017
0,mse,5,0.05,7.537838,26.871836
0,mse,5,0.075,10.820722,22.409683
0,mse,5,0.1,12.647374,20.278135
0,mse,5,0.15,16.055229,15.238187
0,mae,6,0.05,9.039505,21.84329
0,mae,6,0.075,11.846782,19.760433
0,mae,6,0.1,12.747303,18.641808
0,mae,6,0.15,14.754499,16.157867
0,mse,6,0.05,7.281061,27.117073
0,mse,6,0.075,11.505775,21.842037
0,mse,6,0.1,13.324318,19.527531
0,mse,6,0.15,15.710289,14.538755
0,mae,7,0.05,9.009518,22.104561
0,mae,7,0.075,11.642542,19.549765
0,mae,7,0.1,12.915726,18.454288
0,mae,7,0.15,15.084335,16.15205
0,mse,7,0.05,7.354463,27.661915
0,mse,7,0.075,11.118568,21.79007
0,mse,7,0.1,13.174158,19.374863
0,mse,7,0.15,15.696761,14.837226
0,mae,8,0.05,8.8433,22.007114
0,mae,8,0.075,11.48559,19.781782
0,mae,8,0.1,12.26506,18.500221
0,mae,8,0.15,14.727568,15.897657
0,mse,8,0.05,6.936158,27.490995
0,mse,8,0.075,10.48805,22.274466
0,mse,8,0.1,11.400496,19.612202
0,mse,8,0.15,14.860413,14.614334
0,mae,9,0.05,8.927293,22.06292
0,mae,9,0.075,11.368329,20.145346
0,mae,9,0.1,12.490885,18.942661
0,mae,9,0.15,14.073684,16.367207
0,mse,9,0.05,7.206261,27.223446
0,mse,9,0.075,10.150716,22.307039
0,mse,9,0.1,11.391418,20.086739
0,mse,9,0.15,13.811485,15.337132
0,mae,10,0.05,8.592815,22.625696
0,mae,10,0.075,10.392848,20.551708
0,mae,10,0.1,11.517361,19.677116
0,mae,10,0.15,13.653271,17.132893
0,mse,10,0.05,6.674053,28.158306
0,mse,10,0.075,9.010403,23.447784
0,mse,10,0.1,10.291384,21.620064
0,mse,10,0.15,13.324081,17.05773
0,mae,11,0.05,8.657341,22.667324
0,mae,11,0.075,10.649814,20.601549
0,mae,11,0.1,11.369274,19.674904
0,mae,11,0.15,12.875526,17.698696
0,mse,11,0.05,6.448103,28.24913
0,mse,11,0.075,9.006813,24.085983
0,mse,11,0.1,10.004674,22.315903
0,mse,11,0.15,12.441978,18.550018
0,mae,12,0.05,8.886761,23.057594
0,mae,12,0.075,11.054957,20.895279
0,mae,12,0.1,12.077854,19.883774
0,mae,12,0.15,13.619249,17.764633
0,mse,12,0.05,6.299127,29.412018
0,mse,12,0.075,9.220507,24.714434
0,mse,12,0.1,10.706038,22.766567
0,mse,12,0.15,13.250471,18.63862
0,mae,13,0.05,9.085281,23.090954
0,mae,13,0.075,11.365751,21.332203
0,mae,13,0.1,12.288298,20.291672
0,mae,13,0.15,13.811889,18.305662
0,mse,13,0.05,6.457757,29.90419
0,mse,13,0.075,9.162305,26.049904
0,mse,13,0.1,10.850536,23.974222
0,mse,13,0.15,13.178909,20.264307
0,mae,14,0.05,9.436061,23.201431
0,mae,14,0.075,11.632631,21.642872
0,mae,14,0.1,12.472742,20.840984
0,mae,14,0.15,13.937154,18.95636
0,mse,14,0.05,7.022599,30.983612
0,mse,14,0.075,9.782477,27.554096
0,mse,14,0.1,11.15357,25.790237
0,mse,14,0.15,13.470336,22.11068
0,mae,15,0.05,9.340961,23.482725
0,mae,15,0.075,11.526252,21.9128
0,mae,15,0.1,12.410517,21.087452
0,mae,15,0.15,13.739447,19.245544
0,mse,15,0.05,7.022886,32.173912
0,mse,15,0.075,10.110205,28.38401
0,mse,15,0.1,11.48625,26.664186
0,mse,15,0.15,13.553085,22.98316
0,mae,16,0.05,6.841893,24.512833
0,mae,16,0.075,8.708916,22.790722
0,mae,16,0.1,9.672139,21.804043
0,mae,16,0.15,11.981236,19.592155
0,mse,16,0.05,4.160115,35.454044
0,mse,16,0.075,6.475425,31.597204
0,mse,16,0.1,7.995,29.358364
0,mse,16,0.15,12.07453,24.006571
0,mae,17,0.05,6.55643,24.512241
0,mae,17,0.075,8.382927,23.001961
0,mae,17,0.1,9.780817,21.987808
0,mae,17,0.15,12.061409,19.739105
0,mse,17,0.05,3.977462,35.316895
0,mse,17,0.075,6.278767,31.897638
0,mse,17,0.1,8.338098,29.477943
0,mse,17,0.15,12.400647,24.379265
0,mae,18,0.05,8.958681,24.488983
0,mae,18,0.075,10.939243,22.348862
0,mae,18,0.1,11.849162,21.191807
0,mae,18,0.15,12.973667,19.194746
0,mse,18,0.05,6.910197,34.731453
0,mse,18,0.075,9.514864,29.931801
0,mse,18,0.1,11.156357,27.439636
0,mse,18,0.15,13.212128,23.27647
0,mae,19,0.05,9.500004,24.286964
0,mae,19,0.075,12.035999,22.565287
0,mae,19,0.1,12.312836,21.541357
0,mae,19,0.15,13.166195,19.353054
0,mse,19,0.05,7.49701,34.048031
0,mse,19,0.075,11.312227,30.773304
0,mse,19,0.1,11.932993,28.56057
0,mse,19,0.15,13.767256,24.144196
0,mae,20,0.05,9.555305,24.099541
0,mae,20,0.075,11.538246,22.383249
0,mae,20,0.1,12.00728,21.541107
0,mae,20,0.15,13.091269,19.320356
0,mse,20,0.05,7.785084,34.049313
0,mse,20,0.075,10.790426,30.530598
0,mse,20,0.1,11.755326,28.974236
0,mse,20,0.15,13.887914,24.685875
0,mae,21,0.05,5.615996,24.997551
0,mae,21,0.075,7.3584,23.276728
0,mae,21,0.1,8.209517,22.495466
0,mae,21,0.15,9.749922,20.117971
0,mse,21,0.05,3.125252,35.664326
0,mse,21,0.075,5.582504,31.315567
0,mse,21,0.1,6.64398,29.516644
0,mse,21,0.15,8.487298,24.3965
0,mae,22,0.05,9.446567,23.873692
0,mae,22,0.075,10.819492,22.090221
0,mae,22,0.1,11.319206,21.021767
0,mae,22,0.15,12.153123,18.635448
0,mse,22,0.05,7.459621,33.605431
0,mse,22,0.075,10.027645,29.196022
0,mse,22,0.1,10.915947,27.079071
0,mse,22,0.15,12.715657,22.279362
0,mae,23,0.05,8.778862,23.627094
0,mae,23,0.075,9.717427,21.850731
0,mae,23,0.1,10.285248,21.038734
0,mae,23,0.15,11.661209,18.589603
0,mse,23,0.05,6.918231,32.766518
0,mse,23,0.075,8.080528,28.828587
0,mse,23,0.1,9.318987,27.008465
0,mse,23,0.15,11.519844,21.524513
1,mae,0,0.05,14.579131,25.009441
