batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.139455,22.412418
0,mae,0,0.075,3.27238,21.977352
0,mae,0,0.1,3.785704,21.506847
0,mae,0,0.15,7.050341,19.158379
0,mse,0,0.05,0.473678,28.645306
0,mse,0,0.075,0.871757,27.65453
0,mse,0,0.1,1.126851,26.522911
0,mse,0,0.15,5.018901,21.615484
0,mae,1,0.05,3.167079,22.233238
0,mae,1,0.075,3.943449,21.550001
0,mae,1,0.1,4.526057,21.258726
0,mae,1,0.15,7.57946,19.484577
0,mse,1,0.05,1.375777,28.368336
0,mse,1,0.075,1.696498,26.732986
0,mse,1,0.1,1.939376,26.088253
0,mse,1,0.15,5.022114,22.181322
0,mae,2,0.05,3.883794,21.722618
0,mae,2,0.075,4.845587,20.473843
0,mae,2,0.1,5.156191,20.152905
0,mae,2,0.15,7.106807,18.428776
0,mse,2,0.05,1.712395,26.868267
0,mse,2,0.075,2.241289,24.18667
0,mse,2,0.1,2.41016,23.577524
0,mse,2,0.15,4.395242,20.066864
0,mae,3,0.05,2.847952,22.507683
0,mae,3,0.075,3.311978,21.894955
0,mae,3,0.1,3.824454,21.556011
0,mae,3,0.15,5.27292,20.277401
0,mse,3,0.05,1.157429,28.582148
0,mse,3,0.075,1.329208,27.213676
0,mse,3,0.1,1.540868,26.462387
0,mse,3,0.15,2.327482,23.392246
0,mae,4,0.05,3.539401,22.311815
0,mae,4,0.075,4.473541,21.379799
0,mae,4,0.1,4.800595,21.053635
0,mae,4,0.15,5.882239,20.112385
0,mse,4,0.05,1.389503,28.863997
0,mse,4,0.075,2.126276,26.93166
0,mse,4,0.1,2.30491,26.207605
0,mse,4,0.15,2.895264,24.216558
0,mae,5,0.05,2.61543,22.738594
0,mae,5,0.075,4.173535,21.690128
0,mae,5,0.1,4.617875,21.286682
0,mae,5,0.15,5.440211,19.960861
0,mse,5,0.05,0.674471,29.712681
0,mse,5,0.075,1.553399,27.536037
0,mse,5,0.1,1.805614,26.680395
0,mse,5,0.15,2.265978,23.860643
0,mae,6,0.05,2.675831,22.774799
0,mae,6,0.075,3.66814,21.701857
0,mae,6,0.1,4.278628,21.346684
0,mae,6,0.15,5.886674,20.334438
0,mse,6,0.05,0.62372,29.683403
0,mse,6,0.075,1.159142,27.278088
0,mse,6,0.1,1.432485,26.627628
0,mse,6,0.15,2.633982,24.689629
0,mae,7,0.05,2.156747,22.586685
0,mae,7,0.075,3.024809,22.163712
0,mae,7,0.1,3.515336,21.85891
0,mae,7,0.15,5.073589,20.935053
0,mse,7,0.05,0.470367,28.986433
0,mse,7,0.075,0.733337,28.295208
0,mse,7,0.1,0.923679,27.664974
0,mse,7,0.15,1.773804,25.923956
0,mae,8,0.05,2.181056,22.872082
0,mae,8,0.075,2.973163,22.414467
0,mae,8,0.1,3.385091,22.024307
0,mae,8,0.15,5.990261,19.93936
0,mse,8,0.05,0.49216,29.576584
0,mse,8,0.075,0.799752,28.569874
0,mse,8,0.1,0.978726,27.745829
0,mse,8,0.15,3.312283,23.804359
0,mae,9,0.05,3.020737,22.376194
0,mae,9,0.075,3.876018,21.539171
0,mae,9,0.1,4.356398,21.233131
0,mae,9,0.15,7.196669,19.768955
0,mse,9,0.05,1.228592,28.43224
0,mse,9,0.075,1.645998,26.52993
0,mse,9,0.1,1.880464,25.88842
0,mse,9,0.15,4.493672,22.941418
0,mae,10,0.05,3.687295,21.920391
0,mae,10,0.075,4.434865,21.336351
0,mae,10,0.1,4.818059,21.049438
0,mae,10,0.15,6.589335,19.51355
0,mse,10,0.05,1.48386,27.901075
0,mse,10,0.075,1.863563,26.939007
0,mse,10,0.1,2.086985,26.385773
0,mse,10,0.15,3.667643,23.152012
0,mae,11,0.05,2.687777,22.079885
0,mae,11,0.075,3.317314,21.512655
0,mae,11,0.1,3.795825,21.157196
0,mae,11,0.15,5.008054,19.91235
0,mse,11,0.05,0.90197,27.544312
0,mse,11,0.075,1.089645,26.362165
0,mse,11,0.1,1.298278,25.631958
0,mse,11,0.15,2.042096,23.092659
0,mae,12,0.05,3.111161,22.165194
0,mae,12,0.075,5.009901,20.70092
0,mae,12,0.1,5.414259,20.413284
0,mae,12,0.15,6.370746,19.106178
0,mse,12,0.05,1.048641,27.645794
0,mse,12,0.075,3.10679,24.494701
0,mse,12,0.1,3.439949,23.916107
0,mse,12,0.15,3.970436,21.154465
0,mae,13,0.05,2.729936,22.036469
0,mae,13,0.075,5.30869,20.38032
0,mae,13,0.1,5.66257,19.923046
0,mae,13,0.15,6.387909,19.203438
0,mse,13,0.05,0.753136,27.653919
0,mse,13,0.075,2.964879,23.87676
0,mse,13,0.1,3.215661,23.00576
0,mse,13,0.15,3.738268,21.621265
0,mae,14,0.05,2.962518,22.242569
0,mae,14,0.075,4.125098,21.167974
0,mae,14,0.1,4.729657,20.588991
0,mae,14,0.15,6.936857,19.865034
0,mse,14,0.05,0.793429,28.241188
0,mse,14,0.075,1.524007,25.64027
0,mse,14,0.1,1.799004,24.38755
0,mse,14,0.15,3.920345,23.001627
0,mae,15,0.05,2.362416,22.33057
0,mae,15,0.075,3.216422,21.644617
0,mae,15,0.1,3.671698,21.289917
0,mae,15,0.15,5.03508,20.177441
0,mse,15,0.05,0.510535,28.475128
0,mse,15,0.075,0.802552,27.045233
0,mse,15,0.1,0.996616,26.289024
0,mse,15,0.15,1.751328,24.130375
0,mae,16,0.05,2.144394,22.777058
0,mae,16,0.075,3.040411,22.271286
0,mae,16,0.1,3.455994,21.744003
0,mae,16,0.15,6.547553,19.987034
0,mse,16,0.05,0.512244,29.39938
0,mse,16,0.075,0.818576,28.23667
0,mse,16,0.1,0.986416,27.251049
0,mse,16,0.15,4.193475,23.841438
0,mae,17,0.05,2.996935,22.334072
0,mae,17,0.075,3.63349,21.449295
0,mae,17,0.1,4.07413,21.186232
0,mae,17,0.15,7.210033,19.297657
0,mse,17,0.05,1.152207,28.453308
0,mse,17,0.075,1.500549,26.439878
0,mse,17,0.1,1.709801,25.843552
0,mse,17,0.15,4.848592,21.73444
0,mae,18,0.05,3.615464,22.130907
0,mae,18,0.075,4.574574,21.475336
0,mae,18,0.1,4.979207,21.174294
0,mae,18,0.15,7.107394,19.068909
0,mse,18,0.05,1.535861,27.821339
0,mse,18,0.075,2.159667,26.431105
0,mse,18,0.1,2.416257,25.800196
0,mse,18,0.15,4.6068,21.35994
0,mae,19,0.05,3.304078,21.741074
0,mae,19,0.075,3.825025,21.20767
0,mae,19,0.1,4.220818,20.879852
0,mae,19,0.15,5.801428,19.22892
0,mse,19,0.05,1.520415,27.04599
0,mse,19,0.075,1.706524,25.878212
0,mse,19,0.1,1.847318,25.13789
0,mse,19,0.15,2.811835,21.744165
0,mae,20,0.05,3.876101,21.485966
0,mae,20,0.075,5.156745,19.998264
0,mae,20,0.1,5.51869,19.658209
0,mae,20,0.15,6.605935,18.725975
0,mse,20,0.05,1.806853,26.248627
0,mse,20,0.075,3.096575,23.045364
0,mse,20,0.1,3.318095,22.338818
0,mse,20,0.15,3.951077,20.431332
0,mae,21,0.05,3.040539,21.453823
0,mae,21,0.075,4.996188,20.269722
0,mae,21,0.1,5.291004,19.943657
0,mae,21,0.15,6.18957,18.806646
0,mse,21,0.05,0.910363,26.300274
0,mse,21,0.075,2.331079,23.576979
0,mse,21,0.1,2.512321,22.893162
0,mse,21,0.15,3.077571,20.617155
0,mae,22,0.05,2.835039,21.878988
0,mae,22,0.075,4.069648,20.94376
0,mae,22,0.1,4.736575,20.224882
0,mae,22,0.15,6.595913,19.298132
0,mse,22,0.05,0.647598,27.250244
0,mse,22,0.075,1.326303,25.116537
0,mse,22,0.1,1.672064,23.46604
0,mse,22,0.15,3.340858,21.484833
0,mae,23,0.05,2.533789,21.53314
0,mae,23,0.075,3.505828,20.903278
0,mae,23,0.1,4.062402,20.599817
0,mae,23,0.15,5.453227,19.354504
0,mse,23,0.05,0.612187,26.247192
0,mse,23,0.075,0.943844,24.966366
0,mse,23,0.1,1.181464,24.316719
0,mse,23,0.15,2.012387,21.680645
1,mae,0,0.05,2.757256,25.406914
1,mae,0,0.075,3.713663,24.178467
1,mae,0,0.1,4.246243,23.670124
1,mae,0,0.15,5.745528,22.615974
1,mse,0,0.05,0.744451,39.601021
1,mse,0,0.075,1.167942,36.546925
1,mse,0,0.1,1.473794,35.404621
1,mse,0,0.15,2.622677,32.947952
1,mae,1,0.05,3.61165,24.664639
1,mae,1,0.075,4.384377,23.388142
1,mae,1,0.1,4.916363,22.952221
1,mae,1,0.15,6.350483,22.115606
1,mse,1,0.05,1.226435,37.689674
1,mse,1,0.075,1.63004,34.662453
1,mse,1,0.1,1.990624,33.73687
1,mse,1,0.15,3.220415,31.78315
1,mae,2,0.05,5.973588,23.404037
1,mae,2,0.075,6.544673,22.612801
1,mae,2,0.1,7.0318,21.844955
1,mae,2,0.15,8.075695,20.245848
1,mse,2,0.05,5.186856,33.095703
1,mse,2,0.075,5.566185,31.081802
1,mse,2,0.1,5.956488,29.286186
1,mse,2,0.15,6.824622,25.888866
1,mae,3,0.05,3.107198,25.056904
1,mae,3,0.075,3.59026,24.392057
1,mae,3,0.1,4.101096,23.83452
1,mae,3,0.15,5.449924,22.372787
1,mse,3,0.05,0.912053,38.653015
1,mse,3,0.075,1.105938,36.927158
1,mse,3,0.1,1.426324,35.647579
1,mse,3,0.15,2.293966,32.03244
1,mae,4,0.05,5.071916,24.680311
1,mae,4,0.075,6.502771,23.570341
1,mae,4,0.1,7.012016,22.808144
1,mae,4,0.15,8.233528,21.412195
1,mse,4,0.05,2.474767,37.194916
1,mse,4,0.075,3.331142,34.281281
1,mse,4,0.1,3.836982,32.356827
1,mse,4,0.15,5.144977,28.979912
1,mae,5,0.05,3.581539,25.079472
1,mae,5,0.075,4.585399,24.340132
1,mae,5,0.1,4.945144,23.706697
1,mae,5,0.15,7.140874,22.322834
1,mse,5,0.05,1.120487,38.339314
1,mse,5,0.075,1.862547,36.225143
1,mse,5,0.1,2.046082,34.446701
1,mse,5,0.15,3.702357,30.65543
1,mae,6,0.05,4.26038,24.216431
1,mae,6,0.075,5.333459,22.87702
1,mae,6,0.1,5.585902,22.295799
1,mae,6,0.15,6.801753,21.219456
1,mse,6,0.05,1.573664,36.189373
1,mse,6,0.075,2.319152,32.689922
1,mse,6,0.1,2.495464,31.079462
1,mse,6,0.15,3.353713,28.487703
1,mae,7,0.05,3.6812,25.504297
1,mae,7,0.075,4.759429,24.691185
1,mae,7,0.1,4.983688,24.33872
1,mae,7,0.15,7.352866,22.880865
1,mse,7,0.05,1.190544,39.900177
1,mse,7,0.075,1.88899,37.581638
1,mse,7,0.1,2.000263,36.574745
1,mse,7,0.15,6.013192,32.467606
1,mae,8,0.05,1.953943,25.808308
1,mae,8,0.075,3.32402,25.059689
1,mae,8,0.1,3.845953,24.661886
1,mae,8,0.15,5.355087,23.256815
1,mse,8,0.05,0.404712,40.501312
1,mse,8,0.075,0.983487,38.448586
1,mse,8,0.1,1.247532,37.36795
1,mse,8,0.15,2.304115,33.891052
1,mae,9,0.05,4.056913,24.48843
1,mae,9,0.075,4.914773,23.545452
1,mae,9,0.1,5.167834,23.221411
1,mae,9,0.15,6.399901,22.466534
1,mse,9,0.05,1.6771,36.869007
1,mse,9,0.075,2.141133,34.516617
1,mse,9,0.1,2.376603,33.731586
1,mse,9,0.15,3.39926,31.84226
1,mae,10,0.05,5.446404,23.481979
1,mae,10,0.075,6.310565,22.206322
1,mae,10,0.1,6.832015,21.669462
1,mae,10,0.15,7.961614,20.260853
1,mse,10,0.05,4.943716,33.253391
1,mse,10,0.075,5.461909,30.1259
1,mse,10,0.1,5.828689,28.920803
1,mse,10,0.15,6.822929,26.026934
1,mae,11,0.05,3.947315,25.313148
1,mae,11,0.075,4.536556,24.349102
1,mae,11,0.1,5.140982,23.765064
1,mae,11,0.15,6.439552,21.036112
1,mse,11,0.05,1.791376,38.661179
1,mse,11,0.075,2.08066,36.031364
1,mse,11,0.1,2.51846,34.44659
1,mse,11,0.15,3.490089,27.035179
1,mae,12,0.05,5.842226,23.473957
1,mae,12,0.075,7.376866,21.996
1,mae,12,0.1,7.936831,21.23616
1,mae,12,0.15,9.559435,20.019642
1,mse,12,0.05,4.735679,33.352669
1,mse,12,0.075,5.744162,29.321247
1,mse,12,0.1,6.43431,27.567253
1,mse,12,0.15,8.152456,24.803331
1,mae,13,0.05,3.441483,24.958076
1,mae,13,0.075,4.939924,23.986675
1,mae,13,0.1,5.425964,23.462111
1,mae,13,0.15,8.153271,21.776604
1,mse,13,0.05,1.157861,38.841072
1,mse,13,0.075,2.084165,36.086143
1,mse,13,0.1,2.326833,34.71946
1,mse,13,0.15,4.87116,30.392748
1,mae,14,0.05,3.921595,24.63739
1,mae,14,0.075,4.904142,23.302969
1,mae,14,0.1,5.265291,22.612635
1,mae,14,0.15,6.534704,21.072144
1,mse,14,0.05,1.273475,36.950527
1,mse,14,0.075,1.909631,33.317455
1,mse,14,0.1,2.12019,31.608908
1,mse,14,0.15,3.04119,28.095949
1,mae,15,0.05,4.236966,25.430941
1,mae,15,0.075,5.022507,24.140778
1,mae,15,0.1,5.222569,23.573498
1,mae,15,0.15,7.569793,22.57333
1,mse,15,0.05,2.012303,39.078278
1,mse,15,0.075,2.519978,35.540794
1,mse,15,0.1,2.615628,34.035248
1,mse,15,0.15,5.315171,31.47699
1,mae,16,0.05,2.149051,26.547688
1,mae,16,0.075,3.036297,25.492615
1,mae,16,0.1,3.536731,25.056746
1,mae,16,0.15,5.183609,23.21674
1,mse,16,0.05,0.421667,42.43565
1,mse,16,0.075,0.798905,39.295288
1,mse,16,0.1,1.094816,38.096832
1,mse,16,0.15,2.24155,33.442841
1,mae,17,0.05,5.507688,23.156605
1,mae,17,0.075,6.574518,22.233658
1,mae,17,0.1,6.959903,21.92746
1,mae,17,0.15,8.088428,21.106434
1,mse,17,0.05,4.29657,32.377556
1,mse,17,0.075,5.101883,30.124569
1,mse,17,0.1,5.394423,29.377672
1,mse,17,0.15,6.610932,27.495226
1,mae,18,0.05,4.594637,23.740957
1,mae,18,0.075,5.346321,22.81986
1,mae,18,0.1,5.765388,22.249512
1,mae,18,0.15,6.800792,20.834522
1,mse,18,0.05,2.329741,34.756622
1,mse,18,0.075,2.789975,32.426483
1,mse,18,0.1,3.084915,31.056602
1,mse,18,0.15,3.987629,27.875933
1,mae,19,0.05,5.02993,23.774906
1,mae,19,0.075,5.399554,22.839077
1,mae,19,0.1,5.83705,22.220989
1,mae,19,0.15,7.396855,20.400318
