batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.294729,18.768444
0,mae,0,0.075,9.467239,16.394604
0,mae,0,0.1,10.214087,15.552778
0,mae,0,0.15,11.972346,13.762728
0,mse,0,0.05,5.280083,19.727005
0,mse,0,0.075,7.761729,15.253777
0,mse,0,0.1,8.633796,13.886291
0,mse,0,0.15,10.684067,10.98812
0,mae,1,0.05,7.112216,19.137354
0,mae,1,0.075,8.909512,17.194859
0,mae,1,0.1,10.244856,15.977749
0,mae,1,0.15,11.607056,14.274255
0,mse,1,0.05,4.994605,20.451492
0,mse,1,0.075,6.83845,16.791655
0,mse,1,0.1,8.420108,14.453316
0,mse,1,0.15,10.16111,11.698104
0,mae,2,0.05,7.805781,18.911163
0,mae,2,0.075,9.282757,16.690237
0,mae,2,0.1,9.997639,15.57358
0,mae,2,0.15,11.977838,13.777492
0,mse,2,0.05,5.679583,20.174799
0,mse,2,0.075,6.997616,15.589748
0,mse,2,0.1,7.672301,13.491009
0,mse,2,0.15,10.474219,10.6695
0,mae,3,0.05,7.332568,18.678478
0,mae,3,0.075,9.044474,16.694
0,mae,3,0.1,9.802912,15.832308
0,mae,3,0.15,11.425863,13.873016
0,mse,3,0.05,5.098298,19.735405
0,mse,3,0.075,6.748167,15.860338
0,mse,3,0.1,7.761534,14.138772
0,mse,3,0.15,9.898874,10.957809
0,mae,4,0.05,6.357897,20.029495
0,mae,4,0.075,8.364656,17.510124
0,mae,4,0.1,9.238903,15.964464
0,mae,4,0.15,11.403618,13.904692
0,mse,4,0.05,4.003597,22.847286
0,mse,4,0.075,5.759986,17.321926
0,mse,4,0.1,6.709958,14.399198
0,mse,4,0.15,9.343618,11.092257
0,mae,5,0.05,6.074127,19.057545
0,mae,5,0.075,9.059336,16.071629
0,mae,5,0.1,10.775691,14.71085
0,mae,5,0.15,12.742656,12.892523
0,mse,5,0.05,3.340024,20.611465
0,mse,5,0.075,6.578263,14.169957
0,mse,5,0.1,8.779274,11.766373
0,mse,5,0.15,11.512753,9.067965
0,mae,6,0.05,6.559137,18.2941
0,mae,6,0.075,8.682245,16.477955
0,mae,6,0.1,10.113878,15.662096
0,mae,6,0.15,12.079435,13.927427
0,mse,6,0.05,3.872083,18.464161
0,mse,6,0.075,5.768811,14.828272
0,mse,6,0.1,7.76404,13.607895
0,mse,6,0.15,10.095304,10.934097
0,mae,7,0.05,6.143851,18.708935
0,mae,7,0.075,8.493893,16.612209
0,mae,7,0.1,10.263952,15.531953
0,mae,7,0.15,12.212721,13.627121
0,mse,7,0.05,3.322375,19.44179
0,mse,7,0.075,5.561556,15.371634
0,mse,7,0.1,7.497923,13.475458
0,mse,7,0.15,9.861951,10.627226
0,mae,8,0.05,5.814517,19.137335
0,mae,8,0.075,8.419262,17.314007
0,mae,8,0.1,9.667652,16.248947
0,mae,8,0.15,11.323586,14.312166
0,mse,8,0.05,3.132073,20.674194
0,mse,8,0.075,5.529078,16.915571
0,mse,8,0.1,6.837413,15.182652
0,mse,8,0.15,9.021839,12.031504
0,mae,9,0.05,6.892551,18.755423
0,mae,9,0.075,8.985449,16.715855
0,mae,9,0.1,10.237047,15.191363
0,mae,9,0.15,12.512926,13.174534
0,mse,9,0.05,4.074018,20.028755
0,mse,9,0.075,6.266639,15.939844
0,mse,9,0.1,7.764977,12.810862
0,mse,9,0.15,10.590086,9.713549
0,mae,10,0.05,6.104749,18.906815
0,mae,10,0.075,9.120631,16.590714
0,mae,10,0.1,10.227116,15.479179
0,mae,10,0.15,12.154428,13.645909
0,mse,10,0.05,3.126435,20.038212
0,mse,10,0.075,6.198687,15.390924
0,mse,10,0.1,7.67915,13.247325
0,mse,10,0.15,10.179489,10.394548
0,mae,11,0.05,7.190386,18.531532
0,mae,11,0.075,9.347225,16.391329
0,mae,11,0.1,10.511564,15.487339
0,mae,11,0.15,12.23037,13.844877
0,mse,11,0.05,4.542611,18.988951
0,mse,11,0.075,6.686169,14.873782
0,mse,11,0.1,8.172315,13.408087
0,mse,11,0.15,10.254484,10.845609
0,mae,12,0.05,7.531666,18.232895
0,mae,12,0.075,10.063385,15.867125
0,mae,12,0.1,10.869464,14.905373
0,mae,12,0.15,12.755379,13.403383
0,mse,12,0.05,4.971457,18.386738
0,mse,12,0.075,7.86683,13.736262
0,mse,12,0.1,8.992476,12.21467
0,mse,12,0.15,11.59396,9.99317
0,mae,13,0.05,7.520171,18.218235
0,mae,13,0.075,9.781351,16.263817
0,mae,13,0.1,10.671917,15.175326
0,mae,13,0.15,12.651531,13.434439
0,mse,13,0.05,4.499893,18.222284
0,mse,13,0.075,7.380587,14.738867
0,mse,13,0.1,8.404222,12.979303
0,mse,13,0.15,11.395983,9.997892
0,mae,14,0.05,7.233564,18.230064
0,mae,14,0.075,9.923651,16.401619
0,mae,14,0.1,10.884975,15.441652
0,mae,14,0.15,12.720165,13.507597
0,mse,14,0.05,4.055179,17.940199
0,mse,14,0.075,7.34187,14.90889
0,mse,14,0.1,8.987038,13.412165
0,mse,14,0.15,11.504629,10.445208
0,mae,15,0.05,7.47264,18.247498
0,mae,15,0.075,9.773583,16.629093
0,mae,15,0.1,10.409292,16.011505
0,mae,15,0.15,12.345436,13.906067
0,mse,15,0.05,4.393414,18.376308
0,mse,15,0.075,7.72138,15.61388
0,mse,15,0.1,8.43426,14.640397
0,mse,15,0.15,11.130032,10.964694
0,mae,16,0.05,7.530821,18.235188
0,mae,16,0.075,10.256748,16.120308
0,mae,16,0.1,10.907288,15.03626
0,mae,16,0.15,12.94032,13.520144
0,mse,16,0.05,4.407072,18.167574
0,mse,16,0.075,8.092144,14.283626
0,mse,16,0.1,9.093641,12.498211
0,mse,16,0.15,12.014516,10.2459
0,mae,17,0.05,7.338445,18.237597
0,mae,17,0.075,9.501278,16.326797
0,mae,17,0.1,11.009321,15.032885
0,mae,17,0.15,13.012163,13.095711
0,mse,17,0.05,4.433501,17.966354
0,mse,17,0.075,6.958658,14.842415
0,mse,17,0.1,8.930266,12.758228
0,mse,17,0.15,12.013107,9.657503
0,mae,18,0.05,7.358384,18.1933
0,mae,18,0.075,8.86116,16.670242
0,mae,18,0.1,9.763863,16.007816
0,mae,18,0.15,11.46098,13.922325
0,mse,18,0.05,4.443674,18.165112
0,mse,18,0.075,6.248285,15.539475
0,mse,18,0.1,7.493989,14.399578
0,mse,18,0.15,9.711507,11.128345
0,mae,19,0.05,7.163979,18.484037
0,mae,19,0.075,9.127207,16.476734
0,mae,19,0.1,10.521422,15.598476
0,mae,19,0.15,12.311925,13.184586
0,mse,19,0.05,4.460218,18.778566
0,mse,19,0.075,6.289129,15.098968
0,mse,19,0.1,8.433413,13.682848
0,mse,19,0.15,11.025249,9.726079
0,mae,20,0.05,7.762786,18.91703
0,mae,20,0.075,9.315931,17.24
0,mae,20,0.1,10.449287,16.059517
0,mae,20,0.15,12.198257,13.901682
0,mse,20,0.05,5.211354,20.077044
0,mse,20,0.075,7.455094,16.661579
0,mse,20,0.1,8.639911,14.628641
0,mse,20,0.15,11.018704,11.13916
0,mae,21,0.05,7.628713,19.009615
0,mae,21,0.075,8.992254,17.031628
0,mae,21,0.1,10.049011,15.745783
0,mae,21,0.15,12.152626,13.267604
0,mse,21,0.05,5.36665,20.231987
0,mse,21,0.075,6.988765,16.227741
0,mse,21,0.1,8.109444,13.674839
0,mse,21,0.15,10.798681,9.848948
0,mae,22,0.05,7.590353,19.333349
0,mae,22,0.075,9.076168,17.179157
0,mae,22,0.1,10.01853,16.054235
0,mae,22,0.15,12.60639,13.574756
0,mse,22,0.05,5.427641,21.048504
0,mse,22,0.075,7.155805,16.404673
0,mse,22,0.1,8.058872,14.438195
0,mse,22,0.15,11.392933,10.507854
0,mae,23,0.05,8.40387,19.009911
0,mae,23,0.075,10.32283,16.960133
0,mae,23,0.1,11.086255,15.874708
0,mae,23,0.15,12.822884,13.878057
0,mse,23,0.05,6.300811,20.193409
0,mse,23,0.075,9.030613,16.363579
0,mse,23,0.1,9.992794,14.381575
0,mse,23,0.15,12.274206,11.115296
1,mae,0,0.05,10.297153,19.368309
1,mae,0,0.075,12.439514,17.050701
1,mae,0,0.1,13.367855,16.219107
1,mae,0,0.15,15.490221,13.940099
1,mse,0,0.05,10.034328,22.245707
1,mse,0,0.075,13.029569,17.286152
1,mse,0,0.1,14.607263,15.533621
1,mse,0,0.15,18.344772,11.629146
1,mae,1,0.05,10.541674,18.457722
1,mae,1,0.075,12.510162,16.836693
1,mae,1,0.1,13.635601,15.342753
1,mae,1,0.15,15.73896,13.250368
1,mse,1,0.05,10.515642,20.036804
1,mse,1,0.075,13.424025,16.948204
1,mse,1,0.1,15.184633,13.847974
1,mse,1,0.15,18.770662,10.284817
1,mae,2,0.05,10.424137,18.155535
1,mae,2,0.075,13.1094,16.288731
1,mae,2,0.1,13.956522,15.226648
1,mae,2,0.15,15.978254,13.271848
1,mse,2,0.05,10.267496,19.714317
1,mse,2,0.075,14.345825,15.775835
1,mse,2,0.1,15.691051,13.741286
1,mse,2,0.15,18.885418,10.197107
1,mae,3,0.05,10.361805,18.674135
1,mae,3,0.075,12.708482,16.584442
1,mae,3,0.1,13.859324,15.158299
1,mae,3,0.15,15.911425,12.96228
1,mse,3,0.05,9.958385,20.861435
1,mse,3,0.075,13.470407,16.176796
1,mse,3,0.1,14.997463,13.208853
1,mse,3,0.15,18.311583,9.750639
1,mae,4,0.05,10.006977,18.588606
1,mae,4,0.075,12.892692,16.127323
1,mae,4,0.1,13.955403,15.002735
1,mae,4,0.15,15.749251,13.06114
1,mse,4,0.05,9.524162,20.582161
1,mse,4,0.075,13.558604,14.967784
1,mse,4,0.1,15.059813,12.857378
1,mse,4,0.15,18.490805,9.806801
1,mae,5,0.05,9.889887,18.19627
1,mae,5,0.075,12.912991,16.333542
1,mae,5,0.1,13.693891,15.1229
1,mae,5,0.15,16.341347,12.303568
1,mse,5,0.05,9.391624,19.486248
1,mse,5,0.075,13.602448,15.492056
1,mse,5,0.1,14.573618,13.116024
1,mse,5,0.15,18.681452,8.526838
1,mae,6,0.05,9.201912,18.510464
1,mae,6,0.075,11.374195,16.680773
1,mae,6,0.1,12.661146,15.806379
1,mae,6,0.15,15.601537,13.420399
1,mse,6,0.05,8.820513,20.251215
1,mse,6,0.075,11.251369,16.577003
1,mse,6,0.1,12.778393,14.742656
1,mse,6,0.15,17.479576,10.623428
1,mae,7,0.05,8.734278,19.581549
1,mae,7,0.075,11.421103,17.030983
1,mae,7,0.1,12.678497,15.754141
1,mae,7,0.15,14.837509,13.490802
1,mse,7,0.05,7.407001,22.360947
1,mse,7,0.075,10.349136,16.975651
1,mse,7,0.1,12.45192,14.157969
1,mse,7,0.15,16.15744,10.532045
1,mae,8,0.05,8.876417,18.696249
1,mae,8,0.075,11.695683,16.995487
1,mae,8,0.1,13.050191,15.863588
1,mae,8,0.15,15.492758,13.80365
1,mse,8,0.05,7.916641,20.954878
1,mse,8,0.075,11.277906,17.201336
1,mse,8,0.1,13.0928,14.876033
1,mse,8,0.15,16.637348,10.979528
1,mae,9,0.05,9.199438,18.786751
1,mae,9,0.075,11.377871,16.819519
1,mae,9,0.1,12.88997,15.772017
1,mae,9,0.15,15.056273,13.250002
1,mse,9,0.05,7.892272,20.817642
1,mse,9,0.075,10.48508,16.867983
1,mse,9,0.1,12.711124,14.582495
1,mse,9,0.15,15.945129,9.957891
1,mae,10,0.05,8.976679,19.493628
1,mae,10,0.075,11.007829,16.97991
1,mae,10,0.1,12.454855,15.701464
