batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.535724,21.016132
0,mae,0,0.075,7.993166,20.009602
0,mae,0,0.1,8.418156,19.416382
0,mae,0,0.15,9.304935,18.165035
0,mse,0,0.05,3.918707,25.202452
0,mse,0,0.075,5.296006,22.60041
0,mse,0,0.1,5.742427,21.352022
0,mse,0,0.15,6.636256,18.741854
0,mae,1,0.05,6.318311,21.214062
0,mae,1,0.075,7.001119,20.349514
0,mae,1,0.1,7.500052,19.906269
0,mae,1,0.15,8.564512,18.769495
0,mse,1,0.05,3.843629,25.888927
0,mse,1,0.075,4.317289,23.757219
0,mse,1,0.1,4.891875,22.893085
0,mse,1,0.15,6.020795,20.383636
0,mae,2,0.05,5.860013,21.059978
0,mae,2,0.075,7.534829,19.808369
0,mae,2,0.1,7.863805,19.339884
0,mae,2,0.15,9.141966,18.325401
0,mse,2,0.05,3.366501,25.413982
0,mse,2,0.075,5.136018,22.609058
0,mse,2,0.1,5.513044,21.598602
0,mse,2,0.15,6.884274,19.326332
0,mae,3,0.05,6.010704,21.007008
0,mae,3,0.075,7.461817,19.625557
0,mae,3,0.1,7.867597,19.224934
0,mae,3,0.15,9.011808,18.204506
0,mse,3,0.05,3.587596,24.87995
0,mse,3,0.075,5.025259,21.974236
0,mse,3,0.1,5.514834,21.134077
0,mse,3,0.15,6.773821,19.072372
0,mae,4,0.05,5.508585,21.753668
0,mae,4,0.075,7.167937,20.111494
0,mae,4,0.1,8.031633,19.666704
0,mae,4,0.15,9.358458,18.363909
0,mse,4,0.05,2.962161,27.241444
0,mse,4,0.075,4.697028,23.721951
0,mse,4,0.1,5.736728,22.610815
0,mse,4,0.15,7.254877,19.93977
0,mae,5,0.05,5.305556,21.102043
0,mae,5,0.075,7.393297,19.05867
0,mae,5,0.1,8.315266,18.544601
0,mae,5,0.15,9.610123,17.401253
0,mse,5,0.05,2.596473,25.615253
0,mse,5,0.075,4.959797,20.735256
0,mse,5,0.1,5.876718,19.667992
0,mse,5,0.15,7.521826,17.49811
0,mae,6,0.05,4.784963,21.004869
0,mae,6,0.075,6.204792,20.083881
0,mae,6,0.1,6.988092,19.459076
0,mae,6,0.15,8.289027,18.296104
0,mse,6,0.05,2.108757,25.229618
0,mse,6,0.075,3.058501,22.918274
0,mse,6,0.1,3.763329,21.624882
0,mse,6,0.15,5.116555,19.246876
0,mae,7,0.05,4.957064,21.107368
0,mae,7,0.075,6.263642,20.110136
0,mae,7,0.1,7.115959,19.270397
0,mae,7,0.15,8.690121,18.045515
0,mse,7,0.05,2.167609,25.784952
0,mse,7,0.075,3.213266,23.355068
0,mse,7,0.1,3.830752,21.348997
0,mse,7,0.15,5.494859,19.035419
0,mae,8,0.05,5.138779,21.086349
0,mae,8,0.075,6.724149,20.088844
0,mae,8,0.1,7.711441,19.255373
0,mae,8,0.15,9.319931,18.011368
0,mse,8,0.05,2.194828,25.752987
0,mse,8,0.075,3.531941,23.436913
0,mse,8,0.1,4.691453,21.405016
0,mse,8,0.15,6.114829,18.863049
0,mae,9,0.05,5.071031,21.81884
0,mae,9,0.075,6.415466,20.545647
0,mae,9,0.1,7.518909,19.459637
0,mae,9,0.15,8.86867,18.025631
0,mse,9,0.05,2.216418,27.402386
0,mse,9,0.075,3.343232,24.16065
0,mse,9,0.1,4.466127,21.609116
0,mse,9,0.15,5.800361,18.757338
0,mae,10,0.05,5.440764,21.818285
0,mae,10,0.075,6.921244,20.397594
0,mae,10,0.1,7.514563,19.867502
0,mae,10,0.15,9.312531,18.128445
0,mse,10,0.05,2.618171,27.350016
0,mse,10,0.075,3.760312,23.84639
0,mse,10,0.1,4.263839,22.835398
0,mse,10,0.15,6.044487,19.073072
0,mae,11,0.05,6.505289,20.951656
0,mae,11,0.075,7.467814,19.85078
0,mae,11,0.1,8.081564,19.411024
0,mae,11,0.15,9.279026,18.298365
0,mse,11,0.05,3.563788,25.22401
0,mse,11,0.075,4.297685,22.9391
0,mse,11,0.1,4.866997,22.009975
0,mse,11,0.15,5.999771,19.920521
0,mae,12,0.05,6.145037,20.84833
0,mae,12,0.075,7.252581,19.872889
0,mae,12,0.1,7.699939,19.356382
0,mae,12,0.15,8.876396,18.00206
0,mse,12,0.05,3.191501,24.731712
0,mse,12,0.075,4.024625,22.690952
0,mse,12,0.1,4.335296,21.599625
0,mse,12,0.15,5.635952,18.92868
0,mae,13,0.05,6.320182,20.420212
0,mae,13,0.075,7.332744,19.425667
0,mae,13,0.1,7.87575,18.878563
0,mae,13,0.15,9.235348,17.358662
0,mse,13,0.05,3.210323,23.438986
0,mse,13,0.075,4.026654,21.156296
0,mse,13,0.1,4.598658,20.132496
0,mse,13,0.15,6.019345,17.273563
0,mae,14,0.05,6.432167,20.716902
0,mae,14,0.075,7.506239,19.623356
0,mae,14,0.1,7.834519,18.887348
0,mae,14,0.15,9.067699,17.580954
0,mse,14,0.05,3.35105,24.185596
0,mse,14,0.075,4.366052,21.865017
0,mse,14,0.1,4.72344,20.385338
0,mse,14,0.15,5.928351,17.820862
0,mae,15,0.05,6.136808,20.696053
0,mae,15,0.075,7.325212,19.255108
0,mae,15,0.1,7.683781,18.894508
0,mae,15,0.15,8.741238,17.846821
0,mse,15,0.05,3.030628,23.665558
0,mse,15,0.075,4.159482,20.551147
0,mse,15,0.1,4.689209,19.857924
0,mse,15,0.15,5.84984,17.874691
0,mae,16,0.05,5.972155,20.842495
0,mae,16,0.075,7.005354,20.140732
0,mae,16,0.1,7.674449,19.66328
0,mae,16,0.15,8.751041,17.995607
0,mse,16,0.05,2.977832,24.182045
0,mse,16,0.075,3.894265,22.811253
0,mse,16,0.1,4.50989,21.778629
0,mse,16,0.15,5.738343,18.386156
0,mae,17,0.05,6.197539,20.877476
0,mae,17,0.075,7.483657,19.618021
0,mae,17,0.1,8.082479,19.073021
0,mae,17,0.15,9.040376,17.820721
0,mse,17,0.05,3.103835,24.891081
0,mse,17,0.075,4.329675,21.999722
0,mse,17,0.1,4.909464,20.864601
0,mse,17,0.15,5.847786,18.453135
0,mae,18,0.05,5.955626,20.628073
0,mae,18,0.075,7.56042,19.304661
0,mae,18,0.1,8.346922,18.875916
0,mae,18,0.15,9.418087,17.817375
0,mse,18,0.05,3.111697,23.941153
0,mse,18,0.075,4.607612,21.027884
0,mse,18,0.1,5.412157,20.190044
0,mse,18,0.15,6.593759,18.158031
0,mae,19,0.05,6.3816,20.450539
0,mae,19,0.075,7.766253,19.493479
0,mae,19,0.1,8.47411,19.048626
0,mae,19,0.15,9.1685,18.257412
0,mse,19,0.05,3.623595,23.552588
0,mse,19,0.075,4.748219,21.658039
0,mse,19,0.1,5.405057,20.766209
0,mse,19,0.15,6.183664,19.347643
0,mae,20,0.05,6.158049,20.959509
0,mae,20,0.075,7.171679,19.615353
0,mae,20,0.1,8.126749,19.079514
0,mae,20,0.15,8.895922,18.187618
0,mse,20,0.05,3.44205,24.702967
0,mse,20,0.075,4.356242,21.770788
0,mse,20,0.1,5.274414,20.704704
0,mse,20,0.15,6.152112,19.071976
0,mae,21,0.05,5.782165,21.525429
0,mae,21,0.075,6.820813,20.394199
0,mae,21,0.1,7.235511,19.905033
0,mae,21,0.15,8.378071,18.350758
0,mse,21,0.05,3.288864,25.93861
0,mse,21,0.075,4.206784,23.49176
0,mse,21,0.1,4.550169,22.581076
0,mse,21,0.15,5.752586,19.2687
0,mae,22,0.05,5.541446,21.107304
0,mae,22,0.075,6.593112,20.306593
0,mae,22,0.1,7.042199,19.772049
0,mae,22,0.15,8.092052,18.541794
0,mse,22,0.05,3.218594,25.348742
0,mse,22,0.075,4.08093,23.501438
0,mse,22,0.1,4.445313,22.353821
0,mse,22,0.15,5.465848,19.798237
0,mae,23,0.05,5.83826,20.92646
0,mae,23,0.075,6.537114,20.217419
0,mae,23,0.1,7.096133,19.774128
0,mae,23,0.15,8.05597,18.58934
0,mse,23,0.05,3.205786,24.740967
0,mse,23,0.075,3.898613,23.123486
0,mse,23,0.1,4.443645,22.166584
0,mse,23,0.15,5.39938,19.744068
1,mae,0,0.05,7.556485,21.580566
1,mae,0,0.075,8.902081,20.266521
1,mae,0,0.1,9.23534,19.883892
1,mae,0,0.15,10.300264,18.436628
1,mse,0,0.05,6.736628,27.517414
1,mse,0,0.075,8.474476,24.50572
1,mse,0,0.1,8.991264,23.747829
1,mse,0,0.15,10.438869,20.848812
1,mae,1,0.05,7.655014,20.818275
1,mae,1,0.075,9.026932,19.39909
1,mae,1,0.1,9.406845,18.506626
1,mae,1,0.15,10.487206,17.387993
1,mse,1,0.05,6.942121,26.05706
1,mse,1,0.075,8.756567,22.430435
1,mse,1,0.1,9.215219,20.398655
1,mse,1,0.15,10.510848,18.158869
1,mae,2,0.05,7.637823,20.67453
1,mae,2,0.075,8.490419,19.635059
1,mae,2,0.1,9.263474,18.812838
1,mae,2,0.15,10.805499,17.490818
1,mse,2,0.05,6.927359,25.250668
1,mse,2,0.075,7.618348,22.802481
1,mse,2,0.1,8.963576,21.00985
1,mse,2,0.15,10.761026,18.345392
1,mae,3,0.05,7.466623,20.482149
1,mae,3,0.075,8.762823,19.346249
1,mae,3,0.1,9.165994,18.915569
1,mae,3,0.15,10.55751,17.641006
1,mse,3,0.05,6.572166,24.794395
1,mse,3,0.075,7.736779,22.055441
1,mse,3,0.1,8.292433,21.237537
1,mse,3,0.15,9.902595,18.711056
1,mae,4,0.05,7.439378,20.471285
1,mae,4,0.075,8.823268,19.341946
1,mae,4,0.1,9.400072,18.891764
1,mae,4,0.15,10.64245,17.765087
1,mse,4,0.05,5.826034,24.721161
1,mse,4,0.075,7.274216,22.17038
1,mse,4,0.1,7.917251,21.179535
1,mse,4,0.15,9.37961,18.922102
1,mae,5,0.05,7.617139,20.340946
1,mae,5,0.075,8.641936,19.290234
1,mae,5,0.1,9.369654,18.912594
1,mae,5,0.15,10.657084,17.691967
1,mse,5,0.05,6.192949,24.369278
1,mse,5,0.075,7.176398,22.060261
1,mse,5,0.1,7.842819,21.251825
1,mse,5,0.15,9.340744,18.776703
1,mae,6,0.05,5.701251,21.608088
1,mae,6,0.075,7.19799,20.562788
1,mae,6,0.1,7.770802,20.033609
1,mae,6,0.15,9.398289,18.36956
1,mse,6,0.05,2.744592,29.466967
