batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.731814,20.401634
0,mae,0,0.075,9.153736,19.138113
0,mae,0,0.1,9.9955,18.363155
0,mae,0,0.15,11.037401,17.378181
0,mse,0,0.05,5.400357,22.948795
0,mse,0,0.075,7.089137,20.241787
0,mse,0,0.1,8.036308,18.665356
0,mse,0,0.15,9.280993,16.961433
0,mae,1,0.05,7.544639,20.677776
0,mae,1,0.075,9.238423,19.586769
0,mae,1,0.1,10.007188,18.917969
0,mae,1,0.15,11.225924,17.888763
0,mse,1,0.05,5.094531,23.958305
0,mse,1,0.075,6.949131,21.530201
0,mse,1,0.1,7.886165,20.026955
0,mse,1,0.15,9.375739,18.217411
0,mae,2,0.05,7.369967,20.926601
0,mae,2,0.075,8.553674,20.554745
0,mae,2,0.1,9.048752,20.042664
0,mae,2,0.15,10.396046,18.92552
0,mse,2,0.05,4.803794,24.687405
0,mse,2,0.075,6.082519,24.108444
0,mse,2,0.1,6.585895,23.095793
0,mse,2,0.15,8.263357,20.948952
0,mae,3,0.05,7.411953,20.873116
0,mae,3,0.075,9.149151,19.556879
0,mae,3,0.1,9.847708,18.968658
0,mae,3,0.15,11.201168,17.852047
0,mse,3,0.05,5.046528,24.258598
0,mse,3,0.075,6.845602,21.524218
0,mse,3,0.1,7.891004,20.508039
0,mse,3,0.15,9.799819,18.6271
0,mae,4,0.05,7.064964,21.057003
0,mae,4,0.075,9.177085,20.039459
0,mae,4,0.1,9.919081,19.379795
0,mae,4,0.15,11.393975,18.095661
0,mse,4,0.05,4.655859,24.733707
0,mse,4,0.075,6.826698,22.78791
0,mse,4,0.1,7.702615,21.427805
0,mse,4,0.15,9.668436,19.136768
0,mae,5,0.05,7.064256,20.877121
0,mae,5,0.075,9.129028,19.396156
0,mae,5,0.1,9.942472,18.903206
0,mae,5,0.15,11.385187,17.724686
0,mse,5,0.05,4.45418,23.967821
0,mse,5,0.075,6.286685,20.700798
0,mse,5,0.1,7.164086,19.831863
0,mse,5,0.15,9.07795,17.932859
0,mae,6,0.05,6.863162,21.245815
0,mae,6,0.075,8.905856,20.234577
0,mae,6,0.1,9.892838,19.668983
0,mae,6,0.15,11.393286,18.408699
0,mse,6,0.05,4.413018,25.101269
0,mse,6,0.075,6.252997,22.951893
0,mse,6,0.1,7.438427,21.740688
0,mse,6,0.15,9.550678,19.577988
0,mae,7,0.05,7.239676,20.925163
0,mae,7,0.075,9.090462,19.567467
0,mae,7,0.1,9.899031,19.023251
0,mae,7,0.15,11.476776,17.771164
0,mse,7,0.05,4.489644,24.511791
0,mse,7,0.075,6.446426,21.54818
0,mse,7,0.1,7.447922,20.569832
0,mse,7,0.15,9.588785,18.440397
0,mae,8,0.05,6.778294,20.35461
0,mae,8,0.075,9.211081,18.998821
0,mae,8,0.1,10.042238,18.367413
0,mae,8,0.15,11.855997,17.032433
0,mse,8,0.05,4.177228,22.648344
0,mse,8,0.075,6.650493,19.61721
0,mse,8,0.1,7.60994,18.462534
0,mse,8,0.15,9.996096,16.136383
0,mae,9,0.05,6.563021,20.848576
0,mae,9,0.075,8.754681,19.417887
0,mae,9,0.1,9.732728,18.887604
0,mae,9,0.15,11.724844,17.478304
0,mse,9,0.05,3.638246,24.236258
0,mse,9,0.075,5.850978,21.096907
0,mse,9,0.1,6.767099,20.122467
0,mse,9,0.15,9.377383,17.766861
0,mae,10,0.05,7.7342,20.35491
0,mae,10,0.075,9.772046,18.635643
0,mae,10,0.1,10.425418,17.981543
0,mae,10,0.15,12.145232,16.576447
0,mse,10,0.05,5.048283,22.379089
0,mse,10,0.075,7.049592,18.842152
0,mse,10,0.1,7.808402,17.723787
0,mse,10,0.15,9.980656,15.464023
0,mae,11,0.05,6.724876,20.686874
0,mae,11,0.075,9.319502,19.338312
0,mae,11,0.1,10.049365,18.661341
0,mae,11,0.15,11.778854,17.246391
0,mse,11,0.05,3.616408,23.399147
0,mse,11,0.075,6.298534,20.642538
0,mse,11,0.1,7.125464,19.401436
0,mse,11,0.15,9.341516,17.032612
0,mae,12,0.05,6.434992,20.884544
0,mae,12,0.075,7.525419,19.615232
0,mae,12,0.1,8.240528,18.946905
0,mae,12,0.15,9.896898,17.583088
0,mse,12,0.05,3.390225,24.549166
0,mse,12,0.075,4.48097,22.025787
0,mse,12,0.1,5.227505,20.874256
0,mse,12,0.15,6.944187,18.443974
0,mae,13,0.05,6.634184,20.124207
0,mae,13,0.075,8.480069,18.943993
0,mae,13,0.1,9.169796,18.137766
0,mae,13,0.15,10.718756,16.794712
0,mse,13,0.05,3.923858,22.253506
0,mse,13,0.075,5.775836,19.876989
0,mse,13,0.1,6.430623,18.446495
0,mse,13,0.15,8.287462,16.113192
0,mae,14,0.05,7.447023,20.629908
0,mae,14,0.075,8.724833,19.473463
0,mae,14,0.1,9.570104,18.866085
0,mae,14,0.15,11.098415,17.679276
0,mse,14,0.05,4.476409,23.249348
0,mse,14,0.075,6.09413,20.844553
0,mse,14,0.1,7.069644,19.655258
0,mse,14,0.15,8.928956,17.333731
0,mae,15,0.05,7.400946,20.359993
0,mae,15,0.075,9.185299,18.907898
0,mae,15,0.1,10.023617,18.356758
