batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.45822,19.056995
0,mae,0,0.075,10.399532,17.004074
0,mae,0,0.1,11.753363,16.056343
0,mae,0,0.15,14.03786,13.542191
0,mse,0,0.05,6.185724,20.849693
0,mse,0,0.075,8.685278,16.690067
0,mse,0,0.1,10.357016,14.954988
0,mse,0,0.15,13.662405,10.548963
0,mae,1,0.05,7.935326,19.403397
0,mae,1,0.075,10.088425,16.991756
0,mae,1,0.1,11.108229,15.78217
0,mae,1,0.15,13.304611,13.919941
0,mse,1,0.05,5.751571,21.612043
0,mse,1,0.075,8.314713,16.368834
0,mse,1,0.1,9.446383,14.258327
0,mse,1,0.15,12.379401,11.218235
0,mae,2,0.05,8.235074,19.43656
0,mae,2,0.075,10.096474,17.09268
0,mae,2,0.1,10.743183,15.791435
0,mae,2,0.15,12.893425,13.677996
0,mse,2,0.05,6.026649,21.325514
0,mse,2,0.075,8.14201,16.586128
0,mse,2,0.1,8.85001,14.066023
0,mse,2,0.15,11.936075,10.6353
0,mae,3,0.05,8.417695,19.404659
0,mae,3,0.075,10.021364,17.088312
0,mae,3,0.1,10.831001,15.576696
0,mae,3,0.15,12.922072,13.11121
0,mse,3,0.05,5.882102,21.864407
0,mse,3,0.075,7.708206,16.730671
0,mse,3,0.1,8.783908,13.978453
0,mse,3,0.15,11.690611,9.921156
0,mae,4,0.05,8.576088,19.837275
0,mae,4,0.075,10.387487,17.256361
0,mae,4,0.1,11.009494,15.9849
0,mae,4,0.15,12.800165,13.797353
0,mse,4,0.05,6.215054,22.580875
0,mse,4,0.075,8.185829,16.776909
0,mse,4,0.1,8.919884,14.398989
0,mse,4,0.15,11.272499,10.904211
0,mae,5,0.05,8.04178,19.644211
0,mae,5,0.075,10.397224,17.201845
0,mae,5,0.1,11.858481,15.726402
0,mae,5,0.15,14.15064,12.96918
0,mse,5,0.05,5.190028,21.657728
0,mse,5,0.075,7.742662,16.461451
0,mse,5,0.1,9.799974,13.740134
0,mse,5,0.15,13.596145,9.626806
0,mae,6,0.05,8.08559,18.969521
0,mae,6,0.075,10.562274,16.631203
0,mae,6,0.1,11.744179,15.297792
0,mae,6,0.15,14.102008,13.273539
0,mse,6,0.05,4.96425,19.959
0,mse,6,0.075,7.917998,15.397675
0,mse,6,0.1,9.256308,13.195078
0,mse,6,0.15,13.023446,9.823581
0,mae,7,0.05,7.612226,19.028465
0,mae,7,0.075,10.698817,16.142784
0,mae,7,0.1,12.041331,15.208698
0,mae,7,0.15,14.145661,13.162735
0,mse,7,0.05,4.475228,20.290131
0,mse,7,0.075,8.397511,14.524096
0,mse,7,0.1,10.190224,13.000546
0,mse,7,0.15,13.281128,9.639862
0,mae,8,0.05,8.526546,18.373745
0,mae,8,0.075,11.049023,16.148273
0,mae,8,0.1,12.034353,15.27563
0,mae,8,0.15,14.011192,13.162571
0,mse,8,0.05,5.850904,18.999313
0,mse,8,0.075,9.24221,14.702038
0,mse,8,0.1,10.641483,13.110268
0,mse,8,0.15,13.19303,9.889803
0,mae,9,0.05,8.944535,18.02359
0,mae,9,0.075,11.105447,15.916146
0,mae,9,0.1,12.172882,15.021953
0,mae,9,0.15,14.313586,12.537071
0,mse,9,0.05,6.335675,18.319473
0,mse,9,0.075,8.630116,14.35306
0,mse,9,0.1,10.163352,12.658894
0,mse,9,0.15,13.12645,9.006689
0,mae,10,0.05,8.711286,18.812271
0,mae,10,0.075,10.7819,16.166672
0,mae,10,0.1,12.179962,15.178661
0,mae,10,0.15,14.216563,12.440327
0,mse,10,0.05,6.32983,19.919228
0,mse,10,0.075,8.66226,14.431659
0,mse,10,0.1,10.481073,12.877903
0,mse,10,0.15,13.397186,8.784445
0,mae,11,0.05,9.12578,18.797028
