batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.863526,22.706623
0,mae,0,0.075,5.076453,22.355556
0,mae,0,0.1,5.254422,22.099531
0,mae,0,0.15,5.746024,20.998888
0,mse,0,0.05,3.027703,29.48814
0,mse,0,0.075,3.133982,28.734741
0,mse,0,0.1,3.261433,28.149036
0,mse,0,0.15,3.74312,25.500874
0,mae,1,0.05,4.551587,22.322525
0,mae,1,0.075,5.108382,22.007778
0,mae,1,0.1,5.203739,21.808804
0,mae,1,0.15,5.752905,20.96509
0,mse,1,0.05,2.933523,28.501068
0,mse,1,0.075,3.224618,27.69187
0,mse,1,0.1,3.2485,27.262241
0,mse,1,0.15,3.653786,25.340569
0,mae,2,0.05,4.611232,22.820358
0,mae,2,0.075,4.826605,22.481842
0,mae,2,0.1,4.964597,21.962805
0,mae,2,0.15,5.636065,21.175447
0,mse,2,0.05,2.859788,29.777512
0,mse,2,0.075,2.924258,28.981911
0,mse,2,0.1,2.998995,27.651491
0,mse,2,0.15,3.414877,25.803848
0,mae,3,0.05,4.395972,22.197559
0,mae,3,0.075,4.614661,21.965258
0,mae,3,0.1,4.763101,21.775162
0,mae,3,0.15,5.274131,21.141872
0,mse,3,0.05,2.698768,28.027126
0,mse,3,0.075,2.747167,27.44841
0,mse,3,0.1,2.806511,26.983582
0,mse,3,0.15,3.033197,25.522224
0,mae,4,0.05,4.865034,22.435337
0,mae,4,0.075,5.007956,21.899933
0,mae,4,0.1,5.15147,21.66935
0,mae,4,0.15,5.600917,21.104546
0,mse,4,0.05,3.020278,28.730844
0,mse,4,0.075,3.06264,27.434267
0,mse,4,0.1,3.176007,26.823002
0,mse,4,0.15,3.361294,25.49441
0,mae,5,0.05,4.374111,22.516209
0,mae,5,0.075,4.573295,22.116177
0,mae,5,0.1,4.669821,21.878645
0,mae,5,0.15,5.331499,20.944462
0,mse,5,0.05,2.606218,28.958229
0,mse,5,0.075,2.671038,27.976364
0,mse,5,0.1,2.685276,27.375519
0,mse,5,0.15,3.022219,25.306404
0,mae,6,0.05,4.697165,22.487417
0,mae,6,0.075,4.821098,21.861099
0,mae,6,0.1,5.157165,21.639202
0,mae,6,0.15,5.692128,20.82877
0,mse,6,0.05,2.962817,28.907133
0,mse,6,0.075,2.994262,27.431
0,mse,6,0.1,3.176085,26.885395
0,mse,6,0.15,3.370086,25.005251
0,mae,7,0.05,4.550424,22.813271
0,mae,7,0.075,4.760591,22.379543
0,mae,7,0.1,4.992246,22.04425
0,mae,7,0.15,5.757147,20.953539
0,mse,7,0.05,2.913559,29.689356
0,mse,7,0.075,2.995881,28.585907
0,mse,7,0.1,3.109388,27.689896
0,mse,7,0.15,3.421113,25.094809
0,mae,8,0.05,4.586444,22.672386
0,mae,8,0.075,4.752783,22.301357
0,mae,8,0.1,4.987935,21.904554
0,mae,8,0.15,5.832347,20.878983
0,mse,8,0.05,2.880739,29.291584
0,mse,8,0.075,2.962112,28.370335
0,mse,8,0.1,3.056078,27.361473
0,mse,8,0.15,3.532441,25.050684
0,mae,9,0.05,4.508598,22.690693
0,mae,9,0.075,4.671021,22.448639
0,mae,9,0.1,4.896521,21.971289
0,mae,9,0.15,5.808009,20.903591
0,mse,9,0.05,2.768259,29.475567
0,mse,9,0.075,2.840038,28.802643
0,mse,9,0.1,2.921911,27.66136
0,mse,9,0.15,3.644743,25.211147
0,mae,10,0.05,4.721069,22.479273
0,mae,10,0.075,5.010056,22.104692
0,mae,10,0.1,5.301705,21.75124
0,mae,10,0.15,6.256222,20.62034
0,mse,10,0.05,2.921233,28.82214
0,mse,10,0.075,3.067061,27.858967
0,mse,10,0.1,3.231426,27.043674
0,mse,10,0.15,3.940234,24.477512
0,mae,11,0.05,4.669712,22.531424
0,mae,11,0.075,4.937453,22.269243
0,mae,11,0.1,5.104631,21.760504
0,mae,11,0.15,5.828353,20.710205
0,mse,11,0.05,2.900058,28.99103
0,mse,11,0.075,2.977323,28.404579
0,mse,11,0.1,3.103437,27.202612
0,mse,11,0.15,3.586862,24.744022
0,mae,12,0.05,4.669875,22.49847
0,mae,12,0.075,5.060765,22.031082
0,mae,12,0.1,5.263827,21.728306
0,mae,12,0.15,6.187143,20.605396
0,mse,12,0.05,2.900387,28.892929
0,mse,12,0.075,3.050716,27.66431
0,mse,12,0.1,3.099253,26.968819
0,mse,12,0.15,3.658701,24.431145
0,mae,13,0.05,4.818456,22.176979
0,mae,13,0.075,5.056813,21.730381
0,mae,13,0.1,5.24848,21.38763
0,mae,13,0.15,6.149464,20.303886
0,mse,13,0.05,2.986033,28.15134
0,mse,13,0.075,3.030865,27.00741
0,mse,13,0.1,3.070697,26.137835
0,mse,13,0.15,3.584205,23.645996
0,mae,14,0.05,4.622101,22.539988
0,mae,14,0.075,4.969442,22.286415
0,mae,14,0.1,5.093365,22.062681
0,mae,14,0.15,5.626472,20.991045
0,mse,14,0.05,2.863185,28.964445
0,mse,14,0.075,2.976864,28.374599
0,mse,14,0.1,2.991945,27.807793
0,mse,14,0.15,3.194809,25.305077
0,mae,15,0.05,4.762222,22.516157
0,mae,15,0.075,4.967525,22.151405
0,mae,15,0.1,5.057385,21.981852
0,mae,15,0.15,5.536186,21.107233
0,mse,15,0.05,2.926181,28.881775
0,mse,15,0.075,2.987526,28.044193
0,mse,15,0.1,2.994815,27.615604
0,mse,15,0.15,3.139767,25.606861
0,mae,16,0.05,4.57822,22.663242
0,mae,16,0.075,4.923656,22.353157
0,mae,16,0.1,5.176126,22.066345
0,mae,16,0.15,5.505082,21.40416
0,mse,16,0.05,2.834974,29.328871
0,mse,16,0.075,2.957279,28.639618
0,mse,16,0.1,3.214292,27.978819
0,mse,16,0.15,3.357229,26.538111
0,mae,17,0.05,4.657943,22.548107
0,mae,17,0.075,4.88965,22.02256
0,mae,17,0.1,5.051726,21.783661
0,mae,17,0.15,5.492243,21.006485
0,mse,17,0.05,2.808575,28.99181
0,mse,17,0.075,3.071752,27.864929
0,mse,17,0.1,3.165622,27.34676
0,mse,17,0.15,3.432513,25.446438
0,mae,18,0.05,4.397048,22.390621
0,mae,18,0.075,4.693496,21.841852
0,mae,18,0.1,5.095315,21.479443
0,mae,18,0.15,5.315163,20.882818
0,mse,18,0.05,2.827574,28.667997
0,mse,18,0.075,2.948078,27.394169
0,mse,18,0.1,3.273777,26.506905
0,mse,18,0.15,3.402937,25.044542
0,mae,19,0.05,4.542944,22.783207
0,mae,19,0.075,4.781013,22.442905
0,mae,19,0.1,5.049743,22.057461
0,mae,19,0.15,5.454656,21.108639
0,mse,19,0.05,2.741441,29.767118
0,mse,19,0.075,3.006628,28.978779
0,mse,19,0.1,3.217198,27.933094
0,mse,19,0.15,3.57147,25.835331
0,mae,20,0.05,5.048202,22.299799
0,mae,20,0.075,5.31674,21.957983
0,mae,20,0.1,5.326978,21.752026
0,mae,20,0.15,5.698493,20.943886
0,mse,20,0.05,3.308755,28.558777
0,mse,20,0.075,3.505741,27.682129
0,mse,20,0.1,3.491236,27.187683
0,mse,20,0.15,3.780663,25.520561
0,mae,21,0.05,4.987611,22.478342
0,mae,21,0.075,5.344029,21.916206
0,mae,21,0.1,5.443667,21.53179
0,mae,21,0.15,5.883832,20.69788
0,mse,21,0.05,3.286534,28.814468
0,mse,21,0.075,3.494261,27.747585
0,mse,21,0.1,3.539248,26.778347
0,mse,21,0.15,3.973774,24.921841
0,mae,22,0.05,4.94694,22.774002
