batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.873922,17.839552
0,mae,0,0.075,9.829015,15.866126
0,mae,0,0.1,10.934879,14.786475
0,mae,0,0.15,13.025515,12.959709
0,mse,0,0.05,4.966259,18.05549
0,mse,0,0.075,7.085981,14.549426
0,mse,0,0.1,8.442116,12.6196
0,mse,0,0.15,11.22344,9.794941
0,mae,1,0.05,7.616441,17.811295
0,mae,1,0.075,9.507072,15.650754
0,mae,1,0.1,10.400439,14.591753
0,mae,1,0.15,12.652668,12.548162
0,mse,1,0.05,4.656626,18.189344
0,mse,1,0.075,6.494411,14.119994
0,mse,1,0.1,7.63658,12.360285
0,mse,1,0.15,10.675926,9.242489
0,mae,2,0.05,8.348988,17.379807
0,mae,2,0.075,9.879364,15.604266
0,mae,2,0.1,10.853783,14.231178
0,mae,2,0.15,12.848196,12.242832
0,mse,2,0.05,5.530243,17.623259
0,mse,2,0.075,7.21053,14.073521
0,mse,2,0.1,8.376589,11.742455
0,mse,2,0.15,10.945248,8.783382
0,mae,3,0.05,8.423117,17.050072
0,mae,3,0.075,10.188407,14.98612
0,mae,3,0.1,10.895493,13.954828
0,mae,3,0.15,13.099012,11.959976
0,mse,3,0.05,5.522646,16.563486
0,mse,3,0.075,7.599576,12.78558
0,mse,3,0.1,8.601908,11.23785
0,mse,3,0.15,11.54821,8.316974
0,mae,4,0.05,8.390862,17.603388
0,mae,4,0.075,10.235775,15.334499
0,mae,4,0.1,11.118449,14.35153
0,mae,4,0.15,12.884218,12.067295
0,mse,4,0.05,5.46927,17.689436
0,mse,4,0.075,7.650689,13.606289
0,mse,4,0.1,8.553349,11.870436
0,mse,4,0.15,10.776859,8.51205
0,mae,5,0.05,7.928977,17.840008
0,mae,5,0.075,9.938444,15.206419
0,mae,5,0.1,10.91441,14.118925
0,mae,5,0.15,13.318605,11.889116
0,mse,5,0.05,5.209197,17.964108
0,mse,5,0.075,6.960102,13.356447
0,mse,5,0.1,7.851219,11.489998
0,mse,5,0.15,11.124107,8.353636
0,mae,6,0.05,7.840302,17.722382
0,mae,6,0.075,10.121071,15.655427
0,mae,6,0.1,11.1877,14.481221
0,mae,6,0.15,13.030212,12.262981
0,mse,6,0.05,4.802266,17.823275
0,mse,6,0.075,6.966383,14.002286
0,mse,6,0.1,8.374498,11.982489
0,mse,6,0.15,11.008489,8.582637
0,mae,7,0.05,8.033439,17.600426
0,mae,7,0.075,10.254665,15.270075
0,mae,7,0.1,11.332294,14.155587
0,mae,7,0.15,13.04493,12.531933
0,mse,7,0.05,4.725053,17.575697
0,mse,7,0.075,7.073224,13.140204
0,mse,7,0.1,8.289689,11.360154
0,mse,7,0.15,10.645819,9.170683
0,mae,8,0.05,7.935311,17.151571
0,mae,8,0.075,10.083118,15.15538
0,mae,8,0.1,11.20563,14.408407
0,mae,8,0.15,14.191874,11.922688
0,mse,8,0.05,4.75276,16.490208
0,mse,8,0.075,7.144768,13.365561
0,mse,8,0.1,8.427063,12.215973
0,mse,8,0.15,12.580263,8.317537
0,mae,9,0.05,7.852865,18.198544
0,mae,9,0.075,9.930687,15.569003
0,mae,9,0.1,10.828978,14.395252
0,mae,9,0.15,12.883051,12.434393
0,mse,9,0.05,4.362156,18.925085
0,mse,9,0.075,6.615839,14.211777
0,mse,9,0.1,7.265225,12.22135
0,mse,9,0.15,9.965483,9.429251
0,mae,10,0.05,7.61239,17.677013
0,mae,10,0.075,9.661254,15.447557
0,mae,10,0.1,10.74329,14.378012
0,mae,10,0.15,13.053286,12.371367
0,mse,10,0.05,4.107707,17.869247
0,mse,10,0.075,6.079627,13.697071
0,mse,10,0.1,7.310118,11.948606
0,mse,10,0.15,10.374004,9.146663
0,mae,11,0.05,8.24633,17.389027
