batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.751809,18.597778
0,mae,0,0.075,10.946629,16.321495
0,mae,0,0.1,11.752512,15.261673
0,mae,0,0.15,13.433509,12.99797
0,mse,0,0.05,6.103219,19.642504
0,mse,0,0.075,8.844782,14.992949
0,mse,0,0.1,9.924958,13.150316
0,mse,0,0.15,12.472363,9.656725
0,mae,1,0.05,8.53615,18.553717
0,mae,1,0.075,10.260925,16.087528
0,mae,1,0.1,11.373943,15.257263
0,mae,1,0.15,13.12521,12.945744
0,mse,1,0.05,6.093484,19.695402
0,mse,1,0.075,8.000343,15.022357
0,mse,1,0.1,9.561776,13.550098
0,mse,1,0.15,12.232891,10.026064
0,mae,2,0.05,8.988029,18.047546
0,mae,2,0.075,10.572029,15.635339
0,mae,2,0.1,11.830533,14.301064
0,mae,2,0.15,13.816553,12.317917
0,mse,2,0.05,6.698062,18.430389
0,mse,2,0.075,8.231836,13.853871
0,mse,2,0.1,9.83251,11.651346
0,mse,2,0.15,13.100635,8.889751
0,mae,3,0.05,8.872231,17.683653
0,mae,3,0.075,10.927584,15.354454
0,mae,3,0.1,11.751528,13.802824
0,mae,3,0.15,13.906225,11.741674
0,mse,3,0.05,6.290545,17.290304
0,mse,3,0.075,8.756848,13.219557
0,mse,3,0.1,9.881424,10.72881
0,mse,3,0.15,12.778375,7.876549
0,mae,4,0.05,9.440901,18.229462
0,mae,4,0.075,11.149543,16.076284
0,mae,4,0.1,12.205791,14.583626
0,mae,4,0.15,14.082436,12.010508
0,mse,4,0.05,6.812657,18.460737
0,mse,4,0.075,8.893152,14.45999
0,mse,4,0.1,10.081394,12.064195
0,mse,4,0.15,12.98909,8.427628
0,mae,5,0.05,8.230389,18.126097
0,mae,5,0.075,10.122465,15.79821
0,mae,5,0.1,11.508548,14.408415
0,mae,5,0.15,13.809282,11.99122
0,mse,5,0.05,5.430381,18.954012
0,mse,5,0.075,7.352529,14.12207
0,mse,5,0.1,9.181378,11.811045
0,mse,5,0.15,12.38937,8.167663
0,mae,6,0.05,7.546513,18.067698
0,mae,6,0.075,10.110975,15.828751
0,mae,6,0.1,11.283039,14.29499
0,mae,6,0.15,13.772241,12.099064
0,mse,6,0.05,4.660373,18.680559
0,mse,6,0.075,7.176658,14.368315
0,mse,6,0.1,8.425303,11.690392
0,mse,6,0.15,11.755794,8.435787
0,mae,7,0.05,8.354712,17.901024
0,mae,7,0.075,11.177435,15.169814
0,mae,7,0.1,12.413866,13.809191
0,mae,7,0.15,14.097972,11.984306
0,mse,7,0.05,5.403255,18.284668
0,mse,7,0.075,8.589566,12.8521
0,mse,7,0.1,10.223716,10.573157
0,mse,7,0.15,12.467165,8.210908
0,mae,8,0.05,8.584263,17.773537
0,mae,8,0.075,10.7373,15.953117
0,mae,8,0.1,11.825548,14.728269
0,mae,8,0.15,14.003896,12.304497
0,mse,8,0.05,5.412974,17.966423
0,mse,8,0.075,8.16423,14.678916
0,mse,8,0.1,9.508104,12.637177
0,mse,8,0.15,12.397203,9.013391
0,mae,9,0.05,8.527183,18.447598
0,mae,9,0.075,10.353462,16.006708
0,mae,9,0.1,11.836554,14.666197
0,mae,9,0.15,13.977062,12.14672
0,mse,9,0.05,5.53154,19.509354
0,mse,9,0.075,7.521055,14.901302
0,mse,9,0.1,9.27184,12.471224
0,mse,9,0.15,12.381329,8.591019
0,mae,10,0.05,8.912699,17.740868
0,mae,10,0.075,10.740899,15.449384
0,mae,10,0.1,12.077642,14.190278
