batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.490262,20.930584
0,mae,0,0.075,9.893228,18.940842
0,mae,0,0.1,10.956321,18.073898
0,mae,0,0.15,12.142537,16.753386
0,mse,0,0.05,5.127084,24.761244
0,mse,0,0.075,7.571177,20.286537
0,mse,0,0.1,8.852882,18.58852
0,mse,0,0.15,10.395928,16.195599
0,mae,1,0.05,7.820348,21.33239
0,mae,1,0.075,9.21983,19.296444
0,mae,1,0.1,10.187772,18.558338
0,mae,1,0.15,11.900593,16.57415
0,mse,1,0.05,5.314023,25.621887
0,mse,1,0.075,6.824763,20.937687
0,mse,1,0.1,8.024498,19.480019
0,mse,1,0.15,10.399142,15.765623
0,mae,2,0.05,7.37639,21.218483
0,mae,2,0.075,8.879082,19.06665
0,mae,2,0.1,9.70282,18.696827
0,mae,2,0.15,10.976377,16.847111
0,mse,2,0.05,5.037619,25.284016
0,mse,2,0.075,6.511998,20.570347
0,mse,2,0.1,7.441984,19.890333
0,mse,2,0.15,8.992508,16.177059
0,mae,3,0.05,7.6136,21.190125
0,mae,3,0.075,8.765785,19.39994
0,mae,3,0.1,10.004751,18.727337
0,mae,3,0.15,11.280278,17.055773
0,mse,3,0.05,4.98935,25.207016
0,mse,3,0.075,6.11779,21.238663
0,mse,3,0.1,7.624148,19.910107
0,mse,3,0.15,9.124089,16.47546
0,mae,4,0.05,7.327895,21.163055
0,mae,4,0.075,8.755656,19.097685
0,mae,4,0.1,9.967347,18.287916
0,mae,4,0.15,11.730789,16.678705
0,mse,4,0.05,4.659837,24.82843
0,mse,4,0.075,5.950504,20.513149
0,mse,4,0.1,7.286915,18.83947
0,mse,4,0.15,9.595973,15.850657
0,mae,5,0.05,7.041419,21.657129
0,mae,5,0.075,8.743824,18.84013
0,mae,5,0.1,9.979265,17.86705
0,mae,5,0.15,11.682113,16.36043
0,mse,5,0.05,4.292014,26.284157
0,mse,5,0.075,6.114002,19.93808
0,mse,5,0.1,7.346552,18.242313
0,mse,5,0.15,9.565285,15.32322
0,mae,6,0.05,6.273671,21.137232
0,mae,6,0.075,8.15849,19.761393
0,mae,6,0.1,8.778227,19.137058
