batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.450878,24.322487
0,mae,0,0.075,2.884559,23.888922
0,mae,0,0.1,3.128489,23.587496
0,mae,0,0.15,4.003778,22.710587
0,mse,0,0.05,0.618425,33.508835
0,mse,0,0.075,0.756985,32.453217
0,mse,0,0.1,0.841788,31.71764
0,mse,0,0.15,1.231244,29.676994
0,mae,1,0.05,3.255671,23.639137
0,mae,1,0.075,3.696895,22.753082
0,mae,1,0.1,4.383591,22.186161
0,mae,1,0.15,5.874211,21.065744
0,mse,1,0.05,1.205208,31.569675
0,mse,1,0.075,1.398845,29.317577
0,mse,1,0.1,1.692477,27.907928
0,mse,1,0.15,2.933701,25.267212
0,mae,2,0.05,1.867523,24.027277
0,mae,2,0.075,3.316187,22.354219
0,mae,2,0.1,4.71566,21.905804
0,mae,2,0.15,5.587032,21.177591
0,mse,2,0.05,0.374882,32.824986
0,mse,2,0.075,1.305571,28.380861
0,mse,2,0.1,2.582023,27.407705
0,mse,2,0.15,3.133095,25.705711
0,mae,3,0.05,4.141856,22.902092
0,mae,3,0.075,5.181774,22.132809
0,mae,3,0.1,5.515345,21.447559
0,mae,3,0.15,6.490149,20.453167
0,mse,3,0.05,2.452469,29.394543
0,mse,3,0.075,2.950737,27.526474
0,mse,3,0.1,3.111944,25.871727
0,mse,3,0.15,3.724448,23.727974
0,mae,4,0.05,4.925447,22.651501
0,mae,4,0.075,5.655593,21.946577
0,mae,4,0.1,6.058952,21.623199
0,mae,4,0.15,6.791782,20.710905
0,mse,4,0.05,2.95379,28.97921
0,mse,4,0.075,3.456406,27.333691
0,mse,4,0.1,3.72919,26.513565
0,mse,4,0.15,4.236598,24.474936
0,mae,5,0.05,2.221387,23.767414
0,mae,5,0.075,3.163545,23.016861
0,mae,5,0.1,3.470654,22.72979
0,mae,5,0.15,4.61005,21.941622
0,mse,5,0.05,0.533393,31.706915
0,mse,5,0.075,0.976034,29.828096
0,mse,5,0.1,1.09733,29.128372
0,mse,5,0.15,1.688667,27.222767
0,mae,6,0.05,2.486779,23.642382
0,mae,6,0.075,3.478533,22.830132
0,mae,6,0.1,3.856989,22.56872
0,mae,6,0.15,5.171787,21.741077
0,mse,6,0.05,0.72057,31.396656
0,mse,6,0.075,1.245456,29.421749
0,mse,6,0.1,1.409843,28.783514
0,mse,6,0.15,2.199028,26.87936
0,mae,7,0.05,1.692705,23.794666
0,mae,7,0.075,2.348077,23.10532
0,mae,7,0.1,2.759084,22.730595
0,mae,7,0.15,3.767447,21.692934
0,mse,7,0.05,0.263904,31.731628
0,mse,7,0.075,0.517309,30.054121
0,mse,7,0.1,0.620653,29.214333
0,mse,7,0.15,1.128155,26.826462
0,mae,8,0.05,2.820619,23.985847
0,mae,8,0.075,3.181105,23.528889
0,mae,8,0.1,3.393505,23.273594
0,mae,8,0.15,4.208831,22.563564
0,mse,8,0.05,0.921157,32.246468
0,mse,8,0.075,1.064885,31.054491
0,mse,8,0.1,1.13421,30.406157
0,mse,8,0.15,1.447525,28.718287
0,mae,9,0.05,2.415655,23.840744
0,mae,9,0.075,3.123531,23.039364
0,mae,9,0.1,3.665966,22.546074
0,mae,9,0.15,5.002184,21.352367
0,mse,9,0.05,0.58563,32.224796
0,mse,9,0.075,0.811178,30.166037
0,mse,9,0.1,1.059091,28.893085
0,mse,9,0.15,1.914772,26.14957
0,mae,10,0.05,1.548853,23.770887
0,mae,10,0.075,3.003123,22.364033
0,mae,10,0.1,4.301156,21.759361
0,mae,10,0.15,5.20831,20.981724
0,mse,10,0.05,0.195985,32.151314
0,mse,10,0.075,0.951625,28.562206
0,mse,10,0.1,1.937446,27.142044
0,mse,10,0.15,2.386568,25.292976
0,mae,11,0.05,4.056226,22.726749
0,mae,11,0.075,4.907818,21.954437
0,mae,11,0.1,5.462138,21.326496
0,mae,11,0.15,6.322515,20.353786
0,mse,11,0.05,1.820918,28.805725
0,mse,11,0.075,2.230971,26.939484
0,mse,11,0.1,2.487872,25.456276
0,mse,11,0.15,3.01132,23.418026
0,mae,12,0.05,4.725085,22.571737
0,mae,12,0.075,5.938513,21.452671
0,mae,12,0.1,6.407581,21.104958
0,mae,12,0.15,7.195224,20.211359
0,mse,12,0.05,2.306151,29.043917
0,mse,12,0.075,3.110428,26.406956
0,mse,12,0.1,3.541991,25.625832
0,mse,12,0.15,4.106273,23.696878
0,mae,13,0.05,2.548127,23.327744
