batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,1.61585,25.372097
0,mae,0,0.075,3.161712,24.254375
0,mae,0,0.1,3.669742,23.582472
0,mae,0,0.15,7.420278,21.264736
0,mse,0,0.05,0.240484,36.808098
0,mse,0,0.075,0.868167,34.142906
0,mse,0,0.1,1.078881,32.552994
0,mse,0,0.15,6.233963,27.055851
0,mae,1,0.05,2.268897,25.193483
0,mae,1,0.075,3.162953,24.323063
0,mae,1,0.1,3.522768,23.653049
0,mae,1,0.15,4.723392,21.981171
0,mse,1,0.05,0.486513,35.734451
0,mse,1,0.075,0.818134,33.369228
0,mse,1,0.1,0.98862,31.777081
0,mse,1,0.15,1.767784,28.170809
0,mae,2,0.05,1.869684,25.510965
0,mae,2,0.075,2.694092,24.198116
0,mae,2,0.1,3.097349,23.660282
0,mae,2,0.15,4.375638,22.0408
0,mse,2,0.05,0.335719,36.923901
0,mse,2,0.075,0.646348,33.817986
0,mse,2,0.1,0.854609,32.476448
0,mse,2,0.15,1.609154,28.967583
0,mae,3,0.05,1.405411,25.771397
0,mae,3,0.075,2.237789,24.771671
0,mae,3,0.1,2.615175,24.282879
0,mae,3,0.15,4.166354,22.771175
0,mse,3,0.05,0.257655,37.754158
0,mse,3,0.075,0.514508,35.17598
0,mse,3,0.1,0.69348,33.978531
0,mse,3,0.15,1.866845,30.828339
0,mae,4,0.05,4.138053,25.892786
0,mae,4,0.075,4.517988,24.845951
0,mae,4,0.1,4.737855,24.068844
0,mae,4,0.15,5.794101,22.314552
0,mse,4,0.05,3.499117,37.713493
0,mse,4,0.075,3.557531,35.081047
0,mse,4,0.1,3.646586,33.407242
0,mse,4,0.15,4.189601,29.315752
0,mae,5,0.05,4.230146,25.598013
0,mae,5,0.075,5.304781,24.504309
0,mae,5,0.1,5.564909,23.767454
0,mae,5,0.15,6.873854,21.149357
0,mse,5,0.05,3.590122,37.197838
0,mse,5,0.075,3.999544,34.570946
0,mse,5,0.1,4.132396,32.741539
0,mse,5,0.15,5.061475,26.633495
