batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,12.787143,22.312511
0,mae,0,0.075,13.17512,20.07835
0,mae,0,0.1,13.628497,18.902287
0,mae,0,0.15,14.170085,16.404829
0,mse,0,0.05,14.442924,29.371498
0,mse,0,0.075,15.039208,24.409962
0,mse,0,0.1,15.488993,21.85099
0,mse,0,0.15,16.045704,17.085154
0,mae,1,0.05,12.490808,22.711346
0,mae,1,0.075,13.353628,20.681601
0,mae,1,0.1,13.657524,19.463848
0,mae,1,0.15,14.014543,16.713665
0,mse,1,0.05,14.260269,30.357824
0,mse,1,0.075,15.103162,25.687103
0,mse,1,0.1,15.522952,22.806038
0,mse,1,0.15,15.776291,17.349463
0,mae,2,0.05,12.073034,22.168667
0,mae,2,0.075,13.659717,19.648962
0,mae,2,0.1,14.028676,18.395737
0,mae,2,0.15,15.113036,15.939794
0,mse,2,0.05,13.788898,28.782875
0,mse,2,0.075,15.511921,22.844357
0,mse,2,0.1,15.935,20.060255
0,mse,2,0.15,17.194668,15.228381
0,mae,3,0.05,12.025599,22.352861
0,mae,3,0.075,13.421753,19.712738
0,mae,3,0.1,14.276348,17.962742
0,mae,3,0.15,15.460152,15.532198
0,mse,3,0.05,13.656307,28.664352
0,mse,3,0.075,15.02209,22.496334
0,mse,3,0.1,16.059288,18.691641
0,mse,3,0.15,17.270609,14.454651
0,mae,4,0.05,12.291175,21.930149
0,mae,4,0.075,13.447904,19.431995
0,mae,4,0.1,14.438972,18.154221
0,mae,4,0.15,15.067648,15.86989
0,mse,4,0.05,13.638352,27.330811
0,mse,4,0.075,14.692703,22.034271
0,mse,4,0.1,15.903066,19.571312
0,mse,4,0.15,17.12285,15.771076
0,mae,5,0.05,12.546814,21.861263
0,mae,5,0.075,13.858614,19.593864
0,mae,5,0.1,14.269592,18.57276
0,mae,5,0.15,14.982119,15.756351
0,mse,5,0.05,13.487002,27.553539
0,mse,5,0.075,15.682709,22.20822
0,mse,5,0.1,16.121979,20.393314
0,mse,5,0.15,16.864899,15.325309
0,mae,6,0.05,13.384172,22.080151
0,mae,6,0.075,14.030493,19.44714
0,mae,6,0.1,14.178789,18.271812
0,mae,6,0.15,14.884247,15.772556
0,mse,6,0.05,15.106496,27.469517
0,mse,6,0.075,15.769821,21.510998
0,mse,6,0.1,15.856292,19.678423
0,mse,6,0.15,16.640102,15.315583
0,mae,7,0.05,10.866789,22.527969
0,mae,7,0.075,13.090416,20.177917
0,mae,7,0.1,13.635474,18.543839
0,mae,7,0.15,14.310063,15.58871
0,mse,7,0.05,11.014778,28.994076
0,mse,7,0.075,14.195183,23.288017
0,mse,7,0.1,14.897606,19.893753
0,mse,7,0.15,15.432362,15.16988
0,mae,8,0.05,11.231163,23.62307
0,mae,8,0.075,13.404621,19.581051
0,mae,8,0.1,13.492568,17.989246
0,mae,8,0.15,14.060905,15.528523
0,mse,8,0.05,10.239519,31.924305
0,mse,8,0.075,14.487448,22.024906
0,mse,8,0.1,14.232427,18.709545
0,mse,8,0.15,14.925656,14.530802
0,mae,9,0.05,10.81616,23.233803
0,mae,9,0.075,12.569194,20.098194
0,mae,9,0.1,13.56646,18.342703
0,mae,9,0.15,14.683225,14.55706
0,mse,9,0.05,10.534018,31.036324
0,mse,9,0.075,12.750196,23.591349
0,mse,9,0.1,14.22019,19.748703
0,mse,9,0.15,15.608923,13.575955
0,mae,10,0.05,12.562218,21.727299
0,mae,10,0.075,13.016266,18.947445
0,mae,10,0.1,13.479101,17.345978
0,mae,10,0.15,15.094081,13.739521
0,mse,10,0.05,13.281693,26.368896
0,mse,10,0.075,14.119922,20.344915
0,mse,10,0.1,14.638849,17.412483
0,mse,10,0.15,16.957165,11.185997
0,mae,11,0.05,13.064741,21.575157
0,mae,11,0.075,13.286137,18.181213
0,mae,11,0.1,13.790756,16.955191
0,mae,11,0.15,15.310194,13.650068
0,mse,11,0.05,14.03927,26.282412
0,mse,11,0.075,14.549532,18.891718
0,mse,11,0.1,15.020161,16.502449
0,mse,11,0.15,17.052921,11.358852
0,mae,12,0.05,12.636029,21.466896
0,mae,12,0.075,13.730549,19.206772
0,mae,12,0.1,14.03248,17.474161
0,mae,12,0.15,14.432044,14.121886
0,mse,12,0.05,13.205049,26.311207
0,mse,12,0.075,14.759794,20.892813
0,mse,12,0.1,14.937888,17.479622
0,mse,12,0.15,15.470763,12.058561
0,mae,13,0.05,11.91626,20.627842
0,mae,13,0.075,13.697292,18.494305
0,mae,13,0.1,14.058019,17.499126
0,mae,13,0.15,15.086572,14.355872
0,mse,13,0.05,11.549071,24.370192
0,mse,13,0.075,14.861699,19.954056
0,mse,13,0.1,15.117939,18.216728
0,mse,13,0.15,16.488331,12.600412
0,mae,14,0.05,11.738537,21.464817
0,mae,14,0.075,13.726112,18.664093
0,mae,14,0.1,14.421907,17.50996
0,mae,14,0.15,14.965239,14.276226
0,mse,14,0.05,10.612464,26.939892
0,mse,14,0.075,13.769044,20.333282
0,mse,14,0.1,14.410729,17.933182
0,mse,14,0.15,15.335798,12.563559
0,mae,15,0.05,12.391043,21.67454
0,mae,15,0.075,14.153273,19.073147
0,mae,15,0.1,14.514692,18.064138
0,mae,15,0.15,15.236244,15.294963
0,mse,15,0.05,11.826046,27.310764
0,mse,15,0.075,13.966594,21.576065
0,mse,15,0.1,14.731849,18.980053
0,mse,15,0.15,16.738991,14.117919
