batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,14.769267,21.37682
0,mae,0,0.075,15.947188,18.388271
0,mae,0,0.1,16.439819,16.907558
0,mae,0,0.15,17.27446,13.93694
0,mse,0,0.05,21.375931,27.097864
0,mse,0,0.075,23.171087,20.809822
0,mse,0,0.1,23.640709,18.00926
0,mse,0,0.15,25.163727,12.79596
0,mae,1,0.05,15.067073,21.225906
0,mae,1,0.075,16.020733,18.628551
0,mae,1,0.1,16.587912,17.160292
0,mae,1,0.15,17.345127,13.351447
0,mse,1,0.05,21.907406,26.854931
0,mse,1,0.075,23.219458,21.582481
0,mse,1,0.1,23.871258,18.745045
0,mse,1,0.15,25.154297,12.148685
0,mae,2,0.05,15.433062,20.673031
0,mae,2,0.075,16.681469,17.626564
0,mae,2,0.1,17.280485,16.308661
0,mae,2,0.15,18.179043,13.1006
0,mse,2,0.05,22.236485,25.429455
0,mse,2,0.075,24.168457,18.944078
0,mse,2,0.1,25.102203,16.599884
0,mse,2,0.15,26.59276,11.257072
0,mae,3,0.05,15.078658,20.183643
0,mae,3,0.075,16.531101,17.827877
0,mae,3,0.1,17.041307,16.21648
0,mae,3,0.15,18.024691,12.97142
0,mse,3,0.05,21.861416,24.128571
0,mse,3,0.075,24.097488,19.353487
0,mse,3,0.1,25.00243,15.994148
0,mse,3,0.15,26.46854,10.74201
0,mae,4,0.05,16.247702,20.359905
0,mae,4,0.075,16.859711,18.098804
0,mae,4,0.1,16.905008,16.575058
0,mae,4,0.15,17.764446,13.786477
0,mse,4,0.05,23.590681,24.960516
0,mse,4,0.075,23.979486,19.909161
0,mse,4,0.1,24.053118,17.046103
0,mse,4,0.15,25.804716,11.881033
0,mae,5,0.05,16.372705,20.33408
0,mae,5,0.075,16.500027,18.360674
0,mae,5,0.1,16.79439,16.33659
0,mae,5,0.15,17.695366,13.320358
0,mse,5,0.05,23.631374,24.706747
0,mse,5,0.075,23.346376,20.448248
0,mse,5,0.1,23.509394,16.359287
0,mse,5,0.15,24.988388,11.416208
0,mae,6,0.05,15.441395,20.449364
0,mae,6,0.075,16.169025,17.769367
0,mae,6,0.1,16.561829,16.416622
0,mae,6,0.15,17.425793,13.729189
0,mse,6,0.05,22.02087,24.496979
0,mse,6,0.075,22.787189,19.07291
0,mse,6,0.1,22.786562,16.648527
0,mse,6,0.15,24.213634,12.517113
0,mae,7,0.05,15.149062,21.029978
0,mae,7,0.075,16.234671,18.16884
0,mae,7,0.1,16.906212,16.643124
0,mae,7,0.15,17.472025,13.620448
0,mse,7,0.05,21.281166,25.70261
0,mse,7,0.075,22.354156,19.634098
0,mse,7,0.1,23.371174,16.990587
0,mse,7,0.15,24.215137,12.185461
0,mae,8,0.05,15.73338,20.290974
0,mae,8,0.075,16.437458,17.819527
0,mae,8,0.1,17.336643,16.270428
0,mae,8,0.15,17.590273,13.566571
0,mse,8,0.05,22.651731,24.296194
0,mse,8,0.075,22.941902,18.983997
0,mse,8,0.1,24.389297,16.275356
0,mse,8,0.15,24.481031,12.077263
0,mae,9,0.05,15.103722,20.682713
0,mae,9,0.075,15.894295,17.949581
0,mae,9,0.1,16.530365,16.387829
0,mae,9,0.15,17.630924,13.266172
0,mse,9,0.05,21.093548,25.19043
0,mse,9,0.075,22.074516,19.337395
0,mse,9,0.1,22.981079,16.136707
0,mse,9,0.15,24.681419,11.015941
0,mae,10,0.05,14.590193,20.292715
0,mae,10,0.075,15.673764,17.4557
0,mae,10,0.1,15.978588,14.871172
0,mae,10,0.15,18.099895,11.738178
0,mse,10,0.05,20.475426,23.977226
0,mse,10,0.075,22.123634,18.45364
0,mse,10,0.1,22.370031,13.437088
0,mse,10,0.15,25.704178,8.752691
0,mae,11,0.05,15.341892,19.65733
0,mae,11,0.075,16.491335,16.608614
0,mae,11,0.1,16.937862,15.071264
0,mae,11,0.15,18.168476,12.199193
0,mse,11,0.05,21.781294,22.344028
0,mse,11,0.075,23.622461,16.039066
0,mse,11,0.1,24.16061,13.560081
0,mse,11,0.15,25.582855,8.992357
0,mae,12,0.05,15.398199,19.8771
0,mae,12,0.075,16.340837,16.820379
0,mae,12,0.1,16.738705,15.237873
0,mae,12,0.15,17.890411,12.205033
