batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.170582,23.03299
0,mae,0,0.075,11.494474,21.01276
0,mae,0,0.1,11.946264,19.686913
0,mae,0,0.15,12.547323,17.514961
0,mse,0,0.05,9.340271,30.786591
0,mse,0,0.075,10.582886,26.178946
0,mse,0,0.1,11.254748,23.355379
0,mse,0,0.15,12.21375,19.031784
0,mae,1,0.05,10.487051,22.995361
0,mae,1,0.075,11.654046,20.647165
0,mae,1,0.1,12.011639,19.532791
0,mae,1,0.15,12.913517,18.074467
0,mse,1,0.05,9.213173,30.44326
0,mse,1,0.075,10.745893,25.417866
0,mse,1,0.1,11.306511,23.028671
0,mse,1,0.15,12.629979,19.960476
0,mae,2,0.05,9.984797,23.137182
0,mae,2,0.075,11.338528,20.571266
0,mae,2,0.1,11.902646,19.303854
0,mae,2,0.15,12.938285,17.449879
0,mse,2,0.05,8.091562,30.95133
0,mse,2,0.075,10.366781,24.682096
0,mse,2,0.1,11.083733,22.131584
0,mse,2,0.15,12.494766,17.976326
0,mae,3,0.05,10.775352,23.284477
0,mae,3,0.075,11.311548,21.100531
0,mae,3,0.1,11.708883,19.526796
0,mae,3,0.15,12.755718,17.261288
0,mse,3,0.05,9.176368,31.46909
0,mse,3,0.075,9.87074,26.076406
0,mse,3,0.1,10.34602,22.558182
0,mse,3,0.15,12.328142,17.747602
0,mae,4,0.05,9.880501,23.528994
0,mae,4,0.075,10.612864,21.208593
0,mae,4,0.1,11.071015,20.214695
0,mae,4,0.15,12.374143,17.307293
0,mse,4,0.05,7.878431,31.529587
0,mse,4,0.075,8.754309,25.826523
0,mse,4,0.1,9.32446,23.915321
0,mse,4,0.15,11.268948,17.991852
0,mae,5,0.05,9.372791,23.647179
0,mae,5,0.075,9.669231,21.54236
0,mae,5,0.1,10.479903,20.377024
0,mae,5,0.15,12.007929,17.673048
0,mse,5,0.05,7.333873,32.010044
0,mse,5,0.075,7.81686,27.039761
0,mse,5,0.1,8.802948,24.600895
0,mse,5,0.15,10.496868,19.226574
0,mae,6,0.05,9.417188,23.901316
0,mae,6,0.075,9.983208,21.444929
0,mae,6,0.1,10.826779,20.196943
0,mae,6,0.15,11.824383,18.148811
0,mse,6,0.05,7.2834,32.712677
0,mse,6,0.075,7.935354,26.892899
0,mse,6,0.1,9.059609,24.378036
0,mse,6,0.15,10.507865,20.592239
0,mae,7,0.05,8.999016,23.865566
0,mae,7,0.075,9.705286,22.205864
0,mae,7,0.1,10.506668,21.173983
0,mae,7,0.15,11.780033,18.52356
0,mse,7,0.05,6.720495,32.659836
0,mse,7,0.075,7.661656,28.608103
