batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.17669,22.394424
0,mae,0,0.075,11.61785,20.566833
0,mae,0,0.1,12.286274,19.409576
0,mae,0,0.15,14.73956,16.956951
0,mse,0,0.05,6.919025,28.855289
0,mse,0,0.075,9.669952,24.875404
0,mse,0,0.1,10.499879,22.717447
0,mse,0,0.15,14.108108,18.313856
0,mae,1,0.05,9.928593,22.709589
0,mae,1,0.075,11.747967,20.596306
0,mae,1,0.1,12.762996,20.16222
0,mae,1,0.15,14.295676,18.191872
0,mse,1,0.05,7.579038,29.765081
0,mse,1,0.075,10.228605,25.93721
0,mse,1,0.1,11.408991,24.903076
0,mse,1,0.15,13.441778,20.998417
0,mae,2,0.05,10.777471,22.53336
0,mae,2,0.075,13.604318,19.775089
0,mae,2,0.1,14.565941,19.029537
0,mae,2,0.15,15.499484,17.066746
0,mse,2,0.05,8.701088,28.630062
0,mse,2,0.075,12.958279,23.241123
0,mse,2,0.1,14.087705,21.822647
0,mse,2,0.15,15.459171,17.986534
0,mae,3,0.05,10.849305,22.479523
0,mae,3,0.075,13.592678,20.37468
0,mae,3,0.1,13.954972,19.570139
0,mae,3,0.15,15.656841,17.599716
0,mse,3,0.05,8.719093,28.352106
0,mse,3,0.075,12.660788,23.6444
0,mse,3,0.1,12.700228,22.108128
0,mse,3,0.15,15.559134,18.390045
0,mae,4,0.05,11.827757,22.049629
0,mae,4,0.075,13.06533,20.260542
0,mae,4,0.1,13.978824,19.167171
0,mae,4,0.15,15.274753,17.221958
0,mse,4,0.05,9.774216,27.698254
0,mse,4,0.075,11.032006,23.912304
0,mse,4,0.1,12.54476,21.685493
0,mse,4,0.15,14.932432,17.916132
0,mae,5,0.05,11.159241,22.08836
0,mae,5,0.075,13.205732,20.219395
0,mae,5,0.1,14.146076,19.024487
0,mae,5,0.15,15.474422,17.232672
0,mse,5,0.05,8.620435,27.970016
0,mse,5,0.075,11.501299,23.876755
0,mse,5,0.1,13.045134,21.516621
0,mse,5,0.15,15.465558,18.133904
0,mae,6,0.05,10.579501,22.319725
0,mae,6,0.075,13.040038,20.383068
0,mae,6,0.1,13.897886,19.83511
0,mae,6,0.15,15.671171,17.307093
0,mse,6,0.05,7.74852,28.542013
0,mse,6,0.075,11.236226,24.708834
0,mse,6,0.1,12.377199,23.459211
0,mse,6,0.15,15.662095,18.674137
0,mae,7,0.05,10.428615,22.567772
0,mae,7,0.075,12.918447,20.39011
0,mae,7,0.1,13.78813,18.919065
0,mae,7,0.15,15.401873,17.371769
0,mse,7,0.05,7.622652,29.392586
0,mse,7,0.075,10.88275,24.865473
0,mse,7,0.1,12.271975,21.861664
0,mse,7,0.15,15.167119,18.836817
0,mae,8,0.05,10.520444,22.434525
0,mae,8,0.075,12.907787,20.262093
0,mae,8,0.1,13.914314,18.970299
0,mae,8,0.15,15.883193,17.338144
0,mse,8,0.05,7.769946,29.249861
0,mse,8,0.075,10.949987,24.583004
0,mse,8,0.1,12.326286,22.053782
0,mse,8,0.15,15.560858,18.826931
0,mae,9,0.05,10.173574,22.388178
0,mae,9,0.075,12.830744,19.967625
0,mae,9,0.1,13.757457,18.776646
0,mae,9,0.15,15.793159,16.643051
0,mse,9,0.05,7.446653,29.115047
0,mse,9,0.075,10.870992,23.912397
0,mse,9,0.1,12.166051,21.748003
0,mse,9,0.15,15.78744,17.899456
0,mae,10,0.05,10.836493,22.044718
0,mae,10,0.075,13.212795,19.823784
0,mae,10,0.1,13.893948,18.566856
0,mae,10,0.15,15.660889,17.015621
0,mse,10,0.05,8.192499,28.194172
0,mse,10,0.075,11.488802,23.538319
0,mse,10,0.1,12.446568,21.296679
0,mse,10,0.15,15.452724,18.763687
0,mae,11,0.05,10.509292,22.19162
0,mae,11,0.075,12.806807,20.117599
0,mae,11,0.1,13.849698,18.768265
0,mae,11,0.15,15.910452,16.65583
0,mse,11,0.05,8.042318,28.537706
0,mse,11,0.075,11.119477,24.238033
0,mse,11,0.1,12.736422,21.434324
0,mse,11,0.15,16.424328,18.274551
0,mae,12,0.05,10.746563,22.292624
0,mae,12,0.075,12.668212,20.09161
0,mae,12,0.1,13.5561,19.054653
0,mae,12,0.15,15.185251,17.360855
0,mse,12,0.05,8.682642,28.660145
