batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.015722,15.559164
0,mae,0,0.075,6.379176,14.922564
0,mae,0,0.1,7.350112,14.742599
0,mae,0,0.15,8.711119,14.561863
0,mse,0,0.05,2.988998,14.762218
0,mse,0,0.075,3.882402,13.562805
0,mse,0,0.1,4.638864,13.023788
0,mse,0,0.15,5.725866,12.492391
0,mae,1,0.05,5.015722,15.559164
0,mae,1,0.075,6.379176,14.922564
0,mae,1,0.1,7.350112,14.742599
0,mae,1,0.15,8.711119,14.561863
0,mse,1,0.05,2.988998,14.762218
0,mse,1,0.075,3.882402,13.562805
0,mse,1,0.1,4.638864,13.023788
0,mse,1,0.15,5.725866,12.492391
0,mae,2,0.05,5.015722,15.559164
0,mae,2,0.075,6.379176,14.922564
0,mae,2,0.1,7.350112,14.742599
0,mae,2,0.15,8.711119,14.561863
0,mse,2,0.05,2.988998,14.762218
0,mse,2,0.075,3.882402,13.562805
0,mse,2,0.1,4.638864,13.023788
0,mse,2,0.15,5.725866,12.492391
0,mae,3,0.05,5.015722,15.559164
0,mae,3,0.075,6.379176,14.922564
0,mae,3,0.1,7.350112,14.742599
0,mae,3,0.15,8.711119,14.561863
0,mse,3,0.05,2.988998,14.762218
0,mse,3,0.075,3.882402,13.562805
0,mse,3,0.1,4.638864,13.023788
0,mse,3,0.15,5.725866,12.492391
0,mae,4,0.05,5.015722,15.559164
0,mae,4,0.075,6.379176,14.922564
0,mae,4,0.1,7.350112,14.742599
0,mae,4,0.15,8.711119,14.561863
0,mse,4,0.05,2.988998,14.762218
0,mse,4,0.075,3.882402,13.562805
0,mse,4,0.1,4.638864,13.023788
0,mse,4,0.15,5.725866,12.492391
0,mae,5,0.05,5.015722,15.559164
0,mae,5,0.075,6.379176,14.922564
0,mae,5,0.1,7.350112,14.742599
0,mae,5,0.15,8.711119,14.561863
0,mse,5,0.05,2.988998,14.762218
0,mse,5,0.075,3.882402,13.562805
0,mse,5,0.1,4.638864,13.023788
0,mse,5,0.15,5.725866,12.492391
0,mae,6,0.05,5.015722,15.559164
0,mae,6,0.075,6.379176,14.922564
0,mae,6,0.1,7.350112,14.742599
0,mae,6,0.15,8.711119,14.561863
0,mse,6,0.05,2.988998,14.762218
0,mse,6,0.075,3.882402,13.562805
0,mse,6,0.1,4.638864,13.023788
0,mse,6,0.15,5.725866,12.492391
0,mae,7,0.05,5.015722,15.559164
0,mae,7,0.075,6.379176,14.922564
0,mae,7,0.1,7.350112,14.742599
0,mae,7,0.15,8.711119,14.561863
0,mse,7,0.05,2.988998,14.762218
0,mse,7,0.075,3.882402,13.562805
0,mse,7,0.1,4.638864,13.023788
0,mse,7,0.15,5.725866,12.492391
0,mae,8,0.05,5.015722,15.559164
0,mae,8,0.075,6.379176,14.922564
0,mae,8,0.1,7.350112,14.742599
0,mae,8,0.15,8.711119,14.561863
0,mse,8,0.05,2.988998,14.762218
0,mse,8,0.075,3.882402,13.562805
0,mse,8,0.1,4.638864,13.023788
0,mse,8,0.15,5.725866,12.492391
0,mae,9,0.05,5.015722,15.559164
0,mae,9,0.075,6.379176,14.922564
0,mae,9,0.1,7.350112,14.742599
0,mae,9,0.15,8.711119,14.561863
0,mse,9,0.05,2.988998,14.762218
0,mse,9,0.075,3.882402,13.562805
0,mse,9,0.1,4.638864,13.023788
0,mse,9,0.15,5.725866,12.492391
0,mae,10,0.05,5.015722,15.559164
0,mae,10,0.075,6.379176,14.922564
0,mae,10,0.1,7.350112,14.742599
0,mae,10,0.15,8.711119,14.561863
0,mse,10,0.05,2.988998,14.762218
0,mse,10,0.075,3.882402,13.562805
0,mse,10,0.1,4.638864,13.023788
0,mse,10,0.15,5.725866,12.492391
0,mae,11,0.05,5.015722,15.559164
0,mae,11,0.075,6.379176,14.922564
0,mae,11,0.1,7.350112,14.742599
0,mae,11,0.15,8.711119,14.561863
0,mse,11,0.05,2.988998,14.762218
0,mse,11,0.075,3.882402,13.562805
0,mse,11,0.1,4.638864,13.023788
0,mse,11,0.15,5.725866,12.492391
0,mae,12,0.05,5.015722,15.559164
0,mae,12,0.075,6.379176,14.922564
0,mae,12,0.1,7.350112,14.742599
0,mae,12,0.15,8.711119,14.561863
0,mse,12,0.05,2.988998,14.762218
0,mse,12,0.075,3.882402,13.562805
0,mse,12,0.1,4.638864,13.023788
0,mse,12,0.15,5.725866,12.492391
0,mae,13,0.05,5.015722,15.559164
0,mae,13,0.075,6.379176,14.922564
0,mae,13,0.1,7.350112,14.742599
0,mae,13,0.15,8.711119,14.561863
0,mse,13,0.05,2.988998,14.762218
0,mse,13,0.075,3.882402,13.562805
0,mse,13,0.1,4.638864,13.023788
0,mse,13,0.15,5.725866,12.492391
0,mae,14,0.05,5.015722,15.559164
0,mae,14,0.075,6.379176,14.922564
0,mae,14,0.1,7.350112,14.742599
0,mae,14,0.15,8.711119,14.561863
0,mse,14,0.05,2.988998,14.762218
0,mse,14,0.075,3.882402,13.562805
0,mse,14,0.1,4.638864,13.023788
0,mse,14,0.15,5.725866,12.492391
0,mae,15,0.05,5.015722,15.559164
0,mae,15,0.075,6.379176,14.922564
0,mae,15,0.1,7.350112,14.742599
0,mae,15,0.15,8.711119,14.561863
0,mse,15,0.05,2.988998,14.762218
0,mse,15,0.075,3.882402,13.562805
0,mse,15,0.1,4.638864,13.023788
0,mse,15,0.15,5.725866,12.492391
0,mae,16,0.05,5.015722,15.559164
0,mae,16,0.075,6.379176,14.922564
0,mae,16,0.1,7.350112,14.742599
0,mae,16,0.15,8.711119,14.561863
0,mse,16,0.05,2.988998,14.762218
0,mse,16,0.075,3.882402,13.562805
0,mse,16,0.1,4.638864,13.023788
0,mse,16,0.15,5.725866,12.492391
0,mae,17,0.05,5.015722,15.559164
0,mae,17,0.075,6.379176,14.922564
0,mae,17,0.1,7.350112,14.742599
0,mae,17,0.15,8.711119,14.561863
0,mse,17,0.05,2.988998,14.762218
0,mse,17,0.075,3.882402,13.562805
0,mse,17,0.1,4.638864,13.023788
0,mse,17,0.15,5.725866,12.492391
0,mae,18,0.05,5.015722,15.559164
0,mae,18,0.075,6.379176,14.922564
0,mae,18,0.1,7.350112,14.742599
0,mae,18,0.15,8.711119,14.561863
0,mse,18,0.05,2.988998,14.762218
0,mse,18,0.075,3.882402,13.562805
0,mse,18,0.1,4.638864,13.023788
0,mse,18,0.15,5.725866,12.492391
0,mae,19,0.05,5.015722,15.559164
0,mae,19,0.075,6.379176,14.922564
0,mae,19,0.1,7.350112,14.742599
0,mae,19,0.15,8.711119,14.561863
0,mse,19,0.05,2.988998,14.762218
0,mse,19,0.075,3.882402,13.562805
0,mse,19,0.1,4.638864,13.023788
0,mse,19,0.15,5.725866,12.492391
0,mae,20,0.05,5.015722,15.559164
0,mae,20,0.075,6.379176,14.922564
0,mae,20,0.1,7.350112,14.742599
0,mae,20,0.15,8.711119,14.561863
0,mse,20,0.05,2.988998,14.762218
0,mse,20,0.075,3.882402,13.562805
0,mse,20,0.1,4.638864,13.023788
0,mse,20,0.15,5.725866,12.492391
0,mae,21,0.05,5.015722,15.559164
0,mae,21,0.075,6.379176,14.922564
0,mae,21,0.1,7.350112,14.742599
0,mae,21,0.15,8.711119,14.561863
0,mse,21,0.05,2.988998,14.762218
0,mse,21,0.075,3.882402,13.562805
0,mse,21,0.1,4.638864,13.023788
0,mse,21,0.15,5.725866,12.492391
0,mae,22,0.05,5.015722,15.559164
0,mae,22,0.075,6.379176,14.922564
0,mae,22,0.1,7.350112,14.742599
0,mae,22,0.15,8.711119,14.561863
0,mse,22,0.05,2.988998,14.762218
0,mse,22,0.075,3.882402,13.562805
0,mse,22,0.1,4.638864,13.023788
0,mse,22,0.15,5.725866,12.492391
0,mae,23,0.05,5.015722,15.559164
0,mae,23,0.075,6.379176,14.922564
0,mae,23,0.1,7.350112,14.742599
0,mae,23,0.15,8.711119,14.561863
0,mse,23,0.05,2.988998,14.762218
0,mse,23,0.075,3.882402,13.562805
0,mse,23,0.1,4.638864,13.023788
0,mse,23,0.15,5.725866,12.492391
1,mae,0,0.05,7.12207,16.632444
1,mae,0,0.075,9.041208,15.466358
1,mae,0,0.1,10.459315,14.962007
1,mae,0,0.15,12.080826,14.354821
1,mse,0,0.05,5.335453,18.292063
1,mse,0,0.075,6.668982,15.661979
1,mse,0,0.1,8.253489,15.073587
1,mse,0,0.15,9.706308,13.682807
1,mae,1,0.05,7.12207,16.632444
1,mae,1,0.075,9.041208,15.466358
1,mae,1,0.1,10.459315,14.962007
1,mae,1,0.15,12.080826,14.354821
1,mse,1,0.05,5.335453,18.292063
1,mse,1,0.075,6.668982,15.661979
1,mse,1,0.1,8.253489,15.073587
1,mse,1,0.15,9.706308,13.682807
1,mae,2,0.05,7.12207,16.632444
1,mae,2,0.075,9.041208,15.466358
1,mae,2,0.1,10.459315,14.962007
1,mae,2,0.15,12.080826,14.354821
1,mse,2,0.05,5.335453,18.292063
1,mse,2,0.075,6.668982,15.661979
1,mse,2,0.1,8.253489,15.073587
1,mse,2,0.15,9.706308,13.682807
1,mae,3,0.05,7.12207,16.632444
1,mae,3,0.075,9.041208,15.466358
1,mae,3,0.1,10.459315,14.962007
1,mae,3,0.15,12.080826,14.354821
1,mse,3,0.05,5.335453,18.292063
1,mse,3,0.075,6.668982,15.661979
1,mse,3,0.1,8.253489,15.073587
1,mse,3,0.15,9.706308,13.682807
1,mae,4,0.05,7.12207,16.632444
1,mae,4,0.075,9.041208,15.466358
1,mae,4,0.1,10.459315,14.962007
1,mae,4,0.15,12.080826,14.354821
1,mse,4,0.05,5.335453,18.292063
1,mse,4,0.075,6.668982,15.661979
1,mse,4,0.1,8.253489,15.073587
1,mse,4,0.15,9.706308,13.682807
1,mae,5,0.05,7.12207,16.632444
1,mae,5,0.075,9.041208,15.466358
1,mae,5,0.1,10.459315,14.962007
1,mae,5,0.15,12.080826,14.354821
1,mse,5,0.05,5.335453,18.292063
1,mse,5,0.075,6.668982,15.661979
1,mse,5,0.1,8.253489,15.073587
1,mse,5,0.15,9.706308,13.682807
1,mae,6,0.05,7.12207,16.632444
1,mae,6,0.075,9.041208,15.466358
1,mae,6,0.1,10.459315,14.962007
1,mae,6,0.15,12.080826,14.354821
1,mse,6,0.05,5.335453,18.292063
1,mse,6,0.075,6.668982,15.661979
1,mse,6,0.1,8.253489,15.073587
1,mse,6,0.15,9.706308,13.682807
1,mae,7,0.05,7.12207,16.632444
1,mae,7,0.075,9.041208,15.466358
1,mae,7,0.1,10.459315,14.962007
1,mae,7,0.15,12.080826,14.354821
1,mse,7,0.05,5.335453,18.292063
1,mse,7,0.075,6.668982,15.661979
1,mse,7,0.1,8.253489,15.073587
1,mse,7,0.15,9.706308,13.682807
1,mae,8,0.05,7.12207,16.632444
1,mae,8,0.075,9.041208,15.466358
1,mae,8,0.1,10.459315,14.962007
1,mae,8,0.15,12.080826,14.354821
1,mse,8,0.05,5.335453,18.292063
1,mse,8,0.075,6.668982,15.661979
1,mse,8,0.1,8.253489,15.073587
1,mse,8,0.15,9.706308,13.682807
1,mae,9,0.05,7.12207,16.632444
1,mae,9,0.075,9.041208,15.466358
1,mae,9,0.1,10.459315,14.962007
1,mae,9,0.15,12.080826,14.354821
1,mse,9,0.05,5.335453,18.292063
1,mse,9,0.075,6.668982,15.661979
1,mse,9,0.1,8.253489,15.073587
1,mse,9,0.15,9.706308,13.682807
1,mae,10,0.05,7.12207,16.632444
