batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,12.056672,20.760021
0,mae,0,0.075,13.933445,18.151543
0,mae,0,0.1,14.61874,16.823818
0,mae,0,0.15,15.856314,14.007069
0,mse,0,0.05,11.476868,25.491463
0,mse,0,0.075,14.203959,19.459023
0,mse,0,0.1,15.271992,16.919937
0,mse,0,0.15,17.092842,12.074486
0,mae,1,0.05,12.51198,20.87006
0,mae,1,0.075,14.044196,17.86281
0,mae,1,0.1,15.054438,16.535213
0,mae,1,0.15,16.186995,13.678829
0,mse,1,0.05,12.046187,25.210289
0,mse,1,0.075,14.693576,18.849884
0,mse,1,0.1,15.883562,16.383335
0,mse,1,0.15,17.609058,11.282905
0,mae,2,0.05,12.831269,20.119242
0,mae,2,0.075,14.142823,17.612347
0,mae,2,0.1,14.713856,16.074842
0,mae,2,0.15,15.888179,13.259094
0,mse,2,0.05,12.662521,23.710379
0,mse,2,0.075,14.688973,18.373123
0,mse,2,0.1,15.465011,15.227443
0,mse,2,0.15,17.423565,10.499561
0,mae,3,0.05,12.49485,20.388966
0,mae,3,0.075,13.823614,17.817623
0,mae,3,0.1,14.472332,16.439774
0,mae,3,0.15,15.491991,13.326959
0,mse,3,0.05,12.80021,24.337526
0,mse,3,0.075,14.42271,18.762367
0,mse,3,0.1,15.471352,16.008768
0,mse,3,0.15,16.797989,10.92086
0,mae,4,0.05,12.902935,20.560291
0,mae,4,0.075,13.595025,18.223183
0,mae,4,0.1,14.099617,16.585447
0,mae,4,0.15,14.901381,13.861927
0,mse,4,0.05,13.562412,24.106392
0,mse,4,0.075,14.351595,19.231731
0,mse,4,0.1,15.060544,16.146904
0,mse,4,0.15,15.860198,11.848226
0,mae,5,0.05,11.97583,20.4744
0,mae,5,0.075,13.554204,17.944654
0,mae,5,0.1,14.237007,16.655285
0,mae,5,0.15,15.203009,13.598269
0,mse,5,0.05,11.78171,24.591328
0,mse,5,0.075,13.997484,19.01696
0,mse,5,0.1,14.827375,16.548443
0,mse,5,0.15,16.098671,11.398907
0,mae,6,0.05,12.028456,20.250351
0,mae,6,0.075,13.612981,17.792938
0,mae,6,0.1,14.360454,16.407978
0,mae,6,0.15,15.368236,13.512824
0,mse,6,0.05,11.451832,23.916002
0,mse,6,0.075,13.770832,18.933975
0,mse,6,0.1,14.813339,16.126392
0,mse,6,0.15,16.471664,11.197083
0,mae,7,0.05,12.599427,20.46023
0,mae,7,0.075,13.459225,17.941717
0,mae,7,0.1,14.090969,16.462311
0,mae,7,0.15,15.422432,13.525051
0,mse,7,0.05,11.910387,24.034992
0,mse,7,0.075,13.475587,19.041683
0,mse,7,0.1,14.500267,16.130402
0,mse,7,0.15,16.807655,11.145185
0,mae,8,0.05,11.487734,21.005775
0,mae,8,0.075,13.289505,18.173023
0,mae,8,0.1,14.064199,16.640236
0,mae,8,0.15,15.354156,13.437731
0,mse,8,0.05,10.308767,25.079632
0,mse,8,0.075,12.800623,19.24165
0,mse,8,0.1,13.999273,16.176857
0,mse,8,0.15,16.082493,10.973455
0,mae,9,0.05,11.54219,20.612833
0,mae,9,0.075,12.96657,17.802189
0,mae,9,0.1,13.651539,16.17802
0,mae,9,0.15,15.392511,12.785482
0,mse,9,0.05,10.471269,24.103374
0,mse,9,0.075,12.644951,18.233416
0,mse,9,0.1,13.587519,15.099935
0,mse,9,0.15,16.127968,9.945635
0,mae,10,0.05,11.710434,20.657482
0,mae,10,0.075,13.388392,17.521235
0,mae,10,0.1,13.93435,15.824753
0,mae,10,0.15,15.268605,12.773706
0,mse,10,0.05,10.716167,23.892689
0,mse,10,0.075,13.212646,17.441921
0,mse,10,0.1,13.960871,14.175872
0,mse,10,0.15,16.389851,9.853703
0,mae,11,0.05,10.52839,21.426456
0,mae,11,0.075,12.226221,18.447342
0,mae,11,0.1,13.135237,16.097471
0,mae,11,0.15,14.547217,12.644015
0,mse,11,0.05,8.320858,26.507393
0,mse,11,0.075,10.902475,20.287981
0,mse,11,0.1,12.515808,15.546753
0,mse,11,0.15,15.292971,9.355556
0,mae,12,0.05,11.769649,20.155741
0,mae,12,0.075,13.347061,17.724087
0,mae,12,0.1,13.792645,15.938444
0,mae,12,0.15,15.02729,12.296589
0,mse,12,0.05,10.989029,23.35392
0,mse,12,0.075,13.10808,18.03014
0,mse,12,0.1,13.689051,14.942956
0,mse,12,0.15,16.351234,8.957765
0,mae,13,0.05,12.391352,19.534325
0,mae,13,0.075,13.995108,16.807644
0,mae,13,0.1,14.453506,15.509645
0,mae,13,0.15,14.890139,12.894621
0,mse,13,0.05,11.183663,22.274204
0,mse,13,0.075,14.569865,16.560032
