batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.147287,24.430687
0,mae,0,0.075,4.159127,23.167114
0,mae,0,0.1,4.905922,22.206276
0,mae,0,0.15,8.928608,19.22637
0,mse,0,0.05,0.799244,33.024086
0,mse,0,0.075,1.382333,30.33177
0,mse,0,0.1,2.080413,28.238285
0,mse,0,0.15,6.913502,22.239542
0,mae,1,0.05,2.578033,24.097387
0,mae,1,0.075,8.421701,21.504993
0,mae,1,0.1,9.259254,20.205338
0,mae,1,0.15,11.360806,18.30472
0,mse,1,0.05,0.556974,31.907356
0,mse,1,0.075,6.610596,25.687668
0,mse,1,0.1,7.345186,23.163391
0,mse,1,0.15,10.163874,19.750799
0,mae,2,0.05,5.268419,24.105875
0,mae,2,0.075,9.065453,22.124958
0,mae,2,0.1,9.801645,21.348564
0,mae,2,0.15,11.75287,18.630245
0,mse,2,0.05,2.974698,31.690914
0,mse,2,0.075,7.530605,27.514565
0,mse,2,0.1,8.224345,25.712105
0,mse,2,0.15,11.14888,20.721592
0,mae,3,0.05,4.085796,23.773327
0,mae,3,0.075,5.654148,21.96706
0,mae,3,0.1,8.827617,21.105934
0,mae,3,0.15,10.878136,18.77775
0,mse,3,0.05,2.21417,31.058134
0,mse,3,0.075,3.216525,26.806765
0,mse,3,0.1,7.14436,24.829159
0,mse,3,0.15,9.589866,20.691784
0,mae,4,0.05,2.789186,24.163536
0,mae,4,0.075,6.167773,21.984631
0,mae,4,0.1,9.016728,20.538078
0,mae,4,0.15,10.874905,19.074909
0,mse,4,0.05,0.689534,32.648331
0,mse,4,0.075,3.386343,27.408222
0,mse,4,0.1,7.245347,23.759455
0,mse,4,0.15,9.358429,21.331955
0,mae,5,0.05,3.529038,23.961714
0,mae,5,0.075,5.344778,22.127758
0,mae,5,0.1,7.838259,21.395185
0,mae,5,0.15,11.765112,18.982021
0,mse,5,0.05,0.955233,31.991261
0,mse,5,0.075,2.447372,27.868105
0,mse,5,0.1,5.278471,26.328632
0,mse,5,0.15,10.42405,21.050167
0,mae,6,0.05,4.563856,23.594065
0,mae,6,0.075,8.07763,22.288681
0,mae,6,0.1,8.80912,21.254288
0,mae,6,0.15,12.014087,18.811958
0,mse,6,0.05,1.854973,31.131996
0,mse,6,0.075,5.335611,27.909437
0,mse,6,0.1,6.056027,25.814785
0,mse,6,0.15,10.515689,20.580593
0,mae,7,0.05,3.235382,24.257505
0,mae,7,0.075,5.248025,22.861805
0,mae,7,0.1,5.954036,22.048111
0,mae,7,0.15,7.686854,19.886211
0,mse,7,0.05,0.94395,32.678108
0,mse,7,0.075,2.444122,29.659847
0,mse,7,0.1,3.085958,28.114851
0,mse,7,0.15,4.698199,23.133608
0,mae,8,0.05,3.129036,24.567909
0,mae,8,0.075,4.08131,23.375116
0,mae,8,0.1,4.270791,22.641504
