batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.74067,22.367241
0,mae,0,0.075,8.943119,20.877497
0,mae,0,0.1,9.330348,19.946007
0,mae,0,0.15,10.465333,17.975288
0,mse,0,0.05,6.070786,28.526768
0,mse,0,0.075,7.288709,25.308331
0,mse,0,0.1,7.601838,23.45191
0,mse,0,0.15,9.141966,19.351084
0,mae,1,0.05,7.703748,22.036026
0,mae,1,0.075,9.194908,20.864523
0,mae,1,0.1,9.646306,20.027023
0,mae,1,0.15,11.122161,17.861834
0,mse,1,0.05,6.20074,28.052727
0,mse,1,0.075,7.54615,25.368488
0,mse,1,0.1,8.008252,23.664549
0,mse,1,0.15,9.950253,19.518789
0,mae,2,0.05,7.43854,22.424847
0,mae,2,0.075,8.853951,20.621529
0,mae,2,0.1,10.043427,19.958195
0,mae,2,0.15,11.1429,18.479271
0,mse,2,0.05,5.885514,28.954086
0,mse,2,0.075,7.127946,24.855024
0,mse,2,0.1,8.509688,23.594082
0,mse,2,0.15,9.908905,20.483023
0,mae,3,0.05,7.791471,21.897827
0,mae,3,0.075,9.31411,20.758774
0,mae,3,0.1,10.173477,19.991974
0,mae,3,0.15,11.364655,18.281403
0,mse,3,0.05,6.113194,27.734924
0,mse,3,0.075,7.73666,25.30015
0,mse,3,0.1,8.728939,23.571266
0,mse,3,0.15,10.404325,20.083652
0,mae,4,0.05,7.793314,22.153278
0,mae,4,0.075,9.621308,20.893192
0,mae,4,0.1,10.655453,20.026546
0,mae,4,0.15,12.043517,18.249342
0,mse,4,0.05,6.13863,28.177816
0,mse,4,0.075,8.013985,25.415867
0,mse,4,0.1,9.259619,23.560886
0,mse,4,0.15,11.147346,19.929502
0,mae,5,0.05,8.642156,21.752647
0,mae,5,0.075,10.106572,20.567728
0,mae,5,0.1,10.983508,19.771858
0,mae,5,0.15,12.577765,17.870974
0,mse,5,0.05,6.903789,27.333029
0,mse,5,0.075,8.399702,24.575562
0,mse,5,0.1,9.553493,23.166311
0,mse,5,0.15,11.908661,19.488987
0,mae,6,0.05,9.170637,21.714512
0,mae,6,0.075,10.790835,19.899246
0,mae,6,0.1,11.599957,19.157246
0,mae,6,0.15,12.862282,17.546371
0,mse,6,0.05,7.284607,26.852489
0,mse,6,0.075,9.068623,23.06868
0,mse,6,0.1,10.203297,21.696091
0,mse,6,0.15,11.956587,18.818886
0,mae,7,0.05,9.388576,21.589645
0,mae,7,0.075,10.608852,19.900005
0,mae,7,0.1,11.482571,18.881992
0,mae,7,0.15,12.691297,17.588829
0,mse,7,0.05,7.495286,26.833614
0,mse,7,0.075,8.795117,23.077236
0,mse,7,0.1,10.058926,21.023558
0,mse,7,0.15,11.601521,18.589352
0,mae,8,0.05,8.136106,22.328678
0,mae,8,0.075,9.377882,20.49214
0,mae,8,0.1,10.102415,19.583832
0,mae,8,0.15,11.360531,17.793171
0,mse,8,0.05,6.307275,28.260628
0,mse,8,0.075,7.633767,24.238523
0,mse,8,0.1,8.474714,22.42849
0,mse,8,0.15,10.062036,19.255188
0,mae,9,0.05,7.583175,21.692905
0,mae,9,0.075,9.639011,19.701099
0,mae,9,0.1,10.318974,18.88294
0,mae,9,0.15,11.891786,16.887697
0,mse,9,0.05,5.804819,27.025906
0,mse,9,0.075,7.850021,22.746216
0,mse,9,0.1,8.594158,21.065037
0,mse,9,0.15,10.760788,17.346088
0,mae,10,0.05,6.867561,23.201872
0,mae,10,0.075,8.303686,20.706882
0,mae,10,0.1,9.818739,19.781811
0,mae,10,0.15,11.454964,17.840744
0,mse,10,0.05,3.91258,30.586229
0,mse,10,0.075,5.275012,24.637932
0,mse,10,0.1,8.169208,22.831676
0,mse,10,0.15,10.175507,19.316935
0,mae,11,0.05,6.243002,23.257542
0,mae,11,0.075,7.725314,21.495892
0,mae,11,0.1,8.968193,20.704788
0,mae,11,0.15,10.549326,19.026825
0,mse,11,0.05,2.790525,30.774492
0,mse,11,0.075,4.365405,26.791138
0,mse,11,0.1,5.916819,25.247932
0,mse,11,0.15,7.78237,21.780334
0,mae,12,0.05,6.454543,23.083706
0,mae,12,0.075,8.280959,21.566725
0,mae,12,0.1,9.183928,20.747471
0,mae,12,0.15,10.558431,18.553926
0,mse,12,0.05,3.393926,30.139872
0,mse,12,0.075,5.11204,26.728802
0,mse,12,0.1,6.164074,25.211372
0,mse,12,0.15,7.877818,21.087488
0,mae,13,0.05,6.993963,22.845236
0,mae,13,0.075,8.789377,21.351463
0,mae,13,0.1,9.840906,20.147774
0,mae,13,0.15,10.961187,18.49679
0,mse,13,0.05,4.191819,29.523087
0,mse,13,0.075,5.818274,26.015968
0,mse,13,0.1,7.245533,23.404118
