batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.871778,23.850101
0,mae,0,0.075,10.098383,21.879108
0,mae,0,0.1,11.420069,20.687082
0,mae,0,0.15,13.132553,18.744293
0,mse,0,0.05,6.019552,31.809195
0,mse,0,0.075,8.361868,27.365955
0,mse,0,0.1,10.351009,25.09898
0,mse,0,0.15,12.918375,21.135649
0,mae,1,0.05,5.978898,24.522175
0,mae,1,0.075,9.617103,21.631382
0,mae,1,0.1,10.560411,20.519711
0,mae,1,0.15,13.083755,18.949554
0,mse,1,0.05,2.814164,34.20034
0,mse,1,0.075,7.566335,27.558224
0,mse,1,0.1,8.725323,25.000481
0,mse,1,0.15,13.08952,21.877886
0,mae,2,0.05,6.450823,25.172428
0,mae,2,0.075,8.775938,23.936001
0,mae,2,0.1,9.863422,22.959736
0,mae,2,0.15,11.810868,21.247791
0,mse,2,0.05,3.328239,35.453552
0,mse,2,0.075,5.790423,32.50592
0,mse,2,0.1,6.863369,30.390945
0,mse,2,0.15,9.258187,27.053949
0,mae,3,0.05,6.998288,24.797646
0,mae,3,0.075,9.201353,23.26882
0,mae,3,0.1,10.547611,22.2897
0,mae,3,0.15,13.554114,20.046465
0,mse,3,0.05,4.266527,34.853828
0,mse,3,0.075,6.353333,31.128035
0,mse,3,0.1,8.207541,28.885321
0,mse,3,0.15,13.796358,23.655891
0,mae,4,0.05,7.788544,24.19265
0,mae,4,0.075,11.374028,22.089262
0,mae,4,0.1,12.210514,21.139217
0,mae,4,0.15,13.615759,19.76823
0,mse,4,0.05,5.188168,33.202888
0,mse,4,0.075,10.387516,28.129555
0,mse,4,0.1,11.419834,26.021099
0,mse,4,0.15,13.509593,23.283552
0,mae,5,0.05,6.05312,23.427338
0,mae,5,0.075,9.992296,21.860933
0,mae,5,0.1,11.100481,20.859333
0,mae,5,0.15,12.944608,18.875839
0,mse,5,0.05,3.260041,31.295387
0,mse,5,0.075,8.419836,27.812336
0,mse,5,0.1,9.888058,25.485191
0,mse,5,0.15,12.688837,21.534061
0,mae,6,0.05,5.903617,23.436974
0,mae,6,0.075,10.141905,21.007542
0,mae,6,0.1,11.393011,19.621153
0,mae,6,0.15,14.588789,18.022118
0,mse,6,0.05,2.616641,32.029663
0,mse,6,0.075,8.308012,26.300926
0,mse,6,0.1,9.906883,23.274101
0,mse,6,0.15,14.70935,20.434862
0,mae,7,0.05,8.793009,22.620756
0,mae,7,0.075,11.608128,21.472538
0,mae,7,0.1,13.054012,20.584641
0,mae,7,0.15,14.595672,19.319017
0,mse,7,0.05,6.694042,30.101366
0,mse,7,0.075,10.345258,27.091602
0,mse,7,0.1,12.215275,25.079361
0,mse,7,0.15,14.64948,22.481859
0,mae,8,0.05,7.709365,22.938648
0,mae,8,0.075,10.763474,21.672564
0,mae,8,0.1,11.738285,20.862843
0,mae,8,0.15,15.143126,19.113224
0,mse,8,0.05,5.14798,30.954185
0,mse,8,0.075,8.704905,28.101633
0,mse,8,0.1,9.841429,26.407585
0,mse,8,0.15,15.324124,22.323654
0,mae,9,0.05,7.292835,23.460447
0,mae,9,0.075,10.083504,21.920158
0,mae,9,0.1,11.907667,21.363819
0,mae,9,0.15,14.612503,19.031677
0,mse,9,0.05,5.520427,31.929195
0,mse,9,0.075,8.191351,28.114403
0,mse,9,0.1,10.342707,26.847353
0,mse,9,0.15,14.37945,21.981228
0,mae,10,0.05,8.443077,23.26149
0,mae,10,0.075,11.472645,21.892723
0,mae,10,0.1,12.9709,20.754871
0,mae,10,0.15,14.888096,18.992256
0,mse,10,0.05,6.698716,30.882833
0,mse,10,0.075,10.325243,27.22094
0,mse,10,0.1,12.268418,24.807915
0,mse,10,0.15,15.185323,21.567698
0,mae,11,0.05,8.723497,22.420116
0,mae,11,0.075,11.26495,20.19591
0,mae,11,0.1,12.859076,19.349415
0,mae,11,0.15,15.194991,17.468456
0,mse,11,0.05,6.764433,29.034899
0,mse,11,0.075,9.934128,24.337225
0,mse,11,0.1,12.433939,22.552601
0,mse,11,0.15,15.761835,19.389561
0,mae,12,0.05,6.325627,24.191879
0,mae,12,0.075,10.320128,20.973871
0,mae,12,0.1,12.003202,20.366405
0,mae,12,0.15,14.439339,18.311169
0,mse,12,0.05,3.726481,32.924622
0,mse,12,0.075,8.985645,25.453354
0,mse,12,0.1,11.441599,24.172028
0,mse,12,0.15,15.535694,20.539474
0,mae,13,0.05,7.182425,23.067928
0,mae,13,0.075,10.659328,21.182602
0,mae,13,0.1,12.000069,20.547407
0,mae,13,0.15,13.774838,18.69495
0,mse,13,0.05,4.596093,29.484726
0,mse,13,0.075,9.245279,25.324192
0,mse,13,0.1,11.597658,24.205606
0,mse,13,0.15,14.303049,21.007597
0,mae,14,0.05,7.610818,23.736164
0,mae,14,0.075,11.312716,21.726257
0,mae,14,0.1,12.496624,20.773056
0,mae,14,0.15,14.141407,19.289059
0,mse,14,0.05,5.588802,31.895992
0,mse,14,0.075,10.231485,27.211918
0,mse,14,0.1,12.300495,25.383362
0,mse,14,0.15,15.243815,22.925245
0,mae,15,0.05,7.345192,24.204386
0,mae,15,0.075,10.786001,22.736116
0,mae,15,0.1,11.399603,22.064655
0,mae,15,0.15,13.611546,20.085648
0,mse,15,0.05,4.558612,32.734131
0,mse,15,0.075,9.312604,29.385426
0,mse,15,0.1,10.152105,28.098413
0,mse,15,0.15,14.103424,24.137432
0,mae,16,0.05,7.203775,24.351175
0,mae,16,0.075,10.218451,21.904255
0,mae,16,0.1,12.463621,21.081314
0,mae,16,0.15,13.876643,19.734413
0,mse,16,0.05,4.119048,33.641716
0,mse,16,0.075,8.318895,27.696291
0,mse,16,0.1,12.032936,26.139784
0,mse,16,0.15,14.664942,23.456835
0,mae,17,0.05,6.85949,25.505486
0,mae,17,0.075,10.234581,22.57431
0,mae,17,0.1,11.946515,22.003891
0,mae,17,0.15,13.758636,20.765221
0,mse,17,0.05,3.823747,36.031204
0,mse,17,0.075,8.633342,28.947376
0,mse,17,0.1,11.631596,27.840141
0,mse,17,0.15,14.479555,25.361774
0,mae,18,0.05,8.141825,24.664978
0,mae,18,0.075,10.774158,23.718388
0,mae,18,0.1,11.998014,23.075886
0,mae,18,0.15,12.947129,21.962471
0,mse,18,0.05,5.92456,34.152596
0,mse,18,0.075,9.344238,31.770885
0,mse,18,0.1,11.173124,30.336163
0,mse,18,0.15,13.026099,28.10043
0,mae,19,0.05,8.120598,24.80106
0,mae,19,0.075,10.465746,23.706131
0,mae,19,0.1,11.107286,23.148792
0,mae,19,0.15,12.465002,21.759455
0,mse,19,0.05,6.064107,33.803238
0,mse,19,0.075,8.766935,31.310566
0,mse,19,0.1,9.64883,30.257896
0,mse,19,0.15,11.433229,27.548187
0,mae,20,0.05,7.155258,25.180132
0,mae,20,0.075,9.233642,23.978859
0,mae,20,0.1,9.929564,22.686886
0,mae,20,0.15,12.377753,21.505028
0,mse,20,0.05,5.258146,35.184002
0,mse,20,0.075,7.63731,32.830791
0,mse,20,0.1,8.528252,29.696198
0,mse,20,0.15,11.963568,26.992344
0,mae,21,0.05,5.758434,25.458076
0,mae,21,0.075,8.821735,23.793249
0,mae,21,0.1,9.359454,23.443386
0,mae,21,0.15,10.532925,22.418612
0,mse,21,0.05,3.858424,36.430614
0,mse,21,0.075,7.33281,32.398888
0,mse,21,0.1,8.053914,31.63159
0,mse,21,0.15,9.243795,29.683041
0,mae,22,0.05,6.132804,25.547081
0,mae,22,0.075,7.786943,24.534277
0,mae,22,0.1,8.832636,23.370399
0,mae,22,0.15,9.511332,22.515642
0,mse,22,0.05,3.760826,36.564671
0,mse,22,0.075,5.155632,34.717396
0,mse,22,0.1,6.224105,32.248474
0,mse,22,0.15,6.964563,30.409687
0,mae,23,0.05,8.351654,24.602417
0,mae,23,0.075,8.991533,23.848843
0,mae,23,0.1,9.710125,23.013847
0,mae,23,0.15,10.501636,22.303867
0,mse,23,0.05,6.494872,34.342857
0,mse,23,0.075,6.994352,32.819351
0,mse,23,0.1,7.67093,30.986357
0,mse,23,0.15,8.454206,29.547749
1,mae,0,0.05,16.087194,19.46488
1,mae,0,0.075,17.381588,18.230839
1,mae,0,0.1,18.051247,17.616821
1,mae,0,0.15,18.831299,15.905296
1,mse,0,0.05,47.812019,23.075829
1,mse,0,0.075,48.412937,20.205925
1,mse,0,0.1,49.42754,19.117786
1,mse,0,0.15,51.376236,15.955392
1,mae,1,0.05,11.212038,25.453577
1,mae,1,0.075,12.593452,23.506035
1,mae,1,0.1,13.10181,22.630062
1,mae,1,0.15,14.311718,21.029427
1,mse,1,0.05,14.320801,59.172386
1,mse,1,0.075,16.626114,53.84845
1,mse,1,0.1,17.250149,52.959694
1,mse,1,0.15,18.921946,49.567413
1,mae,2,0.05,11.355259,24.168936
1,mae,2,0.075,17.873472,18.097803
1,mae,2,0.1,18.579987,17.093029
1,mae,2,0.15,20.123896,16.042952
1,mse,2,0.05,14.218739,56.650345
1,mse,2,0.075,50.074574,20.259991
1,mse,2,0.1,51.688484,18.416409
1,mse,2,0.15,55.189919,16.630402
1,mae,3,0.05,11.886778,24.32259
1,mae,3,0.075,13.727972,22.773392
1,mae,3,0.1,14.093195,22.236198
1,mae,3,0.15,14.938728,20.804594
1,mse,3,0.05,15.453358,56.996452
1,mse,3,0.075,18.140881,53.761848
1,mse,3,0.1,18.72916,52.670837
1,mse,3,0.15,19.887436,49.174767
1,mae,4,0.05,16.790768,19.446053
1,mae,4,0.075,18.923115,17.377491
1,mae,4,0.1,20.240875,16.614891
1,mae,4,0.15,21.206627,15.792948
1,mse,4,0.05,48.395435,22.947529
1,mse,4,0.075,51.356178,18.808498
1,mse,4,0.1,54.753902,17.550236
1,mse,4,0.15,56.83617,15.994335
1,mae,5,0.05,9.326173,25.641029
1,mae,5,0.075,16.438349,19.763094
1,mae,5,0.1,16.984402,19.329269
1,mae,5,0.15,18.632515,17.994759
1,mse,5,0.05,6.909618,63.235878
1,mse,5,0.075,43.913971,27.234146
1,mse,5,0.1,44.665768,26.292545
1,mse,5,0.15,47.145077,24.213713
1,mae,6,0.05,10.227243,25.746178
1,mae,6,0.075,12.147811,24.873554
1,mae,6,0.1,12.286783,24.552258
1,mae,6,0.15,14.158373,22.636574
1,mse,6,0.05,7.823132,63.869377
1,mse,6,0.075,10.720645,61.602833
1,mse,6,0.1,10.952537,60.495441
1,mse,6,0.15,13.940495,55.31913
1,mae,7,0.05,10.218321,25.475674
1,mae,7,0.075,12.191689,24.464609
1,mae,7,0.1,13.324912,23.383512
1,mae,7,0.15,15.152883,22.198532
1,mse,7,0.05,7.572219,61.592022
1,mse,7,0.075,10.527739,59.282967
1,mse,7,0.1,12.230997,57.229137
1,mse,7,0.15,15.393841,54.994987
1,mae,8,0.05,9.254748,26.262554
1,mae,8,0.075,11.358117,25.350456
1,mae,8,0.1,12.180696,25.265514
1,mae,8,0.15,14.204872,23.758656
1,mse,8,0.05,6.624722,63.711609
1,mse,8,0.075,9.253754,61.346226
1,mse,8,0.1,10.453215,60.884987
1,mse,8,0.15,14.014621,57.413727
1,mae,9,0.05,9.510822,26.698318
1,mae,9,0.075,11.832516,25.487291
1,mae,9,0.1,13.018907,24.646137
1,mae,9,0.15,14.611673,23.500208
1,mse,9,0.05,6.57907,65.746506
1,mse,9,0.075,9.504556,62.80479
1,mse,9,0.1,11.317117,60.677185
1,mse,9,0.15,14.060305,57.270622
1,mae,10,0.05,9.570568,26.690014
1,mae,10,0.075,11.644089,25.2425
1,mae,10,0.1,12.466848,24.804003
1,mae,10,0.15,13.906321,24.018478
1,mse,10,0.05,6.799099,65.861839
1,mse,10,0.075,9.474771,62.376938
1,mse,10,0.1,10.424183,61.555939
1,mse,10,0.15,12.687151,59.856239
1,mae,11,0.05,8.257986,27.444777
1,mae,11,0.075,10.186037,25.759672
1,mae,11,0.1,11.337023,25.243439
1,mae,11,0.15,13.118108,23.671995
1,mse,11,0.05,5.239421,67.480042
1,mse,11,0.075,7.373873,63.181496
1,mse,11,0.1,8.85826,61.714722
1,mse,11,0.15,11.588202,58.288464
1,mae,12,0.05,7.830986,27.256304
1,mae,12,0.075,10.076599,25.811846
1,mae,12,0.1,10.749998,25.156429
1,mae,12,0.15,12.175106,23.91683
1,mse,12,0.05,4.705081,65.913071
1,mse,12,0.075,7.612703,62.57106
1,mse,12,0.1,8.436749,61.093903
1,mse,12,0.15,10.412749,58.411015
1,mae,13,0.05,8.608689,26.890942
1,mae,13,0.075,9.554457,26.234608
1,mae,13,0.1,10.489763,25.178392
1,mae,13,0.15,12.002743,24.335384
1,mse,13,0.05,5.870729,65.264557
1,mse,13,0.075,7.016504,63.664974
1,mse,13,0.1,8.074767,61.528786
