batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.47485,13.461445
0,mae,0,0.075,4.971575,12.541168
0,mae,0,0.1,5.549044,12.368097
0,mae,0,0.15,6.992014,12.113417
0,mse,0,0.05,1.55007,10.540989
0,mse,0,0.075,2.508608,9.465519
0,mse,0,0.1,2.836383,9.212079
0,mse,0,0.15,3.796188,8.63479
0,mae,1,0.05,4.311011,12.771675
0,mae,1,0.075,5.542062,11.654031
0,mae,1,0.1,6.143343,11.573077
0,mae,1,0.15,7.814552,11.310639
0,mse,1,0.05,1.996549,9.82144
0,mse,1,0.075,2.687446,8.549479
0,mse,1,0.1,3.158955,8.313014
0,mse,1,0.15,4.373834,7.74903
0,mae,2,0.05,3.599014,12.65954
0,mae,2,0.075,4.997562,12.17523
0,mae,2,0.1,5.571139,12.234812
0,mae,2,0.15,7.847201,10.896887
0,mse,2,0.05,1.394557,9.757492
0,mse,2,0.075,2.267042,9.154884
0,mse,2,0.1,2.580442,9.14369
0,mse,2,0.15,4.414459,7.452529
0,mae,3,0.05,2.750145,12.897511
0,mae,3,0.075,4.803965,12.17015
0,mae,3,0.1,5.484816,11.61928
0,mae,3,0.15,7.613567,10.940784
0,mse,3,0.05,0.789983,10.258074
0,mse,3,0.075,2.183823,9.140007
0,mse,3,0.1,2.63063,8.244527
0,mse,3,0.15,4.215431,7.46925
0,mae,4,0.05,3.813173,12.616827
0,mae,4,0.075,4.46951,12.078381
0,mae,4,0.1,5.300907,11.761488
0,mae,4,0.15,7.537022,10.617511
0,mse,4,0.05,1.848945,9.845407
0,mse,4,0.075,1.978148,8.99344
0,mse,4,0.1,2.539049,8.535528
0,mse,4,0.15,4.12755,7.215954
0,mae,5,0.05,3.410635,12.264398
0,mae,5,0.075,4.805111,11.902952
0,mae,5,0.1,5.435713,11.591398
0,mae,5,0.15,7.874343,11.017818
0,mse,5,0.05,1.534634,9.273825
0,mse,5,0.075,2.107421,8.750057
0,mse,5,0.1,2.500618,8.309948
0,mse,5,0.15,4.433322,7.6494
0,mae,6,0.05,3.464345,12.589397
0,mae,6,0.075,4.797833,11.719048
0,mae,6,0.1,5.462077,11.550206
0,mae,6,0.15,7.589867,11.000419
0,mse,6,0.05,1.410414,9.794783
0,mse,6,0.075,2.109027,8.670148
0,mse,6,0.1,2.465673,8.427548
0,mse,6,0.15,4.381935,7.605799
0,mae,7,0.05,3.511854,12.87607
0,mae,7,0.075,4.895889,11.884661
0,mae,7,0.1,5.247179,11.631308
0,mae,7,0.15,7.899846,10.882557
0,mse,7,0.05,1.441262,10.047289
0,mse,7,0.075,2.1145,8.763487
0,mse,7,0.1,2.287319,8.379066
0,mse,7,0.15,4.525693,7.436218
0,mae,8,0.05,3.512993,12.479374
0,mae,8,0.075,4.588514,11.718383
0,mae,8,0.1,5.819689,11.187323
0,mae,8,0.15,7.676301,10.930763
0,mse,8,0.05,1.468098,9.528392
0,mse,8,0.075,1.994976,8.425591
0,mse,8,0.1,2.755768,7.75447
0,mse,8,0.15,4.302135,7.547883
0,mae,9,0.05,3.497413,12.348505
0,mae,9,0.075,4.802882,11.508743
0,mae,9,0.1,6.05212,11.034343
0,mae,9,0.15,8.105881,10.810561
0,mse,9,0.05,1.49623,9.345957
0,mse,9,0.075,2.216287,7.989633
0,mse,9,0.1,2.997914,7.490977
0,mse,9,0.15,4.747665,7.246338
0,mae,10,0.05,3.789152,12.183424
0,mae,10,0.075,4.757025,11.286469
0,mae,10,0.1,6.026031,10.883492
0,mae,10,0.15,8.506744,10.85947
0,mse,10,0.05,1.594892,8.98874
0,mse,10,0.075,1.984019,7.794514
0,mse,10,0.1,2.932594,7.282702
0,mse,10,0.15,5.049373,7.295326
0,mae,11,0.05,4.101331,12.273797
0,mae,11,0.075,5.269079,11.359983
0,mae,11,0.1,6.102354,10.881021
0,mae,11,0.15,8.229253,10.802042
0,mse,11,0.05,1.820994,9.13019
0,mse,11,0.075,2.384517,7.869522
0,mse,11,0.1,3.06162,7.231544
0,mse,11,0.15,4.930072,7.199505
0,mae,12,0.05,3.8906,12.067755
0,mae,12,0.075,5.318447,11.505917
0,mae,12,0.1,6.024944,10.883781
0,mae,12,0.15,8.451448,10.633364
0,mse,12,0.05,1.588081,8.699682
0,mse,12,0.075,2.49969,7.963276
0,mse,12,0.1,2.942053,7.226709
0,mse,12,0.15,5.015646,7.025077
0,mae,13,0.05,4.044353,12.449848
0,mae,13,0.075,5.97999,11.484651
0,mae,13,0.1,6.570735,11.257868
0,mae,13,0.15,8.557705,11.246412
0,mse,13,0.05,1.64296,9.205046
0,mse,13,0.075,2.855061,7.882097
0,mse,13,0.1,3.246068,7.593339
0,mse,13,0.15,5.180984,7.547659
0,mae,14,0.05,4.210248,12.471191
0,mae,14,0.075,5.722296,11.82692
0,mae,14,0.1,6.797677,11.551378
0,mae,14,0.15,8.441822,11.167768
0,mse,14,0.05,1.690131,9.248868
0,mse,14,0.075,2.602087,8.336697
0,mse,14,0.1,3.561965,8.007725
0,mse,14,0.15,5.002552,7.535516
0,mae,15,0.05,4.736334,12.643089
0,mae,15,0.075,6.178342,11.79023
0,mae,15,0.1,6.882935,11.680332
0,mae,15,0.15,8.096339,11.378012
0,mse,15,0.05,2.210343,9.499853
0,mse,15,0.075,2.935151,8.263773
0,mse,15,0.1,3.546611,8.128289
0,mse,15,0.15,4.650476,7.735115
