batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.69288,24.25647
0,mae,0,0.075,9.868775,23.742004
0,mae,0,0.1,10.006264,23.355305
0,mae,0,0.15,10.182577,22.648428
0,mse,0,0.05,10.509437,32.932713
0,mse,0,0.075,10.610579,31.703754
0,mse,0,0.1,10.677105,30.689951
0,mse,0,0.15,10.771572,29.105152
0,mae,1,0.05,9.327138,24.138851
0,mae,1,0.075,9.750207,23.821728
0,mae,1,0.1,10.038788,23.625008
0,mae,1,0.15,10.249381,22.544373
0,mse,1,0.05,10.241915,32.662498
0,mse,1,0.075,10.458634,31.956587
0,mse,1,0.1,10.676023,31.580868
0,mse,1,0.15,10.879385,29.192366
0,mae,2,0.05,9.642395,24.307774
0,mae,2,0.075,9.757387,23.787663
0,mae,2,0.1,9.784719,23.376465
0,mae,2,0.15,9.966255,21.92441
0,mse,2,0.05,10.398794,33.273811
0,mse,2,0.075,10.380547,32.066086
0,mse,2,0.1,10.406637,31.024122
0,mse,2,0.15,10.509253,27.656124
0,mae,3,0.05,8.994428,24.192654
0,mae,3,0.075,9.525192,23.838242
0,mae,3,0.1,9.651102,23.259043
0,mae,3,0.15,9.891228,21.956255
0,mse,3,0.05,9.717997,32.872089
0,mse,3,0.075,10.072346,31.918385
0,mse,3,0.1,10.211851,30.648766
0,mse,3,0.15,10.328909,27.417622
0,mae,4,0.05,8.953552,24.77911
0,mae,4,0.075,9.228694,24.123859
0,mae,4,0.1,9.227875,23.847897
0,mae,4,0.15,9.363953,22.878677
0,mse,4,0.05,9.891727,34.21315
0,mse,4,0.075,9.977034,32.606888
0,mse,4,0.1,9.963081,31.863825
0,mse,4,0.15,10.023512,29.471449
0,mae,5,0.05,9.533007,24.39794
0,mae,5,0.075,9.683722,23.74719
0,mae,5,0.1,9.774107,23.212711
0,mae,5,0.15,9.965525,22.142654
0,mse,5,0.05,10.150763,33.337677
0,mse,5,0.075,10.289106,31.803429
0,mse,5,0.1,10.275428,30.454649
0,mse,5,0.15,10.333497,27.875542
0,mae,6,0.05,9.412301,24.312424
0,mae,6,0.075,9.481934,23.800119
0,mae,6,0.1,9.581989,23.454676
0,mae,6,0.15,9.934816,22.000465
0,mse,6,0.05,10.073877,33.019142
0,mse,6,0.075,10.02303,31.763704
0,mse,6,0.1,10.14234,30.873575
0,mse,6,0.15,10.409844,27.589241
0,mae,7,0.05,9.569889,24.220772
0,mae,7,0.075,9.62208,23.707762
0,mae,7,0.1,9.801306,23.29686
0,mae,7,0.15,9.95957,21.969402
0,mse,7,0.05,10.208322,32.790668
0,mse,7,0.075,10.159712,31.578415
0,mse,7,0.1,10.315004,30.5261
0,mse,7,0.15,10.433657,27.694309
0,mae,8,0.05,8.862297,24.575891
0,mae,8,0.075,9.050945,23.810127
0,mae,8,0.1,9.407078,23.401676
0,mae,8,0.15,9.525321,22.611376
0,mse,8,0.05,9.190666,33.612862
0,mse,8,0.075,9.302408,31.8591
0,mse,8,0.1,9.661425,30.928814
0,mse,8,0.15,9.632071,29.158648
0,mae,9,0.05,9.320483,24.199188
0,mae,9,0.075,9.649055,23.681355
0,mae,9,0.1,9.859221,23.242537
0,mae,9,0.15,10.119588,22.333387
0,mse,9,0.05,10.047329,32.760448
0,mse,9,0.075,10.344036,31.441751
0,mse,9,0.1,10.481173,30.443888
0,mse,9,0.15,10.638704,28.491901
0,mae,10,0.05,9.697186,24.246243
0,mae,10,0.075,9.778027,23.615351
0,mae,10,0.1,9.887086,23.156033
0,mae,10,0.15,10.149676,21.985643
0,mse,10,0.05,10.302677,32.944283
0,mse,10,0.075,10.291834,31.331749
0,mse,10,0.1,10.554183,30.312033
0,mse,10,0.15,10.654503,27.591267
0,mae,11,0.05,9.431509,24.223539
0,mae,11,0.075,9.622889,23.577316
0,mae,11,0.1,9.633329,23.303793
0,mae,11,0.15,9.833617,22.24185
0,mse,11,0.05,10.269506,32.911972
0,mse,11,0.075,10.485218,31.352367
0,mse,11,0.1,10.413883,30.710171
0,mse,11,0.15,10.444626,28.088646
0,mae,12,0.05,9.2857,24.198387
0,mae,12,0.075,9.431618,23.680969
0,mae,12,0.1,9.526167,23.292933
0,mae,12,0.15,9.636862,22.106194
0,mse,12,0.05,10.201031,32.901112
0,mse,12,0.075,10.419537,31.615124
0,mse,12,0.1,10.483637,30.767668
0,mse,12,0.15,10.483164,27.913128
0,mae,13,0.05,9.38109,24.33559
0,mae,13,0.075,9.591327,23.633358
0,mae,13,0.1,9.623205,23.206066
0,mae,13,0.15,9.857743,21.952686
0,mse,13,0.05,10.091528,33.238678
0,mse,13,0.075,10.31773,31.507805
0,mse,13,0.1,10.301679,30.524101
0,mse,13,0.15,10.389589,27.580265
0,mae,14,0.05,9.374674,24.238997
0,mae,14,0.075,9.578178,23.420462
0,mae,14,0.1,9.70871,22.971088
0,mae,14,0.15,9.948122,21.753315
0,mse,14,0.05,10.06246,32.975121
0,mse,14,0.075,10.324701,31.0888
0,mse,14,0.1,10.415832,30.096508
0,mse,14,0.15,10.505283,27.233112
0,mae,15,0.05,9.183073,24.224258
0,mae,15,0.075,9.538683,23.412241
0,mae,15,0.1,9.587263,22.873222
0,mae,15,0.15,9.815994,21.497826
0,mse,15,0.05,9.917871,32.735821
0,mse,15,0.075,10.301085,30.95657
0,mse,15,0.1,10.264315,29.677578
0,mse,15,0.15,10.347856,26.486523
0,mae,16,0.05,8.871871,24.417524
0,mae,16,0.075,9.511242,23.619473
0,mae,16,0.1,9.810636,23.212753
0,mae,16,0.15,9.990369,21.86742
0,mse,16,0.05,8.875496,33.600735
0,mse,16,0.075,10.211309,31.441212
0,mse,16,0.1,10.494831,30.572781
0,mse,16,0.15,10.582148,27.484825
0,mae,17,0.05,8.233356,24.770868
0,mae,17,0.075,8.716848,23.858641
0,mae,17,0.1,8.812586,23.567211
0,mae,17,0.15,9.154006,22.466755
0,mse,17,0.05,8.174768,34.634407
0,mse,17,0.075,8.454694,32.399921
0,mse,17,0.1,8.6401,31.688732
0,mse,17,0.15,8.896371,29.36525
0,mae,18,0.05,9.304808,24.233089
0,mae,18,0.075,9.596435,23.556271
0,mae,18,0.1,9.675053,23.15807
0,mae,18,0.15,9.973007,22.033915
0,mse,18,0.05,10.026794,33.047855
