batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.32962,31.027191
0,mae,0,0.075,2.973552,30.165642
0,mae,0,0.1,3.474502,29.577559
0,mae,0,0.15,4.31484,27.741356
0,mse,0,0.05,0.425585,52.478203
0,mse,0,0.075,0.656335,49.926025
0,mse,0,0.1,0.929954,47.945381
0,mse,0,0.15,1.277788,42.317242
0,mae,1,0.05,2.578615,30.619316
0,mae,1,0.075,3.299182,29.89122
0,mae,1,0.1,3.578901,29.172489
0,mae,1,0.15,4.390543,27.141199
0,mse,1,0.05,0.499934,51.29047
0,mse,1,0.075,0.776726,49.230133
0,mse,1,0.1,0.872887,47.013474
0,mse,1,0.15,1.285124,40.922478
0,mae,2,0.05,2.389857,30.610828
0,mae,2,0.075,3.383456,29.433996
0,mae,2,0.1,3.714725,28.916313
0,mae,2,0.15,4.642869,26.959831
0,mse,2,0.05,0.490883,51.201794
0,mse,2,0.075,0.846542,47.727554
0,mse,2,0.1,0.96584,46.055492
0,mse,2,0.15,1.462406,40.32848
0,mae,3,0.05,2.570246,30.558174
0,mae,3,0.075,2.976459,29.528503
0,mae,3,0.1,3.373856,28.898535
0,mae,3,0.15,4.368063,27.010527
0,mse,3,0.05,0.472811,50.508522
0,mse,3,0.075,0.632783,47.33646
0,mse,3,0.1,0.781064,45.620583
0,mse,3,0.15,1.302444,40.112152
0,mae,4,0.05,2.285842,30.414045
0,mae,4,0.075,2.752963,29.672668
0,mae,4,0.1,3.015737,28.871895
0,mae,4,0.15,3.901278,27.152563
0,mse,4,0.05,0.400913,50.361053
0,mse,4,0.075,0.571016,48.247379
0,mse,4,0.1,0.661152,45.9086
0,mse,4,0.15,1.067418,40.509804
0,mae,5,0.05,3.549366,29.607487
0,mae,5,0.075,4.184369,28.593224
0,mae,5,0.1,4.422105,28.22821
0,mae,5,0.15,5.121876,26.777601
0,mse,5,0.05,1.264457,48.469585
0,mse,5,0.075,1.814027,45.43232
0,mse,5,0.1,1.883868,44.333664
0,mse,5,0.15,2.270685,39.882675
0,mae,6,0.05,2.815774,30.430027
0,mae,6,0.075,3.32469,29.516674
0,mae,6,0.1,3.595333,29.102844
0,mae,6,0.15,4.280845,27.240921
0,mse,6,0.05,0.616233,50.121601
0,mse,6,0.075,0.888522,47.565369
0,mse,6,0.1,1.017547,46.158417
0,mse,6,0.15,1.325953,40.916393
0,mae,7,0.05,2.586829,30.735079
0,mae,7,0.075,2.897241,29.64691
0,mae,7,0.1,3.116842,29.01606
0,mae,7,0.15,3.993898,26.891897
0,mse,7,0.05,0.482826,51.159729
0,mse,7,0.075,0.604208,47.768173
0,mse,7,0.1,0.708168,46.00563
0,mse,7,0.15,1.089989,39.957451
0,mae,8,0.05,2.487274,30.583534
0,mae,8,0.075,3.063666,29.470615
0,mae,8,0.1,3.700913,29.187181
0,mae,8,0.15,4.48269,27.232113
0,mse,8,0.05,0.442943,51.099915
0,mse,8,0.075,0.705037,47.838688
0,mse,8,0.1,1.070661,46.657967
0,mse,8,0.15,1.379932,41.242577
0,mae,9,0.05,2.594103,30.810013
0,mae,9,0.075,3.658904,29.952114
0,mae,9,0.1,4.023081,29.514887
0,mae,9,0.15,4.898842,27.763121
0,mse,9,0.05,0.505285,51.615536
0,mse,9,0.075,1.009078,49.015793
0,mse,9,0.1,1.154284,47.695934
0,mse,9,0.15,1.645573,42.589493
0,mae,10,0.05,2.572241,30.643646
0,mae,10,0.075,3.473562,29.266832
0,mae,10,0.1,3.889919,28.777256
0,mae,10,0.15,4.859595,27.032743
0,mse,10,0.05,0.602762,51.233032
0,mse,10,0.075,0.970879,47.301582
0,mse,10,0.1,1.157671,45.954052
0,mse,10,0.15,1.711239,40.780098
0,mae,11,0.05,2.685927,30.668442
0,mae,11,0.075,3.144763,29.540731
0,mae,11,0.1,3.41468,28.897104
0,mae,11,0.15,4.342887,27.287674
0,mse,11,0.05,0.596076,50.985367
0,mse,11,0.075,0.783869,47.798492
0,mse,11,0.1,0.864262,46.052502
0,mse,11,0.15,1.40006,41.361961
0,mae,12,0.05,2.495091,30.360424
0,mae,12,0.075,3.029606,29.362743
0,mae,12,0.1,3.268096,28.684135
0,mae,12,0.15,4.171474,26.815403
0,mse,12,0.05,0.499653,50.324501
0,mse,12,0.075,0.709416,47.211891
0,mse,12,0.1,0.78438,45.011902
0,mse,12,0.15,1.275548,39.600468
0,mae,13,0.05,3.865013,29.592596
0,mae,13,0.075,4.765212,28.593296
0,mae,13,0.1,4.986104,28.356443
0,mae,13,0.15,5.704668,26.84181
0,mse,13,0.05,1.548797,48.209602
0,mse,13,0.075,2.342668,45.148941
0,mse,13,0.1,2.458766,44.354347
0,mse,13,0.15,2.882916,39.755131
0,mae,14,0.05,2.863817,30.403839
0,mae,14,0.075,3.369375,29.587973
0,mae,14,0.1,3.698531,29.073643
0,mae,14,0.15,4.55425,27.209454
0,mse,14,0.05,0.706311,49.681557
0,mse,14,0.075,0.99219,47.44899
0,mse,14,0.1,1.110813,45.840698
0,mse,14,0.15,1.632535,40.452896
0,mae,15,0.05,2.266096,30.683332
0,mae,15,0.075,2.643448,29.641312
0,mae,15,0.1,2.96738,28.950306
0,mae,15,0.15,3.831699,27.081966
0,mse,15,0.05,0.382812,51.043671
0,mse,15,0.075,0.521056,47.960682
0,mse,15,0.1,0.614324,45.775948
0,mse,15,0.15,1.057075,40.266907
0,mae,16,0.05,2.289263,30.940296
0,mae,16,0.075,2.884835,29.793163
0,mae,16,0.1,3.232455,29.276308
0,mae,16,0.15,4.079457,27.680094
0,mse,16,0.05,0.417833,51.596088
0,mse,16,0.075,0.687695,48.478249
0,mse,16,0.1,0.824534,46.562511
0,mse,16,0.15,1.302358,41.73856
0,mae,17,0.05,2.442731,30.516357
0,mae,17,0.075,3.440515,29.794781
0,mae,17,0.1,3.608679,29.058777
0,mae,17,0.15,4.482384,27.570023
0,mse,17,0.05,0.492328,50.638359
0,mse,17,0.075,0.848563,48.430214
0,mse,17,0.1,0.904094,46.091713
0,mse,17,0.15,1.371768,41.788467
0,mae,18,0.05,2.694589,30.320744
0,mae,18,0.075,3.377266,29.301605
0,mae,18,0.1,3.728538,28.745552
0,mae,18,0.15,4.574342,27.051634
0,mse,18,0.05,0.578781,50.201191
0,mse,18,0.075,0.892245,47.036903
0,mse,18,0.1,1.043851,45.348061
0,mse,18,0.15,1.474726,40.62962
0,mae,19,0.05,2.711866,30.845322
0,mae,19,0.075,3.228307,29.802858
0,mae,19,0.1,3.454942,28.965347
0,mae,19,0.15,4.378847,27.541124
0,mse,19,0.05,0.561618,51.500656
0,mse,19,0.075,0.758458,48.51004
0,mse,19,0.1,0.879503,46.067608
0,mse,19,0.15,1.332783,41.991528
0,mae,20,0.05,2.441909,30.455816
0,mae,20,0.075,2.895152,29.727581
0,mae,20,0.1,3.105511,29.007736
0,mae,20,0.15,3.940777,27.07999
0,mse,20,0.05,0.442239,50.488091
0,mse,20,0.075,0.629325,48.179173
0,mse,20,0.1,0.682269,45.933014
0,mse,20,0.15,1.090243,40.300526
0,mae,21,0.05,3.609173,29.96616
0,mae,21,0.075,4.179916,29.05835
0,mae,21,0.1,4.398248,28.74324
0,mae,21,0.15,4.800231,27.181881
0,mse,21,0.05,1.197714,49.516903
0,mse,21,0.075,1.683391,46.830658
0,mse,21,0.1,1.773161,45.858582
0,mse,21,0.15,2.052147,41.169121
0,mae,22,0.05,3.175533,30.343645
0,mae,22,0.075,3.801845,29.623095
0,mae,22,0.1,4.103441,29.13677
0,mae,22,0.15,5.004859,27.452538
0,mse,22,0.05,0.794384,50.300323
0,mse,22,0.075,1.180971,48.157417
0,mse,22,0.1,1.339339,46.84893
0,mse,22,0.15,1.896467,41.988159
0,mae,23,0.05,2.663412,30.912209
0,mae,23,0.075,3.00337,30.08362
0,mae,23,0.1,3.259371,29.423391
0,mae,23,0.15,4.303859,27.479731
0,mse,23,0.05,0.550642,52.101681
0,mse,23,0.075,0.705796,49.679588
0,mse,23,0.1,0.80428,47.474442
0,mse,23,0.15,1.35358,41.895569
1,mae,0,0.05,4.170216,33.125542
