batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.863943,27.500153
0,mae,0,0.075,7.12846,25.728178
0,mae,0,0.1,8.790489,23.990389
0,mae,0,0.15,10.740597,20.492903
0,mse,0,0.05,3.370512,42.164299
0,mse,0,0.075,4.693079,37.097076
0,mse,0,0.1,6.475868,32.342857
0,mse,0,0.15,8.916139,24.09877
0,mae,1,0.05,6.048768,27.977879
0,mae,1,0.075,7.569539,26.086658
0,mae,1,0.1,9.038531,24.524075
0,mae,1,0.15,11.019922,21.03558
0,mse,1,0.05,3.601846,43.583469
0,mse,1,0.075,5.080002,37.761673
0,mse,1,0.1,6.58321,33.633934
0,mse,1,0.15,8.982224,25.252003
0,mae,2,0.05,6.301278,27.643799
0,mae,2,0.075,7.936042,25.407095
0,mae,2,0.1,9.166079,24.181194
0,mae,2,0.15,11.108439,21.013683
0,mse,2,0.05,3.604044,42.680733
0,mse,2,0.075,5.423794,36.382034
0,mse,2,0.1,6.800625,33.259342
0,mse,2,0.15,9.297467,25.597857
0,mae,3,0.05,5.555408,27.948162
0,mae,3,0.075,6.992908,25.621178
0,mae,3,0.1,7.921576,24.172388
0,mae,3,0.15,10.626293,20.822727
0,mse,3,0.05,2.922702,43.634571
0,mse,3,0.075,4.169288,37.418732
0,mse,3,0.1,5.149739,33.386856
0,mse,3,0.15,8.367499,25.156235
0,mae,4,0.05,5.941732,27.473505
0,mae,4,0.075,7.695428,25.547192
0,mae,4,0.1,8.009409,24.471958
0,mae,4,0.15,10.063829,20.727953
0,mse,4,0.05,2.747493,40.830658
0,mse,4,0.075,4.501899,35.749264
0,mse,4,0.1,4.852652,32.850674
0,mse,4,0.15,7.455323,24.706421
0,mae,5,0.05,5.325346,27.702682
0,mae,5,0.075,7.816027,25.510641
0,mae,5,0.1,8.643236,23.994762
0,mae,5,0.15,10.689854,20.499609
0,mse,5,0.05,2.21944,41.642555
0,mse,5,0.075,4.556132,35.94175
0,mse,5,0.1,5.516912,31.967569
0,mse,5,0.15,8.079028,24.129602
0,mae,6,0.05,4.841074,28.220602
0,mae,6,0.075,7.330727,25.43824
0,mae,6,0.1,8.128394,24.501284
0,mae,6,0.15,10.586876,20.782822
0,mse,6,0.05,1.944293,43.851967
0,mse,6,0.075,4.05266,36.329498
