batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.233847,25.704762
0,mae,0,0.075,10.108907,22.473207
0,mae,0,0.1,11.089272,20.956234
0,mae,0,0.15,11.922374,18.382929
0,mse,0,0.05,5.920972,37.24585
0,mse,0,0.075,8.827789,29.23914
0,mse,0,0.1,10.131338,26.191654
0,mse,0,0.15,11.834066,20.224321
0,mae,1,0.05,8.456567,25.596441
0,mae,1,0.075,10.241178,22.520802
0,mae,1,0.1,10.929822,21.274168
0,mae,1,0.15,12.763681,17.973669
0,mse,1,0.05,6.266086,37.40097
0,mse,1,0.075,8.879995,29.794212
0,mse,1,0.1,9.781472,26.583628
0,mse,1,0.15,12.46519,19.079174
0,mae,2,0.05,8.903272,25.311007
0,mae,2,0.075,10.384401,22.012642
0,mae,2,0.1,11.048998,20.469685
0,mae,2,0.15,12.070786,18.041964
0,mse,2,0.05,6.778936,36.311993
0,mse,2,0.075,8.780828,28.337475
0,mse,2,0.1,9.732836,24.834843
0,mse,2,0.15,11.636363,19.872602
0,mae,3,0.05,8.845316,25.353233
0,mae,3,0.075,9.367399,22.657375
0,mae,3,0.1,10.419817,21.168432
0,mae,3,0.15,11.951305,17.885574
0,mse,3,0.05,6.569917,36.912407
0,mse,3,0.075,7.326681,29.866625
0,mse,3,0.1,8.874474,26.351217
0,mse,3,0.15,11.563484,19.051701
0,mae,4,0.05,9.709432,25.966824
0,mae,4,0.075,10.360744,23.249826
0,mae,4,0.1,11.144894,21.563274
0,mae,4,0.15,12.266394,17.905087
0,mse,4,0.05,7.45396,37.854935
0,mse,4,0.075,8.053234,31.008427
0,mse,4,0.1,9.281758,27.074104
0,mse,4,0.15,11.075333,19.160912
0,mae,5,0.05,9.082829,26.176876
0,mae,5,0.075,10.475819,23.419968
0,mae,5,0.1,11.038759,21.615036
0,mae,5,0.15,12.654944,18.215853
0,mse,5,0.05,6.446692,38.785507
0,mse,5,0.075,8.511609,31.119671
0,mse,5,0.1,9.395776,26.957838
0,mse,5,0.15,11.975374,19.833797
0,mae,6,0.05,7.472445,25.856531
0,mae,6,0.075,9.817064,23.011393
0,mae,6,0.1,10.934727,21.233971
0,mae,6,0.15,12.692905,18.043018
0,mse,6,0.05,4.133102,37.62059
0,mse,6,0.075,7.070417,30.463421
0,mse,6,0.1,8.690059,25.821735
0,mse,6,0.15,11.450206,19.016569
0,mae,7,0.05,8.861959,26.028479
0,mae,7,0.075,10.10502,22.716511
0,mae,7,0.1,10.740669,21.294783
0,mae,7,0.15,11.964265,17.745045
0,mse,7,0.05,5.595745,37.858154
0,mse,7,0.075,7.297313,29.442375
0,mse,7,0.1,8.25648,26.121773
0,mse,7,0.15,10.042768,18.824142
0,mae,8,0.05,8.011196,25.428108
0,mae,8,0.075,9.401809,22.656284
0,mae,8,0.1,10.727694,20.780771
0,mae,8,0.15,13.273632,17.565649
0,mse,8,0.05,4.401433,36.888287
0,mse,8,0.075,6.135458,30.075993
0,mse,8,0.1,8.363655,25.099464
0,mse,8,0.15,12.366972,18.343149
0,mae,9,0.05,8.949677,25.970776
0,mae,9,0.075,10.852282,22.971094
0,mae,9,0.1,11.369126,21.367954
0,mae,9,0.15,13.093954,17.711468
0,mse,9,0.05,5.411931,38.81422
0,mse,9,0.075,7.881504,30.808094
0,mse,9,0.1,8.899229,27.350021
0,mse,9,0.15,12.15658,19.43581
0,mae,10,0.05,9.404181,25.639301
0,mae,10,0.075,10.758995,22.576763
0,mae,10,0.1,11.656637,20.910128
0,mae,10,0.15,13.47591,17.265429
0,mse,10,0.05,6.245353,37.559566
0,mse,10,0.075,8.319559,29.725594
0,mse,10,0.1,9.511024,25.532429
0,mse,10,0.15,12.96837,18.083752
0,mae,11,0.05,9.345378,25.748526
0,mae,11,0.075,10.820694,22.999695
0,mae,11,0.1,11.587637,21.727192
0,mae,11,0.15,13.073307,18.342453
0,mse,11,0.05,6.207937,37.954704
0,mse,11,0.075,8.616327,30.502457
0,mse,11,0.1,9.934831,27.437344
0,mse,11,0.15,12.433944,20.003384
0,mae,12,0.05,9.889006,25.639843
0,mae,12,0.075,11.131281,22.78639
0,mae,12,0.1,12.157881,21.293159
0,mae,12,0.15,14.073378,17.531425
0,mse,12,0.05,7.131378,37.319805
0,mse,12,0.075,9.127646,29.718147
0,mse,12,0.1,10.912254,25.941864
0,mse,12,0.15,14.153325,18.053911
0,mae,13,0.05,10.452835,25.557293
0,mae,13,0.075,11.067081,22.399542
0,mae,13,0.1,12.068664,20.819891
0,mae,13,0.15,14.280413,17.581562
0,mse,13,0.05,8.163957,36.902809
0,mse,13,0.075,9.167528,29.024605
0,mse,13,0.1,10.458712,25.382343
0,mse,13,0.15,14.295826,18.576115
0,mae,14,0.05,9.957809,26.275848
0,mae,14,0.075,11.105584,21.936958
0,mae,14,0.1,12.00355,20.615536
0,mae,14,0.15,13.651943,17.21962
0,mse,14,0.05,7.58805,38.756126
0,mse,14,0.075,8.980869,27.370228
0,mse,14,0.1,10.673729,24.52747
0,mse,14,0.15,13.125263,17.527382
0,mae,15,0.05,10.856367,26.485748
0,mae,15,0.075,11.661901,23.656918
0,mae,15,0.1,12.071136,22.306459
0,mae,15,0.15,13.375498,19.006014
0,mse,15,0.05,8.491817,39.324265
0,mse,15,0.075,9.829807,32.19342
0,mse,15,0.1,10.433091,29.091486
0,mse,15,0.15,13.022688,21.297476
0,mae,16,0.05,10.620872,26.709459
0,mae,16,0.075,11.152001,24.55608
0,mae,16,0.1,11.386551,23.109764
0,mae,16,0.15,13.032191,19.423874
0,mse,16,0.05,8.266623,40.201134
0,mse,16,0.075,8.964098,34.289772
0,mse,16,0.1,9.205998,31.250027
0,mse,16,0.15,11.79371,22.951103
0,mae,17,0.05,9.569725,27.300379
0,mae,17,0.075,11.168041,24.298645
0,mae,17,0.1,11.603886,22.918705
0,mae,17,0.15,12.324397,19.538738
0,mse,17,0.05,6.85708,43.302708
0,mse,17,0.075,8.899778,34.389324
0,mse,17,0.1,9.550474,31.126263
0,mse,17,0.15,10.729567,23.241161
0,mae,18,0.05,9.758531,26.73579
0,mae,18,0.075,10.700367,23.87686
0,mae,18,0.1,11.229113,22.310522
0,mae,18,0.15,13.364104,18.902597
0,mse,18,0.05,7.115106,41.622318
0,mse,18,0.075,8.474251,34.757126
0,mse,18,0.1,9.379501,30.709673
0,mse,18,0.15,12.545702,22.166172
0,mae,19,0.05,8.456337,26.738815
0,mae,19,0.075,10.413404,23.301935
0,mae,19,0.1,10.666431,21.855427
0,mae,19,0.15,12.608339,18.628735
0,mse,19,0.05,5.504293,41.690994
0,mse,19,0.075,8.262212,32.061462
0,mse,19,0.1,8.496439,28.530041
0,mse,19,0.15,11.278465,21.565243
0,mae,20,0.05,8.695707,26.715328
0,mae,20,0.075,10.27107,23.775267
0,mae,20,0.1,10.602087,22.061718
0,mae,20,0.15,12.33895,18.55294
0,mse,20,0.05,6.146112,40.801521
0,mse,20,0.075,8.484996,32.781212
0,mse,20,0.1,9.090895,28.81374
0,mse,20,0.15,11.568733,20.674992
0,mae,21,0.05,8.929729,26.938639
0,mae,21,0.075,10.250204,23.78706
0,mae,21,0.1,11.250256,22.317085
0,mae,21,0.15,12.640497,18.66708
0,mse,21,0.05,6.393113,42.218124
0,mse,21,0.075,8.5532,33.475662
0,mse,21,0.1,10.22613,29.867161
0,mse,21,0.15,11.995417,21.688511
0,mae,22,0.05,8.179916,27.446182
