batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.572684,20.396955
0,mae,0,0.075,5.263952,19.868202
0,mae,0,0.1,5.762303,19.983055
0,mae,0,0.15,6.315939,20.536533
0,mse,0,0.05,1.738351,23.718166
0,mse,0,0.075,2.242079,22.214058
0,mse,0,0.1,2.571417,22.519344
0,mse,0,0.15,2.910685,23.795349
0,mae,1,0.05,4.572684,20.396955
0,mae,1,0.075,5.263952,19.868202
0,mae,1,0.1,5.762303,19.983055
0,mae,1,0.15,6.315939,20.536533
0,mse,1,0.05,1.738351,23.718166
0,mse,1,0.075,2.242079,22.214058
0,mse,1,0.1,2.571417,22.519344
0,mse,1,0.15,2.910685,23.795349
0,mae,2,0.05,4.572684,20.396955
0,mae,2,0.075,5.263952,19.868202
0,mae,2,0.1,5.762303,19.983055
0,mae,2,0.15,6.315939,20.536533
0,mse,2,0.05,1.738351,23.718166
0,mse,2,0.075,2.242079,22.214058
0,mse,2,0.1,2.571417,22.519344
0,mse,2,0.15,2.910685,23.795349
0,mae,3,0.05,4.572684,20.396955
0,mae,3,0.075,5.263952,19.868202
0,mae,3,0.1,5.762303,19.983055
0,mae,3,0.15,6.315939,20.536533
0,mse,3,0.05,1.738351,23.718166
0,mse,3,0.075,2.242079,22.214058
0,mse,3,0.1,2.571417,22.519344
0,mse,3,0.15,2.910685,23.795349
0,mae,4,0.05,4.572684,20.396955
0,mae,4,0.075,5.263952,19.868202
0,mae,4,0.1,5.762303,19.983055
0,mae,4,0.15,6.315939,20.536533
0,mse,4,0.05,1.738351,23.718166
0,mse,4,0.075,2.242079,22.214058
0,mse,4,0.1,2.571417,22.519344
0,mse,4,0.15,2.910685,23.795349
0,mae,5,0.05,4.572684,20.396955
0,mae,5,0.075,5.263952,19.868202
0,mae,5,0.1,5.762303,19.983055
0,mae,5,0.15,6.315939,20.536533
0,mse,5,0.05,1.738351,23.718166
0,mse,5,0.075,2.242079,22.214058
0,mse,5,0.1,2.571417,22.519344
0,mse,5,0.15,2.910685,23.795349
0,mae,6,0.05,4.572684,20.396955
0,mae,6,0.075,5.263952,19.868202
0,mae,6,0.1,5.762303,19.983055
0,mae,6,0.15,6.315939,20.536533
0,mse,6,0.05,1.738351,23.718166
0,mse,6,0.075,2.242079,22.214058
0,mse,6,0.1,2.571417,22.519344
0,mse,6,0.15,2.910685,23.795349
0,mae,7,0.05,4.572684,20.396955
0,mae,7,0.075,5.263952,19.868202
0,mae,7,0.1,5.762303,19.983055
0,mae,7,0.15,6.315939,20.536533
0,mse,7,0.05,1.738351,23.718166
0,mse,7,0.075,2.242079,22.214058
0,mse,7,0.1,2.571417,22.519344
0,mse,7,0.15,2.910685,23.795349
0,mae,8,0.05,4.572684,20.396955
0,mae,8,0.075,5.263952,19.868202
0,mae,8,0.1,5.762303,19.983055
0,mae,8,0.15,6.315939,20.536533
0,mse,8,0.05,1.738351,23.718166
0,mse,8,0.075,2.242079,22.214058
0,mse,8,0.1,2.571417,22.519344
0,mse,8,0.15,2.910685,23.795349
0,mae,9,0.05,4.572684,20.396955
0,mae,9,0.075,5.263952,19.868202
0,mae,9,0.1,5.762303,19.983055
0,mae,9,0.15,6.315939,20.536533
0,mse,9,0.05,1.738351,23.718166
0,mse,9,0.075,2.242079,22.214058
0,mse,9,0.1,2.571417,22.519344
0,mse,9,0.15,2.910685,23.795349
0,mae,10,0.05,4.572684,20.396955
0,mae,10,0.075,5.263952,19.868202
0,mae,10,0.1,5.762303,19.983055
0,mae,10,0.15,6.315939,20.536533
0,mse,10,0.05,1.738351,23.718166
0,mse,10,0.075,2.242079,22.214058
0,mse,10,0.1,2.571417,22.519344
0,mse,10,0.15,2.910685,23.795349
0,mae,11,0.05,4.572684,20.396955
0,mae,11,0.075,5.263952,19.868202
0,mae,11,0.1,5.762303,19.983055
0,mae,11,0.15,6.315939,20.536533
0,mse,11,0.05,1.738351,23.718166
0,mse,11,0.075,2.242079,22.214058
0,mse,11,0.1,2.571417,22.519344
0,mse,11,0.15,2.910685,23.795349
0,mae,12,0.05,4.572684,20.396955
0,mae,12,0.075,5.263952,19.868202
0,mae,12,0.1,5.762303,19.983055
0,mae,12,0.15,6.315939,20.536533
0,mse,12,0.05,1.738351,23.718166
0,mse,12,0.075,2.242079,22.214058
0,mse,12,0.1,2.571417,22.519344
0,mse,12,0.15,2.910685,23.795349
0,mae,13,0.05,4.572684,20.396955
0,mae,13,0.075,5.263952,19.868202
0,mae,13,0.1,5.762303,19.983055
0,mae,13,0.15,6.315939,20.536533
0,mse,13,0.05,1.738351,23.718166
0,mse,13,0.075,2.242079,22.214058
0,mse,13,0.1,2.571417,22.519344
0,mse,13,0.15,2.910685,23.795349
0,mae,14,0.05,4.572684,20.396955
0,mae,14,0.075,5.263952,19.868202
0,mae,14,0.1,5.762303,19.983055
0,mae,14,0.15,6.315939,20.536533
0,mse,14,0.05,1.738351,23.718166
0,mse,14,0.075,2.242079,22.214058
0,mse,14,0.1,2.571417,22.519344
0,mse,14,0.15,2.910685,23.795349
0,mae,15,0.05,4.572684,20.396955
0,mae,15,0.075,5.263952,19.868202
0,mae,15,0.1,5.762303,19.983055
0,mae,15,0.15,6.315939,20.536533
0,mse,15,0.05,1.738351,23.718166
0,mse,15,0.075,2.242079,22.214058
0,mse,15,0.1,2.571417,22.519344
