batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.295738,29.85804
0,mae,0,0.075,3.45078,28.351831
0,mae,0,0.1,3.800444,27.684837
0,mae,0,0.15,4.948713,26.190086
0,mse,0,0.05,0.429348,49.567162
0,mse,0,0.075,0.893462,45.179497
0,mse,0,0.1,1.028945,43.023071
0,mse,0,0.15,1.755201,39.091599
0,mae,1,0.05,2.124067,30.00465
0,mae,1,0.075,3.543855,28.39452
0,mae,1,0.1,3.979883,27.226322
0,mae,1,0.15,5.246052,25.746399
0,mse,1,0.05,0.340104,49.714642
0,mse,1,0.075,0.977478,45.126244
0,mse,1,0.1,1.150269,41.62656
0,mse,1,0.15,2.008814,37.356644
0,mae,2,0.05,2.200166,30.600792
0,mae,2,0.075,3.151814,28.933586
0,mae,2,0.1,3.456997,28.181465
0,mae,2,0.15,4.34334,26.350773
0,mse,2,0.05,0.383902,51.983936
0,mse,2,0.075,0.721303,47.191021
0,mse,2,0.1,0.861632,44.665272
0,mse,2,0.15,1.335497,39.468758
0,mae,3,0.05,2.211636,30.939491
0,mae,3,0.075,3.0009,29.975136
0,mae,3,0.1,3.334912,29.31246
0,mae,3,0.15,4.398549,27.739193
0,mse,3,0.05,0.404582,52.739586
0,mse,3,0.075,0.679973,49.842808
0,mse,3,0.1,0.814663,47.880112
0,mse,3,0.15,1.333647,43.456825
0,mae,4,0.05,2.407315,30.469151
0,mae,4,0.075,3.554645,29.077045
0,mae,4,0.1,4.115403,28.03651
0,mae,4,0.15,5.314191,26.394819
0,mse,4,0.05,0.489532,51.058533
0,mse,4,0.075,1.041181,46.969654
0,mse,4,0.1,1.314379,43.715504
0,mse,4,0.15,2.010492,38.923496
0,mae,5,0.05,2.130916,30.461586
0,mae,5,0.075,3.168746,29.487823
0,mae,5,0.1,3.493529,28.306658
0,mae,5,0.15,5.582181,25.23114
0,mse,5,0.05,0.357047,50.828518
0,mse,5,0.075,0.775947,47.611092
0,mse,5,0.1,0.934234,44.114212
0,mse,5,0.15,2.153211,36.121284
0,mae,6,0.05,2.808355,30.241837
0,mae,6,0.075,3.410728,29.084274
0,mae,6,0.1,4.030243,27.801336
0,mae,6,0.15,5.90129,26.067448
0,mse,6,0.05,0.639155,50.795227
0,mse,6,0.075,0.907387,47.316128
0,mse,6,0.1,1.237554,43.429031
0,mse,6,0.15,2.502731,38.758923
0,mae,7,0.05,2.57748,30.086748
0,mae,7,0.075,3.206341,29.107964
0,mae,7,0.1,3.919243,28.589527
0,mae,7,0.15,5.113982,27.055492
0,mse,7,0.05,0.568857,50.410049
0,mse,7,0.075,0.840399,47.427341
0,mse,7,0.1,1.133657,45.653946
0,mse,7,0.15,1.808944,41.243927
0,mae,8,0.05,2.391375,29.903873
0,mae,8,0.075,3.32932,28.582882
0,mae,8,0.1,3.572926,27.881172
0,mae,8,0.15,4.646473,26.605206
0,mse,8,0.05,0.461135,49.655731
0,mse,8,0.075,0.820678,45.76878
0,mse,8,0.1,0.932963,43.782017
0,mse,8,0.15,1.549703,40.219688
0,mae,9,0.05,2.144796,29.949436
0,mae,9,0.075,3.372987,28.549791
0,mae,9,0.1,3.856067,27.652433
0,mae,9,0.15,4.770694,26.523125
0,mse,9,0.05,0.33884,49.898544
0,mse,9,0.075,0.822593,45.601936
0,mse,9,0.1,1.062528,43.254196
0,mse,9,0.15,1.661915,39.817924
0,mae,10,0.05,2.147935,30.93932
0,mae,10,0.075,3.177113,29.290756
0,mae,10,0.1,3.54702,28.685234
0,mae,10,0.15,4.47731,27.06189
0,mse,10,0.05,0.322004,52.366043
0,mse,10,0.075,0.701333,47.256401
0,mse,10,0.1,0.884185,45.382404
0,mse,10,0.15,1.320245,40.856277
0,mae,11,0.05,2.205062,30.802628
0,mae,11,0.075,3.106629,29.943054
0,mae,11,0.1,3.54024,29.218121
0,mae,11,0.15,4.666231,27.534267
0,mse,11,0.05,0.376444,51.642452
0,mse,11,0.075,0.689372,49.412163
0,mse,11,0.1,0.863045,46.99868
