batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.495625,27.299774
0,mae,0,0.075,8.589463,25.628109
0,mae,0,0.1,9.954747,24.586126
0,mae,0,0.15,11.135699,22.567276
0,mse,0,0.05,3.671649,42.603745
0,mse,0,0.075,6.281973,38.42099
0,mse,0,0.1,8.018544,35.404522
0,mse,0,0.15,9.890306,29.973961
0,mae,1,0.05,6.61616,27.405455
0,mae,1,0.075,8.781869,26.00614
0,mae,1,0.1,9.315758,25.457359
0,mae,1,0.15,10.800407,23.343582
0,mse,1,0.05,3.908048,43.022346
0,mse,1,0.075,6.503229,39.211029
0,mse,1,0.1,7.300035,37.903576
0,mse,1,0.15,10.087989,32.844391
0,mae,2,0.05,7.156404,26.700495
0,mae,2,0.075,9.147039,25.251085
0,mae,2,0.1,9.902072,24.550922
0,mae,2,0.15,11.780016,22.034483
0,mse,2,0.05,4.256082,40.662018
0,mse,2,0.075,6.825176,37.112984
0,mse,2,0.1,7.864227,35.33017
0,mse,2,0.15,11.002195,29.153311
0,mae,3,0.05,7.693547,26.643402
0,mae,3,0.075,9.150029,24.88657
0,mae,3,0.1,9.579876,23.795145
0,mae,3,0.15,11.48346,21.384335
0,mse,3,0.05,4.838493,40.478241
0,mse,3,0.075,6.767697,35.805611
0,mse,3,0.1,7.375073,33.397308
0,mse,3,0.15,10.438755,27.553387
0,mae,4,0.05,5.995215,27.293159
0,mae,4,0.075,7.901432,25.457218
0,mae,4,0.1,8.977476,24.482014
0,mae,4,0.15,10.941875,22.250523
0,mse,4,0.05,2.862607,42.087639
0,mse,4,0.075,4.83464,37.713257
0,mse,4,0.1,6.091744,35.180153
0,mse,4,0.15,8.791269,30.022083
0,mae,5,0.05,5.68647,27.874214
0,mae,5,0.075,7.805689,26.078232
0,mae,5,0.1,8.47687,24.620506
0,mae,5,0.15,10.639009,21.98292
0,mse,5,0.05,2.351009,43.254425
0,mse,5,0.075,4.622636,38.525131
0,mse,5,0.1,5.564074,34.784065
0,mse,5,0.15,8.455137,28.57966
0,mae,6,0.05,5.892566,27.693447
0,mae,6,0.075,7.797953,25.455986
0,mae,6,0.1,8.606335,24.255396
0,mae,6,0.15,11.237339,20.852276
0,mse,6,0.05,2.999807,42.846794
0,mse,6,0.075,4.746534,36.894577
0,mse,6,0.1,5.594489,33.87571
