batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.434046,28.428097
0,mae,0,0.075,11.955145,26.122568
0,mae,0,0.1,13.660635,25.300484
0,mae,0,0.15,15.428688,24.160172
0,mse,0,0.05,6.723247,45.081928
0,mse,0,0.075,11.14071,38.953606
0,mse,0,0.1,13.994017,36.664139
0,mse,0,0.15,17.687027,33.720066
0,mae,1,0.05,10.7248,26.985268
0,mae,1,0.075,13.103771,25.283566
0,mae,1,0.1,14.624437,24.663612
0,mae,1,0.15,16.898144,23.722435
0,mse,1,0.05,8.431667,41.767273
0,mse,1,0.075,12.732742,37.149406
0,mse,1,0.1,15.695465,35.388763
0,mse,1,0.15,20.324852,32.952507
0,mae,2,0.05,11.145281,25.661945
0,mae,2,0.075,13.843433,24.727604
0,mae,2,0.1,15.289566,24.018854
0,mae,2,0.15,17.496746,22.853527
0,mse,2,0.05,8.99452,38.509014
0,mse,2,0.075,13.618132,36.203728
0,mse,2,0.1,16.543941,34.566841
0,mse,2,0.15,21.00555,31.660648
0,mae,3,0.05,10.765262,25.72879
0,mae,3,0.075,13.07898,24.572592
0,mae,3,0.1,14.38768,24.083504
0,mae,3,0.15,17.09882,22.838812
0,mse,3,0.05,8.100966,37.93647
0,mse,3,0.075,11.892954,35.882568
0,mse,3,0.1,14.363572,34.906113
0,mse,3,0.15,19.840204,31.883127
0,mae,4,0.05,10.143063,27.155304
0,mae,4,0.075,12.343262,25.890839
0,mae,4,0.1,13.751416,25.162518
0,mae,4,0.15,15.790832,24.025761
0,mse,4,0.05,7.149789,41.297806
0,mse,4,0.075,10.720675,38.309448
0,mse,4,0.1,13.017548,36.449974
0,mse,4,0.15,16.890713,34.280899
0,mae,5,0.05,10.510628,27.552502
0,mae,5,0.075,12.75672,26.083721
0,mae,5,0.1,13.848408,25.471352
0,mae,5,0.15,16.123966,24.318535
0,mse,5,0.05,7.584089,42.420624
0,mse,5,0.075,11.210876,38.492622
0,mse,5,0.1,13.093939,37.305515
0,mse,5,0.15,17.570126,34.869114
0,mae,6,0.05,11.037702,27.775803
0,mae,6,0.075,13.721968,25.997929
0,mae,6,0.1,15.119425,25.440388
0,mae,6,0.15,17.323814,23.94676
0,mse,6,0.05,8.387031,43.394131
0,mse,6,0.075,12.732835,39.2705
0,mse,6,0.1,15.282265,38.177658
0,mse,6,0.15,20.026768,34.504333
0,mae,7,0.05,10.776748,27.450298
0,mae,7,0.075,13.352985,25.437252
0,mae,7,0.1,14.678144,24.614956
0,mae,7,0.15,17.036348,23.316977
0,mse,7,0.05,8.059997,42.891727
0,mse,7,0.075,12.28429,38.074921
0,mse,7,0.1,14.6763,36.019562
0,mse,7,0.15,19.382786,33.058575
0,mae,8,0.05,11.425278,25.846386
0,mae,8,0.075,13.488118,24.181126
0,mae,8,0.1,14.801871,23.52943
0,mae,8,0.15,17.109587,22.033913
0,mse,8,0.05,8.498283,37.983185
0,mse,8,0.075,12.20652,33.938972
0,mse,8,0.1,14.75425,32.676079
0,mse,8,0.15,19.818289,29.403143
0,mae,9,0.05,11.642372,25.536697
0,mae,9,0.075,14.061407,23.524239
