batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.019206,27.256811
0,mae,0,0.075,7.613224,25.028938
0,mae,0,0.1,8.269335,24.071117
0,mae,0,0.15,9.40867,21.721424
0,mse,0,0.05,3.270504,41.501877
0,mse,0,0.075,5.064437,35.582916
0,mse,0,0.1,5.522675,32.917255
0,mse,0,0.15,7.0196,27.090233
0,mae,1,0.05,5.147629,27.818062
0,mae,1,0.075,6.159342,25.836349
0,mae,1,0.1,7.617762,24.567802
0,mae,1,0.15,9.127111,22.299623
0,mse,1,0.05,2.398664,42.803585
0,mse,1,0.075,3.298851,37.233097
0,mse,1,0.1,4.934127,33.964314
0,mse,1,0.15,6.677065,28.260839
0,mae,2,0.05,4.983964,28.212429
0,mae,2,0.075,6.053738,26.215481
0,mae,2,0.1,6.838121,25.285774
0,mae,2,0.15,8.467327,22.619551
0,mse,2,0.05,2.207331,43.87616
0,mse,2,0.075,3.089775,38.346924
0,mse,2,0.1,3.748493,35.935139
0,mse,2,0.15,5.514194,29.238991
0,mae,3,0.05,4.227504,29.301004
0,mae,3,0.075,5.145597,26.932169
0,mae,3,0.1,6.284474,26.009701
0,mae,3,0.15,7.72621,23.302681
0,mse,3,0.05,1.468213,46.475227
0,mse,3,0.075,2.07333,40.172531
0,mse,3,0.1,3.016804,37.43541
0,mse,3,0.15,4.56504,31.196043
0,mae,4,0.05,3.847118,29.478695
0,mae,4,0.075,5.635499,27.318779
0,mae,4,0.1,6.373331,26.579073
0,mae,4,0.15,7.588307,24.150925
0,mse,4,0.05,1.156832,47.547554
0,mse,4,0.075,2.494119,41.205536
0,mse,4,0.1,3.200747,39.016502
0,mse,4,0.15,4.240658,32.825848
0,mae,5,0.05,4.097747,29.366995
0,mae,5,0.075,5.674249,27.538389
0,mae,5,0.1,6.460078,26.441399
0,mae,5,0.15,7.849895,23.970612
0,mse,5,0.05,1.345119,47.204628
0,mse,5,0.075,2.511287,42.2626
0,mse,5,0.1,3.206959,39.45882
0,mse,5,0.15,4.55733,32.934559
0,mae,6,0.05,4.615885,28.768051
0,mae,6,0.075,5.734074,27.121275
0,mae,6,0.1,6.458673,26.275246
0,mae,6,0.15,7.925155,23.169987
0,mse,6,0.05,1.720685,45.302849
0,mse,6,0.075,2.3697,40.727974
0,mse,6,0.1,3.006736,38.415546
0,mse,6,0.15,4.332014,30.199348
0,mae,7,0.05,5.257834,27.734459
0,mae,7,0.075,5.924968,26.131596
0,mae,7,0.1,6.558988,25.285244
0,mae,7,0.15,7.863665,22.80822
0,mse,7,0.05,2.44664,42.818707
0,mse,7,0.075,2.88978,38.361866
0,mse,7,0.1,3.293171,36.134659
0,mse,7,0.15,4.44593,29.879868
0,mae,8,0.05,5.199284,27.979017
0,mae,8,0.075,6.318183,25.824844
0,mae,8,0.1,7.184776,24.806355
0,mae,8,0.15,8.597589,22.382019
0,mse,8,0.05,2.426515,43.282314
0,mse,8,0.075,3.234654,37.531204
0,mse,8,0.1,3.915722,34.825951
0,mse,8,0.15,5.398362,28.716045
0,mae,9,0.05,5.24535,27.660797
0,mae,9,0.075,6.645065,25.847521
0,mae,9,0.1,7.435934,24.646132
0,mae,9,0.15,8.872804,22.281933
0,mse,9,0.05,2.539983,42.107201
0,mse,9,0.075,3.652019,36.947334
0,mse,9,0.1,4.349003,33.887001
0,mse,9,0.15,5.918329,28.652691
0,mae,10,0.05,5.154506,27.63302
0,mae,10,0.075,6.879691,25.574663
0,mae,10,0.1,7.040035,24.398056
0,mae,10,0.15,9.199656,21.88533
0,mse,10,0.05,2.170882,41.449722
0,mse,10,0.075,3.622324,35.729683
0,mse,10,0.1,3.710398,32.737701
0,mse,10,0.15,6.372087,26.959307
0,mae,11,0.05,5.515567,27.823175
0,mae,11,0.075,6.10831,26.338442
0,mae,11,0.1,6.452251,25.383165
0,mae,11,0.15,8.72398,22.085472
0,mse,11,0.05,2.493757,41.638889
0,mse,11,0.075,2.827857,37.750984
0,mse,11,0.1,3.142711,35.463078
0,mse,11,0.15,5.751699,27.296515
0,mae,12,0.05,4.718577,28.038616
0,mae,12,0.075,5.724964,25.96714
0,mae,12,0.1,6.627584,24.68187
0,mae,12,0.15,8.611185,21.680576
0,mse,12,0.05,1.821725,42.375778
0,mse,12,0.075,2.705152,37.373219
0,mse,12,0.1,3.496315,34.083401
0,mse,12,0.15,5.686753,27.268497
0,mae,13,0.05,4.375975,28.007395
0,mae,13,0.075,6.097556,25.752136
0,mae,13,0.1,6.521654,25.179924
0,mae,13,0.15,8.752207,21.985802
0,mse,13,0.05,1.495713,42.242992
0,mse,13,0.075,2.985617,36.404381
0,mse,13,0.1,3.396347,34.92926
0,mse,13,0.15,5.866043,27.322735
0,mae,14,0.05,4.394915,28.298691
0,mae,14,0.075,5.430639,26.63586
0,mae,14,0.1,6.916831,25.697428
0,mae,14,0.15,8.56534,23.021664
0,mse,14,0.05,1.620962,43.36264
0,mse,14,0.075,2.433188,38.915684
0,mse,14,0.1,3.639679,36.619453
0,mse,14,0.15,5.45895,29.700466
0,mae,15,0.05,4.601102,28.313942
0,mae,15,0.075,6.058149,26.982063
0,mae,15,0.1,6.754157,25.764324
0,mae,15,0.15,8.766307,22.833948
0,mse,15,0.05,1.665709,44.00412
0,mse,15,0.075,2.813414,40.461342
0,mse,15,0.1,3.29672,36.912117
0,mse,15,0.15,5.365944,29.220541
0,mae,16,0.05,4.920011,28.61574
0,mae,16,0.075,6.492085,26.201519
0,mae,16,0.1,6.926649,24.779884
