batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.504745,27.808044
0,mae,0,0.075,6.818574,26.03186
0,mae,0,0.1,8.087694,24.785223
0,mae,0,0.15,9.671579,23.282635
0,mse,0,0.05,2.708411,42.871651
0,mse,0,0.075,4.188901,38.083229
0,mse,0,0.1,5.581528,34.632118
0,mse,0,0.15,7.532158,30.991554
0,mae,1,0.05,5.633116,27.635525
0,mae,1,0.075,7.186017,25.833006
0,mae,1,0.1,8.234631,24.863195
0,mae,1,0.15,10.126034,22.759777
0,mse,1,0.05,2.902108,42.609989
0,mse,1,0.075,4.593226,37.693962
0,mse,1,0.1,5.773364,34.842171
0,mse,1,0.15,7.886493,29.525841
0,mae,2,0.05,5.736947,27.503103
0,mae,2,0.075,7.282971,26.002651
0,mae,2,0.1,8.283867,25.199043
0,mae,2,0.15,10.162729,22.672316
0,mse,2,0.05,3.205644,41.903801
0,mse,2,0.075,4.640922,38.177711
0,mse,2,0.1,5.872739,36.364643
0,mse,2,0.15,8.078034,29.690245
0,mae,3,0.05,5.508195,27.492392
0,mae,3,0.075,7.003332,25.648609
0,mae,3,0.1,8.178061,24.564629
0,mae,3,0.15,10.031384,21.94836
0,mse,3,0.05,2.889972,41.673454
0,mse,3,0.075,4.116106,36.820869
0,mse,3,0.1,5.260131,34.126434
0,mse,3,0.15,7.707537,28.199608
0,mae,4,0.05,5.350863,27.088768
0,mae,4,0.075,7.024793,24.728498
0,mae,4,0.1,7.932355,23.839687
0,mae,4,0.15,9.521115,21.638805
0,mse,4,0.05,2.450726,40.523479
0,mse,4,0.075,4.069983,34.195229
0,mse,4,0.1,4.904462,32.147728
0,mse,4,0.15,6.919254,27.371883
0,mae,5,0.05,5.371537,27.309128
0,mae,5,0.075,6.870632,25.446571
0,mae,5,0.1,7.721489,24.208405
0,mae,5,0.15,9.780773,22.233925
0,mse,5,0.05,2.544858,41.847046
0,mse,5,0.075,3.987688,36.467354
0,mse,5,0.1,4.712289,33.25127
0,mse,5,0.15,7.030305,28.450623
0,mae,6,0.05,4.363054,27.635578
0,mae,6,0.075,6.015277,25.660849
0,mae,6,0.1,7.045118,24.511303
0,mae,6,0.15,9.454251,22.170984
0,mse,6,0.05,1.494161,42.349571
0,mse,6,0.075,2.789393,37.026085
0,mse,6,0.1,3.884655,34.449856
0,mse,6,0.15,6.676257,28.380692
0,mae,7,0.05,4.846311,26.463671
0,mae,7,0.075,6.952863,24.422586
0,mae,7,0.1,8.644594,23.035362
0,mae,7,0.15,10.801625,21.051685
0,mse,7,0.05,1.713025,39.242622
0,mse,7,0.075,3.643336,33.733337
0,mse,7,0.1,5.6062,30.230925
0,mse,7,0.15,8.303822,25.720398
0,mae,8,0.05,4.945762,26.511972
0,mae,8,0.075,7.145214,24.551481
0,mae,8,0.1,7.898002,23.467739
0,mae,8,0.15,10.268365,20.642006
0,mse,8,0.05,1.826001,39.101265
0,mse,8,0.075,3.794472,34.575787
0,mse,8,0.1,4.512434,31.391037
0,mse,8,0.15,7.633806,25.155979
0,mae,9,0.05,5.107251,26.507942
0,mae,9,0.075,6.652537,24.720226
0,mae,9,0.1,7.827961,23.059273
0,mae,9,0.15,10.167298,20.849831
0,mse,9,0.05,2.028238,39.218178
0,mse,9,0.075,3.378529,34.367233
0,mse,9,0.1,4.455437,30.262379
0,mse,9,0.15,7.258835,25.268833
0,mae,10,0.05,6.27768,26.106884
0,mae,10,0.075,8.069556,24.484882
0,mae,10,0.1,9.231916,23.182514
0,mae,10,0.15,11.673006,21.080276
0,mse,10,0.05,3.070569,37.757355
0,mse,10,0.075,4.690812,33.381302
0,mse,10,0.1,6.131056,30.191496
0,mse,10,0.15,9.428818,25.796009
0,mae,11,0.05,6.522456,26.027784
0,mae,11,0.075,8.308518,24.392567
0,mae,11,0.1,9.812424,23.205978
0,mae,11,0.15,11.733316,20.393555
0,mse,11,0.05,3.281855,37.533733
0,mse,11,0.075,5.15719,33.317097
0,mse,11,0.1,6.818808,30.675617
0,mse,11,0.15,9.338022,24.269594
0,mae,12,0.05,6.010745,26.480375
0,mae,12,0.075,7.942672,24.403847
0,mae,12,0.1,9.005506,23.122288
0,mae,12,0.15,11.143735,20.702206
0,mse,12,0.05,2.870138,39.216091
0,mse,12,0.075,4.796921,33.980804
0,mse,12,0.1,6.108952,31.129524
0,mse,12,0.15,8.834998,25.176121
0,mae,13,0.05,5.80715,26.453678
0,mae,13,0.075,7.367398,24.827419
0,mae,13,0.1,8.737916,23.539825
0,mae,13,0.15,11.052117,20.349836
0,mse,13,0.05,2.73009,38.424755
0,mse,13,0.075,4.159141,34.314011
