batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.380754,27.762474
0,mae,0,0.075,4.918093,26.872871
0,mae,0,0.1,5.26071,26.287632
0,mae,0,0.15,5.720315,24.885201
0,mse,0,0.05,1.885451,42.64888
0,mse,0,0.075,2.204538,40.329784
0,mse,0,0.1,2.378953,38.550713
0,mse,0,0.15,2.690359,35.170357
0,mae,1,0.05,3.990309,27.931934
0,mae,1,0.075,4.965581,26.749928
0,mae,1,0.1,5.750973,25.69059
0,mae,1,0.15,6.852548,24.188385
0,mse,1,0.05,1.450835,43.114601
0,mse,1,0.075,2.243224,39.893227
0,mse,1,0.1,2.936147,37.458771
0,mse,1,0.15,3.852918,33.873959
0,mae,2,0.05,3.984876,27.842157
0,mae,2,0.075,4.613315,26.626854
0,mae,2,0.1,5.479687,25.77072
0,mae,2,0.15,6.933232,23.866552
0,mse,2,0.05,1.521118,42.704632
0,mse,2,0.075,1.937239,39.571922
0,mse,2,0.1,2.653335,37.333229
0,mse,2,0.15,4.014474,32.582565
0,mae,3,0.05,4.591253,28.21158
0,mae,3,0.075,5.050627,26.904799
0,mae,3,0.1,5.42618,26.080664
0,mae,3,0.15,6.357533,24.712618
0,mse,3,0.05,1.932624,44.016296
0,mse,3,0.075,2.155542,40.657467
0,mse,3,0.1,2.411303,38.63205
0,mse,3,0.15,3.171045,34.892082
0,mae,4,0.05,4.368178,28.347404
0,mae,4,0.075,4.88994,27.133663
0,mae,4,0.1,5.195987,26.306417
0,mae,4,0.15,6.729416,24.241503
0,mse,4,0.05,1.789295,44.162148
0,mse,4,0.075,1.97665,40.813202
0,mse,4,0.1,2.172801,38.622646
0,mse,4,0.15,3.753475,33.85363
0,mae,5,0.05,4.704781,27.848011
0,mae,5,0.075,5.479322,26.229418
0,mae,5,0.1,5.914622,25.60257
0,mae,5,0.15,6.962399,23.37277
0,mse,5,0.05,1.962453,42.534309
0,mse,5,0.075,2.58145,38.44434
0,mse,5,0.1,2.960326,36.68832
0,mse,5,0.15,3.947392,31.197979
0,mae,6,0.05,4.073588,27.745102
0,mae,6,0.075,4.913958,26.399853
