batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.077983,26.178398
0,mae,0,0.075,10.828739,22.882465
0,mae,0,0.1,12.102683,21.175217
0,mae,0,0.15,14.963276,16.807364
0,mse,0,0.05,5.795106,39.058548
0,mse,0,0.075,8.205626,29.73106
0,mse,0,0.1,10.000086,25.746471
0,mse,0,0.15,14.590633,16.650793
0,mae,1,0.05,9.581165,25.756865
0,mae,1,0.075,11.463457,23.439516
0,mae,1,0.1,12.085758,21.728287
0,mae,1,0.15,13.66075,18.037079
0,mse,1,0.05,6.445594,37.444572
0,mse,1,0.075,8.695187,31.019985
0,mse,1,0.1,9.564748,26.912231
0,mse,1,0.15,12.341524,18.966335
0,mae,2,0.05,8.476732,26.004778
0,mae,2,0.075,10.344221,23.72636
0,mae,2,0.1,10.635782,21.874273
0,mae,2,0.15,12.716053,17.9755
0,mse,2,0.05,5.25847,37.819572
0,mse,2,0.075,7.386382,31.887959
0,mse,2,0.1,7.761953,27.573963
0,mse,2,0.15,10.627321,18.65741
0,mae,3,0.05,8.839615,26.332756
0,mae,3,0.075,11.009514,23.322432
0,mae,3,0.1,11.991827,21.140705
0,mae,3,0.15,12.735652,17.778074
0,mse,3,0.05,5.594394,39.580009
0,mse,3,0.075,8.037452,31.971277
0,mse,3,0.1,9.393721,26.610357
0,mse,3,0.15,10.496077,19.040527
0,mae,4,0.05,8.689159,26.057096
0,mae,4,0.075,10.731658,23.309622
0,mae,4,0.1,11.556906,21.470249
0,mae,4,0.15,13.267738,17.544205
0,mse,4,0.05,5.684652,38.512817
0,mse,4,0.075,8.050287,31.225956
0,mse,4,0.1,8.992634,27.037592
0,mse,4,0.15,11.680439,18.362701
0,mae,5,0.05,7.809239,26.907955
0,mae,5,0.075,10.226843,23.619801
0,mae,5,0.1,11.080732,22.017918
0,mae,5,0.15,12.966875,18.357014
0,mse,5,0.05,4.729342,41.313759
0,mse,5,0.075,7.685022,32.489044
0,mse,5,0.1,8.917521,28.375908
0,mse,5,0.15,11.433941,20.117029
0,mae,6,0.05,8.604952,26.31172
0,mae,6,0.075,10.127454,22.675579
0,mae,6,0.1,11.21069,21.227558
0,mae,6,0.15,13.323315,17.708784
0,mse,6,0.05,5.498607,38.574654
0,mse,6,0.075,7.159835,28.786793
0,mse,6,0.1,8.497555,25.78846
0,mse,6,0.15,11.674491,18.281107
0,mae,7,0.05,8.072002,25.467384
0,mae,7,0.075,9.735625,23.153223
0,mae,7,0.1,10.475739,21.858862
0,mae,7,0.15,12.930964,18.384705
0,mse,7,0.05,4.768886,35.811966
0,mse,7,0.075,6.448425,29.778656
0,mse,7,0.1,7.466392,26.547529
0,mse,7,0.15,10.770122,19.260159
0,mae,8,0.05,8.219053,26.643585
0,mae,8,0.075,10.172039,22.790737
0,mae,8,0.1,11.155737,21.200497
0,mae,8,0.15,12.917427,17.638025
0,mse,8,0.05,5.1687,38.821411
0,mse,8,0.075,7.616071,28.984533
0,mse,8,0.1,8.683022,25.358196
0,mse,8,0.15,11.214622,18.097265
0,mae,9,0.05,8.754524,25.882015
0,mae,9,0.075,10.241419,23.556435
0,mae,9,0.1,10.972967,22.184652
0,mae,9,0.15,12.464428,18.545158
0,mse,9,0.05,5.983297,37.321907
0,mse,9,0.075,7.658884,31.382399
0,mse,9,0.1,8.704548,28.148071
0,mse,9,0.15,10.729798,20.329077
0,mae,10,0.05,8.79963,25.162884
0,mae,10,0.075,10.358825,22.235525
0,mae,10,0.1,11.463638,20.81517
0,mae,10,0.15,13.534328,17.368107
0,mse,10,0.05,6.091877,34.830173
0,mse,10,0.075,8.057552,27.85223
0,mse,10,0.1,9.41908,24.503651
0,mse,10,0.15,12.758926,17.901527
0,mae,11,0.05,9.412689,24.727066
0,mae,11,0.075,11.191451,22.545444
0,mae,11,0.1,12.215616,20.629025
0,mae,11,0.15,13.742899,17.349144
0,mse,11,0.05,7.023838,34.560509
0,mse,11,0.075,9.436638,29.031107
0,mse,11,0.1,10.542001,24.349577
0,mse,11,0.15,12.804514,17.663666
0,mae,12,0.05,10.619267,24.226616
0,mae,12,0.075,11.522885,21.402927
0,mae,12,0.1,12.575809,19.695011
0,mae,12,0.15,14.229612,16.381092
0,mse,12,0.05,8.636352,33.000626
0,mse,12,0.075,9.725639,26.823704
0,mse,12,0.1,11.451484,23.250412
0,mse,12,0.15,14.301575,16.583809
0,mae,13,0.05,10.596428,24.660803
0,mae,13,0.075,11.876834,21.315557
0,mae,13,0.1,12.72777,19.745876
0,mae,13,0.15,14.320509,16.547075
0,mse,13,0.05,8.506033,33.938698
0,mse,13,0.075,10.344408,25.867466
