batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.05064,27.266422
0,mae,0,0.075,7.354932,27.334642
0,mae,0,0.1,8.705302,26.437553
0,mae,0,0.15,10.006293,25.28171
0,mse,0,0.05,5.471394,43.963474
0,mse,0,0.075,5.667862,44.19149
0,mse,0,0.1,7.354239,41.708389
0,mse,0,0.15,9.204701,38.939278
0,mae,1,0.05,7.10705,27.354454
0,mae,1,0.075,7.40221,27.261036
0,mae,1,0.1,8.212336,25.325207
0,mae,1,0.15,9.265069,24.029137
0,mse,1,0.05,5.669834,43.696541
0,mse,1,0.075,5.97557,43.460442
0,mse,1,0.1,6.805499,38.248215
0,mse,1,0.15,7.758017,35.250229
0,mae,2,0.05,6.712644,27.789566
0,mae,2,0.075,7.105159,27.747408
0,mae,2,0.1,8.180357,26.261042
0,mae,2,0.15,9.04133,24.591736
0,mse,2,0.05,4.892246,45.747402
0,mse,2,0.075,5.124722,45.562263
0,mse,2,0.1,6.300999,41.282555
0,mse,2,0.15,6.748673,37.117538
0,mae,3,0.05,6.728808,28.121063
0,mae,3,0.075,6.899368,28.376659
0,mae,3,0.1,7.758573,27.201038
0,mae,3,0.15,8.951648,25.541264
0,mse,3,0.05,5.29016,46.289436
0,mse,3,0.075,5.516208,47.278545
0,mse,3,0.1,6.130167,44.051445
0,mse,3,0.15,7.109161,39.466019
0,mae,4,0.05,6.249063,27.284389
0,mae,4,0.075,6.660785,27.668276
0,mae,4,0.1,9.021481,26.737476
0,mae,4,0.15,9.979222,25.717819
0,mse,4,0.05,4.545538,43.620872
0,mse,4,0.075,4.753475,44.982613
0,mse,4,0.1,7.240907,42.919476
0,mse,4,0.15,8.475904,39.553238
0,mae,5,0.05,6.303973,28.230732
0,mae,5,0.075,6.583417,28.188717
0,mae,5,0.1,8.360566,27.147598
0,mae,5,0.15,9.749032,25.500509
0,mse,5,0.05,4.784041,45.674736
0,mse,5,0.075,4.929334,45.730976
0,mse,5,0.1,6.54869,42.790737
0,mse,5,0.15,7.91541,39.076939
0,mae,6,0.05,7.192162,28.776615
0,mae,6,0.075,7.361044,28.884785
0,mae,6,0.1,8.278989,27.116253
0,mae,6,0.15,9.296867,25.516552
0,mse,6,0.05,5.861928,47.780029
0,mse,6,0.075,5.949673,48.267452
0,mse,6,0.1,6.926289,43.110016
0,mse,6,0.15,7.4404,38.639244
0,mae,7,0.05,7.422362,27.841099
0,mae,7,0.075,7.715689,27.824146
0,mae,7,0.1,9.495616,26.340687
0,mae,7,0.15,10.508012,24.664639
0,mse,7,0.05,5.932838,45.522469
0,mse,7,0.075,6.05746,45.629742
0,mse,7,0.1,7.923197,41.545761
0,mse,7,0.15,8.712464,37.921753
0,mae,8,0.05,7.573803,27.136898
0,mae,8,0.075,7.940627,27.100761
0,mae,8,0.1,9.571918,25.524933
0,mae,8,0.15,10.264345,23.864445
0,mse,8,0.05,6.422616,43.021812
0,mse,8,0.075,6.751174,42.801895
0,mse,8,0.1,8.400237,38.954437
0,mse,8,0.15,9.225632,34.841293
0,mae,9,0.05,7.27145,28.071783
0,mae,9,0.075,7.868818,28.259859
0,mae,9,0.1,8.393051,26.257217
0,mae,9,0.15,9.509386,24.207066
0,mse,9,0.05,5.708704,45.434429
0,mse,9,0.075,6.194873,45.972816
0,mse,9,0.1,6.580215,39.960968
0,mse,9,0.15,7.813838,34.862831
0,mae,10,0.05,7.024179,27.600901
0,mae,10,0.075,7.79148,27.427324
0,mae,10,0.1,8.913668,25.524542
0,mae,10,0.15,9.923233,24.133097
0,mse,10,0.05,5.722986,43.867435
0,mse,10,0.075,6.296294,43.576462
0,mse,10,0.1,7.410927,38.369774
0,mse,10,0.15,8.507496,34.835785
0,mae,11,0.05,7.600218,28.316914
0,mae,11,0.075,8.166683,28.393839
0,mae,11,0.1,8.958386,26.494986
0,mae,11,0.15,9.761152,24.543583
0,mse,11,0.05,6.376533,46.763885
0,mse,11,0.075,6.90265,47.026031
0,mse,11,0.1,7.471507,41.520882
0,mse,11,0.15,8.226274,35.940273
0,mae,12,0.05,7.253138,28.343719
0,mae,12,0.075,7.705684,28.222525
0,mae,12,0.1,8.272472,26.347727
0,mae,12,0.15,9.647999,24.497158
0,mse,12,0.05,6.149426,46.552372
0,mse,12,0.075,6.569308,46.212601
0,mse,12,0.1,6.619455,40.732204
0,mse,12,0.15,7.895837,35.641922
0,mae,13,0.05,7.507654,28.036352
0,mae,13,0.075,8.011736,28.008884
0,mae,13,0.1,8.399995,26.03207
0,mae,13,0.15,9.355202,24.912468
0,mse,13,0.05,6.269974,45.494957
0,mse,13,0.075,6.483323,45.402981
0,mse,13,0.1,6.535571,40.295639
0,mse,13,0.15,7.52318,37.073158
0,mae,14,0.05,6.785116,27.933342
0,mae,14,0.075,7.32316,28.016174
0,mae,14,0.1,8.346197,26.287712
0,mae,14,0.15,9.33824,24.657728
0,mse,14,0.05,5.400893,44.750557
0,mse,14,0.075,5.821573,45.03236
0,mse,14,0.1,6.833006,40.669403
0,mse,14,0.15,7.057476,36.669094
0,mae,15,0.05,6.258162,28.528736
0,mae,15,0.075,6.26385,28.525473
0,mae,15,0.1,7.087713,26.240299
0,mae,15,0.15,8.553941,25.530508
0,mse,15,0.05,4.725869,46.454849
0,mse,15,0.075,4.744476,46.542252
0,mse,15,0.1,5.04393,40.334404
0,mse,15,0.15,6.267311,38.722919
0,mae,16,0.05,6.36971,28.188496
0,mae,16,0.075,6.747413,28.333456
0,mae,16,0.1,7.011881,27.282131
0,mae,16,0.15,7.611816,25.915588
0,mse,16,0.05,4.786613,46.424507
0,mse,16,0.075,4.903131,46.978573
0,mse,16,0.1,4.720436,44.01865
0,mse,16,0.15,4.782984,40.791294
0,mae,17,0.05,5.888233,27.77668
0,mae,17,0.075,6.319613,27.863628
0,mae,17,0.1,7.164236,26.641943
0,mae,17,0.15,7.946998,25.114368
0,mse,17,0.05,3.800401,44.255074
0,mse,17,0.075,4.138232,44.686554
0,mse,17,0.1,4.65505,42.099346
0,mse,17,0.15,5.080693,38.236694
0,mae,18,0.05,6.976394,28.21637
0,mae,18,0.075,7.363973,28.351154
0,mae,18,0.1,8.321931,26.776894
0,mae,18,0.15,9.214199,26.06481
0,mse,18,0.05,5.663205,46.778633
0,mse,18,0.075,6.133656,47.284828
0,mse,18,0.1,6.54591,42.576332
0,mse,18,0.15,7.016652,40.938667
0,mae,19,0.05,7.067286,29.105042
0,mae,19,0.075,7.237303,29.211178
0,mae,19,0.1,8.670424,27.251757
0,mae,19,0.15,9.45119,25.831627
0,mse,19,0.05,5.361449,49.127384
0,mse,19,0.075,5.39032,49.602192
0,mse,19,0.1,7.248106,43.523186
0,mse,19,0.15,7.477214,39.391327
0,mae,20,0.05,7.091557,28.532545
0,mae,20,0.075,7.27459,28.552406
0,mae,20,0.1,8.451935,27.985737
0,mae,20,0.15,9.330272,26.268036
0,mse,20,0.05,5.426017,47.656609
0,mse,20,0.075,5.326227,47.483627
0,mse,20,0.1,6.176646,46.152401
0,mse,20,0.15,7.319309,41.305321
0,mae,21,0.05,7.332176,28.3661
0,mae,21,0.075,7.621281,28.306864
0,mae,21,0.1,8.711277,26.701347
0,mae,21,0.15,9.595828,25.784214
0,mse,21,0.05,5.939206,47.238541
0,mse,21,0.075,5.986352,47.209366
0,mse,21,0.1,6.953622,42.775902
0,mse,21,0.15,7.880198,40.578499
0,mae,22,0.05,7.469819,27.862343
0,mae,22,0.075,8.098321,27.755371
0,mae,22,0.1,9.338991,26.715368
0,mae,22,0.15,9.884331,25.89418
0,mse,22,0.05,6.187374,45.720711
0,mse,22,0.075,6.730483,45.44622
0,mse,22,0.1,8.006418,43.159317
0,mse,22,0.15,8.181734,41.562393
0,mae,23,0.05,7.601548,28.917282
0,mae,23,0.075,7.800592,28.834906
0,mae,23,0.1,8.560766,26.974133
0,mae,23,0.15,9.826235,25.633585
0,mse,23,0.05,6.328758,48.015312
0,mse,23,0.075,6.601935,47.811092
0,mse,23,0.1,7.158421,43.099525
0,mse,23,0.15,8.237028,39.758648
1,mae,0,0.05,13.824802,35.652679
1,mae,0,0.075,15.964173,35.637703
1,mae,0,0.1,16.109783,34.369797
1,mae,0,0.15,17.241575,33.617142
1,mse,0,0.05,14.875107,76.52018
1,mse,0,0.075,17.907104,76.099693
1,mse,0,0.1,18.207043,71.174957
1,mse,0,0.15,21.786741,68.838753
1,mae,1,0.05,13.815691,35.393364
1,mae,1,0.075,14.74769,35.22496
1,mae,1,0.1,15.122581,33.435238
1,mae,1,0.15,16.769562,32.692738
1,mse,1,0.05,14.794918,74.452805
1,mse,1,0.075,15.889898,73.777008
1,mse,1,0.1,17.555626,66.532509
1,mse,1,0.15,21.191023,63.993305
1,mae,2,0.05,13.969004,35.795143
1,mae,2,0.075,14.023756,35.7995
1,mae,2,0.1,14.317702,33.523884
1,mae,2,0.15,14.768579,31.624443
1,mse,2,0.05,14.735134,76.222366
1,mse,2,0.075,14.734348,76.33429
1,mse,2,0.1,15.583872,67.414658
1,mse,2,0.15,17.497433,60.549786
1,mae,3,0.05,14.188652,36.415428
1,mae,3,0.075,15.009248,36.39315
1,mae,3,0.1,15.633692,34.922066
1,mae,3,0.15,17.255791,33.4501
1,mse,3,0.05,16.262939,78.423462
1,mse,3,0.075,17.307491,78.23703
1,mse,3,0.1,18.239883,72.522972
1,mse,3,0.15,21.652287,66.878693
1,mae,4,0.05,13.2915,35.732403
1,mae,4,0.075,14.630373,35.623631
1,mae,4,0.1,15.996538,34.015846
1,mae,4,0.15,17.415047,32.821198
1,mse,4,0.05,14.169968,76.08754
1,mse,4,0.075,16.342466,75.722214
1,mse,4,0.1,18.336533,69.575005
1,mse,4,0.15,21.300552,65.330742
1,mae,5,0.05,13.256565,36.584232
1,mae,5,0.075,14.510934,36.638775
1,mae,5,0.1,15.736914,34.876793
1,mae,5,0.15,16.697628,33.139961
1,mse,5,0.05,14.127398,78.983322
1,mse,5,0.075,16.437428,79.104416
1,mse,5,0.1,18.841358,72.776291
1,mse,5,0.15,20.510828,65.680321
1,mae,6,0.05,15.179407,36.598701
1,mae,6,0.075,14.249648,36.665409
1,mae,6,0.1,15.057567,35.255898
1,mae,6,0.15,16.385862,33.603191
1,mse,6,0.05,17.301231,80.934448
1,mse,6,0.075,16.000336,81.233025
1,mse,6,0.1,17.849154,75.39949
1,mse,6,0.15,20.21397,69.372948
1,mae,7,0.05,13.095248,36.124969
1,mae,7,0.075,14.762636,36.143944
1,mae,7,0.1,15.869918,34.655937
1,mae,7,0.15,16.654375,32.626369
1,mse,7,0.05,13.922319,77.665268
1,mse,7,0.075,17.189613,77.753235
1,mse,7,0.1,19.150627,72.31102
1,mse,7,0.15,21.389446,65.530342
1,mae,8,0.05,13.563207,36.226124
1,mae,8,0.075,14.096528,36.228348
1,mae,8,0.1,14.262008,34.427605
1,mae,8,0.15,13.427619,32.40604
1,mse,8,0.05,13.547804,80.892212
1,mse,8,0.075,14.05986,80.953682
1,mse,8,0.1,13.866767,73.359856
1,mse,8,0.15,12.460228,65.74498
1,mae,9,0.05,13.710716,35.394356
1,mae,9,0.075,14.022293,35.098854
1,mae,9,0.1,13.983709,33.363625
1,mae,9,0.15,15.09873,32.327339
1,mse,9,0.05,14.878717,76.478134
1,mse,9,0.075,15.502905,75.342422
1,mse,9,0.1,15.622154,69.60424
1,mse,9,0.15,17.607958,64.744461
1,mae,10,0.05,14.143149,36.034969
1,mae,10,0.075,14.451206,35.828121
1,mae,10,0.1,14.887462,33.879982
1,mae,10,0.15,17.3454,30.42802
1,mse,10,0.05,15.888176,77.837029
1,mse,10,0.075,16.785233,77.285568
1,mse,10,0.1,18.088364,70.694038
1,mse,10,0.15,21.762541,58.0261
1,mae,11,0.05,13.953534,34.69894
1,mae,11,0.075,14.028816,34.923569
1,mae,11,0.1,15.036394,34.21674
1,mae,11,0.15,16.022587,32.187428
1,mse,11,0.05,14.687105,72.203094
1,mse,11,0.075,15.393262,73.155159
1,mse,11,0.1,16.719173,71.058395
1,mse,11,0.15,19.145676,63.421852
1,mae,12,0.05,14.093668,35.024429
1,mae,12,0.075,14.523147,35.30896
1,mae,12,0.1,14.673592,34.151657
1,mae,12,0.15,15.278246,32.357544
1,mse,12,0.05,15.64271,75.151176
1,mse,12,0.075,16.160725,75.969742
1,mse,12,0.1,16.570963,71.008423
1,mse,12,0.15,17.145622,65.061394
1,mae,13,0.05,13.542099,35.834709
1,mae,13,0.075,14.152163,35.748314
1,mae,13,0.1,14.917704,33.827286
1,mae,13,0.15,15.697134,31.669579
1,mse,13,0.05,13.281815,78.006516
1,mse,13,0.075,14.53131,77.47525
1,mse,13,0.1,16.668152,70.231712
1,mse,13,0.15,18.409016,62.387794
1,mae,14,0.05,13.329161,36.310555
1,mae,14,0.075,14.472322,36.360176
1,mae,14,0.1,15.595468,35.233967
1,mae,14,0.15,16.186609,33.66893
1,mse,14,0.05,12.989586,79.0634
1,mse,14,0.075,15.374315,79.488274
1,mse,14,0.1,18.247074,75.294754
1,mse,14,0.15,18.966656,68.315964
1,mae,15,0.05,14.151098,35.677124
1,mae,15,0.075,15.290893,35.654762
1,mae,15,0.1,15.572531,34.733768
1,mae,15,0.15,16.265265,33.34848
1,mse,15,0.05,15.436968,77.00264
1,mse,15,0.075,17.631063,76.921623
1,mse,15,0.1,18.325994,73.627258
1,mse,15,0.15,18.955597,68.806511
1,mae,16,0.05,13.976934,35.571201
1,mae,16,0.075,15.380423,35.787319
1,mae,16,0.1,15.392048,34.208973
1,mae,16,0.15,16.350725,33.11311
1,mse,16,0.05,15.527187,77.160187
1,mse,16,0.075,18.033886,77.50367
1,mse,16,0.1,18.318295,71.432968
1,mse,16,0.15,19.960808,67.955109
1,mae,17,0.05,13.955436,35.720558
1,mae,17,0.075,14.493566,35.835423
1,mae,17,0.1,15.296535,34.119514
1,mae,17,0.15,15.872739,31.975931
1,mse,17,0.05,15.463161,77.215378
1,mse,17,0.075,16.437244,77.651901
1,mse,17,0.1,17.660072,71.901436
1,mse,17,0.15,18.504704,63.849846
1,mae,18,0.05,13.129931,36.140556
1,mae,18,0.075,14.306046,36.086472
1,mae,18,0.1,15.25166,34.844612
1,mae,18,0.15,15.710579,32.487801
1,mse,18,0.05,13.935661,78.372086
1,mse,18,0.075,16.22378,77.838806
1,mse,18,0.1,18.654026,73.94133
1,mse,18,0.15,18.895025,64.863541
1,mae,19,0.05,13.04937,36.835873
1,mae,19,0.075,13.420544,37.0886
1,mae,19,0.1,15.337584,34.875275
1,mae,19,0.15,16.336082,33.295113
1,mse,19,0.05,14.349571,81.215981
1,mse,19,0.075,14.2436,81.889
1,mse,19,0.1,17.435888,73.994926
1,mse,19,0.15,19.781467,68.181458
1,mae,20,0.05,13.947145,36.443527
1,mae,20,0.075,14.456293,36.870853
1,mae,20,0.1,15.285862,34.900318
1,mae,20,0.15,16.940693,32.720196
1,mse,20,0.05,15.234565,80.634804
1,mse,20,0.075,16.139536,82.048599
1,mse,20,0.1,17.844851,75.956291
1,mse,20,0.15,20.703276,68.223083
1,mae,21,0.05,14.213673,36.475151
1,mae,21,0.075,14.723945,36.488552
1,mae,21,0.1,15.318552,35.634186
1,mae,21,0.15,16.443768,33.237274
1,mse,21,0.05,16.553177,80.418457
1,mse,21,0.075,16.887785,80.379463
1,mse,21,0.1,17.377949,77.756393
1,mse,21,0.15,19.788916,68.248199
1,mae,22,0.05,13.452702,35.858105
1,mae,22,0.075,13.569965,36.047363
1,mae,22,0.1,15.11644,33.788185
1,mae,22,0.15,17.057705,32.716957
1,mse,22,0.05,14.513687,78.078819
1,mse,22,0.075,14.614923,79.000015
1,mse,22,0.1,16.560101,69.466446
1,mse,22,0.15,21.411907,65.000427
1,mae,23,0.05,13.923437,36.178726
1,mae,23,0.075,14.198788,36.28788
1,mae,23,0.1,15.040674,34.977673
1,mae,23,0.15,17.123404,32.395546
1,mse,23,0.05,15.883321,78.932526
1,mse,23,0.075,16.271765,79.209724
1,mse,23,0.1,17.600269,75.510536
1,mse,23,0.15,21.145588,65.546677
2,mae,0,0.05,8.442802,20.520792
2,mae,0,0.075,9.604191,20.363285
2,mae,0,0.1,9.830477,18.576359
2,mae,0,0.15,12.713329,18.21801
2,mse,0,0.05,8.293473,25.935358
2,mse,0,0.075,9.377775,25.499475
2,mse,0,0.1,8.91361,21.207344
2,mse,0,0.15,12.542734,20.363056
2,mae,1,0.05,7.805068,19.632145
2,mae,1,0.075,8.187868,19.509941
2,mae,1,0.1,10.07033,18.614874
2,mae,1,0.15,11.419659,17.939833
2,mse,1,0.05,6.899405,23.814093
2,mse,1,0.075,6.599672,23.346912
2,mse,1,0.1,8.841795,21.711533
2,mse,1,0.15,10.273186,19.828159
2,mae,2,0.05,8.479338,19.511322
2,mae,2,0.075,9.698963,19.404795
2,mae,2,0.1,10.08914,18.559637
2,mae,2,0.15,10.564554,17.4758
2,mse,2,0.05,7.795699,23.578962
2,mse,2,0.075,9.072161,23.224194
2,mse,2,0.1,9.20768,21.341217
2,mse,2,0.15,9.205858,19.18103
2,mae,3,0.05,7.420812,20.423191
2,mae,3,0.075,8.796714,20.339283
2,mae,3,0.1,9.580046,19.571568
2,mae,3,0.15,11.557257,18.359304
2,mse,3,0.05,6.649942,26.272732
2,mse,3,0.075,7.911884,26.076923
2,mse,3,0.1,8.585803,24.037201
2,mse,3,0.15,10.59898,21.009628
2,mae,4,0.05,6.738814,20.629013
2,mae,4,0.075,7.509739,20.651615
2,mae,4,0.1,8.427551,19.537968
2,mae,4,0.15,10.396276,18.186047
