batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.069139,25.882792
0,mae,0,0.075,10.885585,25.534004
0,mae,0,0.1,13.510655,22.385624
0,mae,0,0.15,14.487822,20.20586
0,mse,0,0.05,7.485209,40.251949
0,mse,0,0.075,8.487417,39.22776
0,mse,0,0.1,12.536475,30.456532
0,mse,0,0.15,14.757631,25.164543
0,mae,1,0.05,8.89695,27.626667
0,mae,1,0.075,9.941904,27.382799
0,mae,1,0.1,11.594732,24.611439
0,mae,1,0.15,13.603795,23.043455
0,mse,1,0.05,6.377677,45.045376
0,mse,1,0.075,7.805151,44.458794
0,mse,1,0.1,10.04054,36.520042
0,mse,1,0.15,13.299594,32.216049
0,mae,2,0.05,8.227199,27.474083
0,mae,2,0.075,8.715069,27.045158
0,mae,2,0.1,11.026352,24.508953
0,mae,2,0.15,13.051966,22.190147
0,mse,2,0.05,5.707324,43.961185
0,mse,2,0.075,6.328842,43.25769
0,mse,2,0.1,9.318007,35.571175
0,mse,2,0.15,12.749817,29.936487
0,mae,3,0.05,8.236279,26.658756
0,mae,3,0.075,8.705461,26.723755
0,mae,3,0.1,10.469603,24.939835
0,mae,3,0.15,12.400051,23.144333
0,mse,3,0.05,5.243942,42.021557
0,mse,3,0.075,5.764502,41.7929
0,mse,3,0.1,8.679846,36.707424
0,mse,3,0.15,11.802344,31.528896
0,mae,4,0.05,8.435553,26.209969
0,mae,4,0.075,9.537535,26.088406
0,mae,4,0.1,11.091103,24.776585
0,mae,4,0.15,12.405897,22.557693
0,mse,4,0.05,6.094845,40.739853
0,mse,4,0.075,7.274535,40.409336
0,mse,4,0.1,9.424927,36.872971
0,mse,4,0.15,11.067553,30.483906
0,mae,5,0.05,9.325442,27.003946
0,mae,5,0.075,9.404355,26.581757
0,mae,5,0.1,10.175627,24.5177
0,mae,5,0.15,11.858212,23.05043
0,mse,5,0.05,6.99886,43.112053
0,mse,5,0.075,7.172367,41.860199
0,mse,5,0.1,8.077031,36.025719
0,mse,5,0.15,10.269774,32.457897
0,mae,6,0.05,8.161665,27.15033
0,mae,6,0.075,8.420546,26.816488
0,mae,6,0.1,10.144526,25.434166
0,mae,6,0.15,11.343239,23.523594
0,mse,6,0.05,5.163205,43.28791
0,mse,6,0.075,5.342699,42.639366
0,mse,6,0.1,7.131097,38.716347
0,mse,6,0.15,8.864706,33.949696
0,mae,7,0.05,7.590115,27.193489
0,mae,7,0.075,8.069887,27.123001
0,mae,7,0.1,9.034292,24.682547
0,mae,7,0.15,10.77408,22.996574
0,mse,7,0.05,4.639726,43.747414
0,mse,7,0.075,5.034184,43.361481
0,mse,7,0.1,5.877092,37.359112
0,mse,7,0.15,8.447256,32.521912
0,mae,8,0.05,7.644345,26.395714
0,mae,8,0.075,7.603575,26.12093
0,mae,8,0.1,9.217361,24.449394
0,mae,8,0.15,10.645468,21.997953
0,mse,8,0.05,4.930588,41.944389
0,mse,8,0.075,4.694388,40.790424
0,mse,8,0.1,6.139275,36.534668
0,mse,8,0.15,8.568573,30.284571
0,mae,9,0.05,8.254622,26.464111
0,mae,9,0.075,9.36195,26.120571
0,mae,9,0.1,10.36771,24.445709
0,mae,9,0.15,11.971972,22.170595
0,mse,9,0.05,5.44272,41.276825
0,mse,9,0.075,6.732129,40.263657
0,mse,9,0.1,7.769176,35.216946
0,mse,9,0.15,10.225221,29.683613
0,mae,10,0.05,7.197989,27.07523
0,mae,10,0.075,7.886017,26.950056
0,mae,10,0.1,10.015471,24.949654
0,mae,10,0.15,11.83641,23.137493
0,mse,10,0.05,4.144342,42.974876
0,mse,10,0.075,4.76821,42.683861
0,mse,10,0.1,6.92908,37.370285
0,mse,10,0.15,9.817291,32.703136
0,mae,11,0.05,7.529521,26.506443
0,mae,11,0.075,8.171871,26.012241
0,mae,11,0.1,10.425993,24.115135
0,mae,11,0.15,12.832628,22.377296
0,mse,11,0.05,4.530122,41.798367
0,mse,11,0.075,5.109656,40.540329
0,mse,11,0.1,7.877546,35.540016
0,mse,11,0.15,11.488934,30.892483
0,mae,12,0.05,7.647084,27.373844
0,mae,12,0.075,8.642725,27.301529
0,mae,12,0.1,10.641519,24.50411
0,mae,12,0.15,11.730898,21.600681
0,mse,12,0.05,4.395075,44.76252
0,mse,12,0.075,5.433578,44.27375
0,mse,12,0.1,8.336299,36.567341
0,mse,12,0.15,9.98824,29.193039
0,mae,13,0.05,8.406981,27.445759
0,mae,13,0.075,8.879126,27.376419
0,mae,13,0.1,10.759272,24.164356
0,mae,13,0.15,12.91419,21.461348
0,mse,13,0.05,5.303461,44.822281
0,mse,13,0.075,5.860579,44.526176
0,mse,13,0.1,8.453685,36.083572
0,mse,13,0.15,11.780088,29.606598
0,mae,14,0.05,7.828033,26.721846
0,mae,14,0.075,8.836511,26.886173
0,mae,14,0.1,10.649288,24.083212
0,mae,14,0.15,12.717857,21.178076
0,mse,14,0.05,4.679174,42.572853
0,mse,14,0.075,5.781834,43.285179
0,mse,14,0.1,8.20546,36.123718
0,mse,14,0.15,11.185661,28.323513
0,mae,15,0.05,7.492827,26.295021
0,mae,15,0.075,7.546241,26.1772
0,mae,15,0.1,11.073242,22.715389
0,mae,15,0.15,13.300095,19.849976
0,mse,15,0.05,4.207627,41.590546
0,mse,15,0.075,4.223379,41.433334
0,mse,15,0.1,8.496725,31.827766
0,mse,15,0.15,12.025887,25.873234
0,mae,16,0.05,7.350313,26.566149
0,mae,16,0.075,8.368663,26.369383
0,mae,16,0.1,9.743771,23.937332
0,mae,16,0.15,12.412838,21.943039
0,mse,16,0.05,3.876876,42.278534
0,mse,16,0.075,4.79493,41.741264
0,mse,16,0.1,6.482049,35.670311
0,mse,16,0.15,10.52157,31.424486
0,mae,17,0.05,8.522314,26.055157
0,mae,17,0.075,8.658775,25.875883
0,mae,17,0.1,10.899719,23.548149
0,mae,17,0.15,13.07737,21.302879
0,mse,17,0.05,5.090768,40.092815
0,mse,17,0.075,5.206819,40.150272
0,mse,17,0.1,8.286806,34.466003
0,mse,17,0.15,11.814629,28.81039
0,mae,18,0.05,7.482764,26.952404
0,mae,18,0.075,8.428223,26.626793
0,mae,18,0.1,11.085545,24.021633
0,mae,18,0.15,13.820446,22.695526
0,mse,18,0.05,4.411834,42.322437
0,mse,18,0.075,5.454593,41.124992
0,mse,18,0.1,8.875732,34.232353
0,mse,18,0.15,13.541039,31.303467
0,mae,19,0.05,8.121927,27.021727
0,mae,19,0.075,8.93475,26.711903
0,mae,19,0.1,11.266246,24.741686
0,mae,19,0.15,12.809999,22.832474
0,mse,19,0.05,4.917173,43.477913
0,mse,19,0.075,6.070844,42.596786
0,mse,19,0.1,9.161624,36.976219
0,mse,19,0.15,11.280254,32.073418
0,mae,20,0.05,7.672966,26.102634
0,mae,20,0.075,8.685675,25.811947
0,mae,20,0.1,10.960718,24.272902
0,mae,20,0.15,12.458739,22.116711
0,mse,20,0.05,4.38245,41.039639
0,mse,20,0.075,5.426076,40.477539
0,mse,20,0.1,8.784979,35.49305
0,mse,20,0.15,11.292692,30.513596
0,mae,21,0.05,8.235829,28.079979
0,mae,21,0.075,8.704974,27.747398
0,mae,21,0.1,10.776302,25.140667
0,mae,21,0.15,13.015623,22.756958
0,mse,21,0.05,5.361876,46.746429
0,mse,21,0.075,5.877206,45.493988
0,mse,21,0.1,8.609868,38.292351
0,mse,21,0.15,12.466187,32.984035
0,mae,22,0.05,8.629844,28.213047
0,mae,22,0.075,9.8277,27.995743
0,mae,22,0.1,10.704041,25.694059
0,mae,22,0.15,12.068031,22.433661
0,mse,22,0.05,6.050144,46.76091
0,mse,22,0.075,7.045696,45.73455
0,mse,22,0.1,8.481228,39.768101
0,mse,22,0.15,10.045238,31.252117
0,mae,23,0.05,8.84598,26.400858
0,mae,23,0.075,9.015291,26.29406
0,mae,23,0.1,10.930564,25.14974
0,mae,23,0.15,12.730118,22.621559
0,mse,23,0.05,6.238753,41.158463
0,mse,23,0.075,6.764014,40.779518
0,mse,23,0.1,9.389134,37.857319
0,mse,23,0.15,12.420687,31.329901
1,mae,0,0.05,14.165893,31.970961
1,mae,0,0.075,15.606812,31.649624
1,mae,0,0.1,17.539667,29.341625
1,mae,0,0.15,19.473503,27.487221
1,mse,0,0.05,16.33672,63.37281
1,mse,0,0.075,18.53861,61.717461
1,mse,0,0.1,25.218159,53.572422
1,mse,0,0.15,29.998379,47.11644
1,mae,1,0.05,13.975185,33.836166
1,mae,1,0.075,15.035983,33.499016
1,mae,1,0.1,16.570107,29.634895
1,mae,1,0.15,18.993477,28.165291
1,mse,1,0.05,15.471262,69.88398
1,mse,1,0.075,17.165829,68.501038
1,mse,1,0.1,22.272852,54.800198
1,mse,1,0.15,28.840637,50.503136
1,mae,2,0.05,14.735237,31.31146
1,mae,2,0.075,14.864258,30.794197
1,mae,2,0.1,16.909597,29.63467
1,mae,2,0.15,18.525423,26.069096
1,mse,2,0.05,18.530422,60.350586
1,mse,2,0.075,18.028196,58.686737
1,mse,2,0.1,23.855721,55.417549
1,mse,2,0.15,28.013208,44.018532
1,mae,3,0.05,14.210577,31.412457
1,mae,3,0.075,15.076966,31.09565
1,mae,3,0.1,18.167837,28.485413
1,mae,3,0.15,19.022636,26.345352
1,mse,3,0.05,16.533337,61.805405
1,mse,3,0.075,17.330376,61.109062
1,mse,3,0.1,25.201235,51.180534
1,mse,3,0.15,28.240274,44.021023
1,mae,4,0.05,14.046805,29.646908
