batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.961118,25.44685
0,mae,0,0.075,9.594873,25.44817
0,mae,0,0.1,10.922512,23.647594
0,mae,0,0.15,12.334476,21.179306
0,mse,0,0.05,6.650452,38.15081
0,mse,0,0.075,7.422395,38.214714
0,mse,0,0.1,9.55134,33.3713
0,mse,0,0.15,11.330861,27.026703
0,mae,1,0.05,9.342564,25.195385
0,mae,1,0.075,10.087458,25.296024
0,mae,1,0.1,11.129326,23.000076
0,mae,1,0.15,13.002249,20.967983
0,mse,1,0.05,7.107205,37.808823
0,mse,1,0.075,7.793873,38.016464
0,mse,1,0.1,9.540003,32.491657
0,mse,1,0.15,12.973972,27.195356
0,mae,2,0.05,9.006628,24.529873
0,mae,2,0.075,9.831057,24.721003
0,mae,2,0.1,11.638803,22.940369
0,mae,2,0.15,12.870464,20.943417
0,mse,2,0.05,6.835217,36.313923
0,mse,2,0.075,8.302238,36.349163
0,mse,2,0.1,10.543712,31.723381
0,mse,2,0.15,12.858643,26.591656
0,mae,3,0.05,8.725559,24.808079
0,mae,3,0.075,9.812582,24.802979
0,mae,3,0.1,11.753529,23.312626
0,mae,3,0.15,12.899237,22.270903
0,mse,3,0.05,6.855412,36.286484
0,mse,3,0.075,8.549421,36.328949
0,mse,3,0.1,11.267694,32.343605
0,mse,3,0.15,12.64415,30.018393
0,mae,4,0.05,9.179888,25.148804
0,mae,4,0.075,9.518589,25.055559
0,mae,4,0.1,10.535501,22.982119
0,mae,4,0.15,11.33162,21.74543
0,mse,4,0.05,7.503821,36.77037
0,mse,4,0.075,7.685286,36.581669
0,mse,4,0.1,9.269279,31.403473
0,mse,4,0.15,10.168302,29.087141
0,mae,5,0.05,8.578957,24.470856
0,mae,5,0.075,9.047755,24.670334
0,mae,5,0.1,10.806293,23.213675
0,mae,5,0.15,11.749294,21.797409
0,mse,5,0.05,6.580543,35.040554
0,mse,5,0.075,7.527119,35.741882
0,mse,5,0.1,10.015946,32.238228
0,mse,5,0.15,10.783474,28.972328
0,mae,6,0.05,8.345176,24.871191
0,mae,6,0.075,9.310751,24.597363
0,mae,6,0.1,10.588532,22.829815
0,mae,6,0.15,12.186468,21.522907
0,mse,6,0.05,5.763543,35.990486
0,mse,6,0.075,7.194074,34.89883
0,mse,6,0.1,8.821296,30.023962
0,mse,6,0.15,11.858673,27.334276
0,mae,7,0.05,8.614912,25.713902
0,mae,7,0.075,8.599504,25.660728
0,mae,7,0.1,9.831112,23.372021
0,mae,7,0.15,11.04706,21.845388
0,mse,7,0.05,6.072932,38.086079
0,mse,7,0.075,6.174994,37.866898
0,mse,7,0.1,7.603982,32.182518
0,mse,7,0.15,9.186813,28.366579
0,mae,8,0.05,8.528471,25.357601
0,mae,8,0.075,8.655909,25.223984
0,mae,8,0.1,10.573322,23.614355
0,mae,8,0.15,12.127716,21.289165
0,mse,8,0.05,6.513397,36.736435
0,mse,8,0.075,6.621836,36.269531
0,mse,8,0.1,9.358336,32.095135
0,mse,8,0.15,11.386688,26.673962
0,mae,9,0.05,8.106121,26.004751
0,mae,9,0.075,8.259459,26.000933
0,mae,9,0.1,9.828552,23.868538
0,mae,9,0.15,10.895289,21.986534
0,mse,9,0.05,5.825943,39.19883
0,mse,9,0.075,5.990622,39.305237
0,mse,9,0.1,7.528344,33.405376
0,mse,9,0.15,8.960647,28.789291
0,mae,10,0.05,8.53256,25.438065
0,mae,10,0.075,8.887403,25.533236
0,mae,10,0.1,10.734861,23.517349
0,mae,10,0.15,11.993556,21.118542
0,mse,10,0.05,6.059746,37.769588
0,mse,10,0.075,6.538338,37.936852
0,mse,10,0.1,8.75265,33.122856
0,mse,10,0.15,10.666025,27.457685
0,mae,11,0.05,9.457636,24.4002
0,mae,11,0.075,9.619591,24.291773
0,mae,11,0.1,11.941685,22.14229
0,mae,11,0.15,13.542996,19.779455
0,mse,11,0.05,7.415236,35.175346
0,mse,11,0.075,7.300494,34.879803
0,mse,11,0.1,10.702065,28.815376
0,mse,11,0.15,12.996428,23.070568
0,mae,12,0.05,8.556715,25.474731
0,mae,12,0.075,9.07402,25.642822
0,mae,12,0.1,11.465441,24.078644
0,mae,12,0.15,13.256564,21.212564
0,mse,12,0.05,6.096768,38.308441
0,mse,12,0.075,6.194442,38.686359
0,mse,12,0.1,9.319903,33.724182
0,mse,12,0.15,12.506832,26.786833
0,mae,13,0.05,9.131834,25.026442
0,mae,13,0.075,9.402412,25.269888
0,mae,13,0.1,11.739664,23.179167
0,mae,13,0.15,13.27373,21.026016
0,mse,13,0.05,6.623037,37.015038
0,mse,13,0.075,6.624447,37.573803
0,mse,13,0.1,9.70672,32.664139
0,mse,13,0.15,12.463274,27.560501
0,mae,14,0.05,8.277512,25.480421
0,mae,14,0.075,8.887333,25.757023
0,mae,14,0.1,12.333401,23.42514
0,mae,14,0.15,13.305573,21.160484
0,mse,14,0.05,5.100792,37.878841
0,mse,14,0.075,5.765653,38.37262
0,mse,14,0.1,10.244961,32.393143
0,mse,14,0.15,12.220703,27.45862
0,mae,15,0.05,6.931703,24.627577
0,mae,15,0.075,7.817032,24.391653
0,mae,15,0.1,11.084093,22.168779
0,mae,15,0.15,12.580215,20.424175
0,mse,15,0.05,3.730075,35.835606
0,mse,15,0.075,4.59515,35.29422
0,mse,15,0.1,9.337197,30.106607
0,mse,15,0.15,11.846888,25.90106
0,mae,16,0.05,6.994208,25.352909
0,mae,16,0.075,7.355083,25.249531
0,mae,16,0.1,10.603898,22.720154
0,mae,16,0.15,12.969376,20.173374
0,mse,16,0.05,3.885308,38.249073
0,mse,16,0.075,4.349409,37.826813
0,mse,16,0.1,8.443871,31.623211
0,mse,16,0.15,12.027468,25.283974
0,mae,17,0.05,7.317655,25.52578
0,mae,17,0.075,7.108814,25.230803
0,mae,17,0.1,10.013626,23.126965
0,mae,17,0.15,12.060597,21.101242
0,mse,17,0.05,3.835809,38.14843
0,mse,17,0.075,3.750435,37.327324
0,mse,17,0.1,7.700627,32.247776
0,mse,17,0.15,10.835741,28.196407
0,mae,18,0.05,7.406551,26.771547
0,mae,18,0.075,7.903496,26.535637
0,mae,18,0.1,9.909379,25.201523
0,mae,18,0.15,10.973122,22.010464
0,mse,18,0.05,3.974992,41.730515
0,mse,18,0.075,4.556442,41.143219
0,mse,18,0.1,7.181433,38.003216
0,mse,18,0.15,8.264207,30.804981
0,mae,19,0.05,6.792905,26.916656
0,mae,19,0.075,7.054994,26.947227
0,mae,19,0.1,9.335451,23.394688
0,mae,19,0.15,11.958876,22.260351
0,mse,19,0.05,3.495426,43.208302
0,mse,19,0.075,3.722478,42.864204
0,mse,19,0.1,6.393506,33.364037
0,mse,19,0.15,10.60232,30.213568
0,mae,20,0.05,8.220417,25.844503
0,mae,20,0.075,8.813197,25.346394
