dataset,attr_method,metric,lookback,comp,suff
electricity,tsr,mae,24,17.24,21.06
electricity,tsr,mae,48,14.26,15.61
electricity,winIT,mae,24,14.38,22.97
electricity,winIT,mae,48,11.47,17.86
electricity,wtsr,mae,24,17.88,20.68
electricity,wtsr,mae,48,14.85,15.26
mimic_iii,tsr,auc,24,0.42,0.39
mimic_iii,tsr,auc,36,0.5,0.52
mimic_iii,winIT,auc,24,0.45,0.37
mimic_iii,winIT,auc,36,0.55,0.45
mimic_iii,wtsr,auc,24,0.41,0.37
mimic_iii,wtsr,auc,36,0.51,0.51
traffic,tsr,mae,24,11.61,23.04
traffic,tsr,mae,48,11.01,22.4
traffic,winIT,mae,24,9.1,25.46
traffic,winIT,mae,48,7.5,26.12
traffic,wtsr,mae,24,11.39,23.27
traffic,wtsr,mae,48,11.32,22.71
