dataset,model,attr_method,itr_no,time
electricity,DLinear,feature_ablation,1,0:01:19.521756
electricity,DLinear,feature_ablation,2,0:01:12.220334
electricity,DLinear,feature_ablation,3,0:01:13.683387
electricity,DLinear,augmented_occlusion,1,0:01:20.533945
electricity,DLinear,augmented_occlusion,2,0:01:19.195934
electricity,DLinear,augmented_occlusion,3,0:01:21.052063
electricity,DLinear,feature_permutation,1,0:01:18.927034
electricity,DLinear,feature_permutation,2,0:01:16.337329
electricity,DLinear,feature_permutation,3,0:01:16.829400
electricity,DLinear,integrated_gradients,1,0:01:39.691657
electricity,DLinear,integrated_gradients,2,0:01:38.396613
electricity,DLinear,integrated_gradients,3,0:01:38.952749
electricity,DLinear,gradient_shap,1,0:00:56.494674
electricity,DLinear,gradient_shap,2,0:00:57.138858
electricity,DLinear,gradient_shap,3,0:00:58.126716
electricity,DLinear,dyna_mask,1,0
electricity,DLinear,dyna_mask,2,0
electricity,DLinear,dyna_mask,3,0
electricity,DLinear,winIT,1,0:02:09.451576
electricity,DLinear,winIT,2,0:02:10.807936
electricity,DLinear,winIT,3,0:02:12.753430
electricity,DLinear,tsr,1,0:19:33.024651
electricity,DLinear,tsr,2,0:19:12.550338
electricity,DLinear,tsr,3,0:19:02.821856
electricity,DLinear,wtsr,1,0:01:13.827884
electricity,DLinear,wtsr,2,0:01:14.368637
electricity,DLinear,wtsr,3,0:01:15.171406
electricity,MICN,feature_ablation,1,0:04:56.377585
electricity,MICN,feature_ablation,2,0:04:56.933194
electricity,MICN,feature_ablation,3,0:04:57.552186
electricity,MICN,augmented_occlusion,1,0:05:02.502004
electricity,MICN,augmented_occlusion,2,0:05:04.233697
electricity,MICN,augmented_occlusion,3,0:05:04.465373
electricity,MICN,feature_permutation,1,0:04:59.082684
electricity,MICN,feature_permutation,2,0:05:00.826021
electricity,MICN,feature_permutation,3,0:05:01.823682
electricity,MICN,integrated_gradients,1,0:05:30.988785
electricity,MICN,integrated_gradients,2,0:05:31.382236
electricity,MICN,integrated_gradients,3,0:05:31.792406
electricity,MICN,gradient_shap,1,0:03:26.527095
electricity,MICN,gradient_shap,2,0:03:26.528109
electricity,MICN,gradient_shap,3,0:03:26.725831
electricity,MICN,dyna_mask,1,0
electricity,MICN,dyna_mask,2,0
electricity,MICN,dyna_mask,3,0
electricity,MICN,winIT,1,0:05:55.282985
electricity,MICN,winIT,2,0:05:56.085435
electricity,MICN,winIT,3,0:05:56.215956
electricity,MICN,tsr,1,0:37:47.873535
electricity,MICN,tsr,2,0:37:57.896906
electricity,MICN,tsr,3,0:37:58.304250.
electricity,MICN,wtsr,1,0:04:15.857150
electricity,MICN,wtsr,2,0:04:16.243622
electricity,MICN,wtsr,3,0:04:16.374773
electricity,SegRNN,feature_ablation,1,0:01:49.205228
electricity,SegRNN,feature_ablation,2,0
electricity,SegRNN,feature_ablation,3,0
electricity,SegRNN,augmented_occlusion,1,0:01:56.193965
electricity,SegRNN,augmented_occlusion,2,0
electricity,SegRNN,augmented_occlusion,3,0
electricity,SegRNN,feature_permutation,1,0:01:53.348113
electricity,SegRNN,feature_permutation,2,0
electricity,SegRNN,feature_permutation,3,0
electricity,SegRNN,integrated_gradients,1,0:01:40.893664
electricity,SegRNN,integrated_gradients,2,0:01:38.129905
electricity,SegRNN,integrated_gradients,3,0:01:37.955640
electricity,SegRNN,gradient_shap,1,0:01:04.739805
electricity,SegRNN,gradient_shap,2,0:01:05.049561
electricity,SegRNN,gradient_shap,3,0:01:04.930120
electricity,SegRNN,dyna_mask,1,0
electricity,SegRNN,dyna_mask,2,0
electricity,SegRNN,dyna_mask,3,0
electricity,SegRNN,winIT,1,0
electricity,SegRNN,winIT,2,0
electricity,SegRNN,winIT,3,0
electricity,SegRNN,tsr,1,0
electricity,SegRNN,tsr,2,0
electricity,SegRNN,tsr,3,0
electricity,SegRNN,wtsr,1,0
electricity,SegRNN,wtsr,2,0
electricity,SegRNN,wtsr,3,0
electricity,iTransformer,feature_ablation,1,0:04:52.693523
electricity,iTransformer,feature_ablation,2,0
electricity,iTransformer,feature_ablation,3,0
electricity,iTransformer,augmented_occlusion,1,0:05:00.305363
electricity,iTransformer,augmented_occlusion,2,0
electricity,iTransformer,augmented_occlusion,3,0
electricity,iTransformer,feature_permutation,1,0:04:57.478191
electricity,iTransformer,feature_permutation,2,0
electricity,iTransformer,feature_permutation,3,0:03:10.475932
electricity,iTransformer,integrated_gradients,1,0:02:37.368381
electricity,iTransformer,integrated_gradients,2,0:02:35.208592
electricity,iTransformer,integrated_gradients,3,0:02:34.623298
electricity,iTransformer,gradient_shap,1,0:02:04.072334
electricity,iTransformer,gradient_shap,2,0:02:03.924876
electricity,iTransformer,gradient_shap,3,0:02:03.883594
electricity,iTransformer,dyna_mask,1,0
electricity,iTransformer,dyna_mask,2,0
electricity,iTransformer,dyna_mask,3,0
electricity,iTransformer,winIT,1,0
electricity,iTransformer,winIT,2,0
electricity,iTransformer,winIT,3,0:03:35.222114
electricity,iTransformer,tsr,1,0
electricity,iTransformer,tsr,2,0
electricity,iTransformer,tsr,3,0:44:31.695087
electricity,iTransformer,wtsr,1,0
electricity,iTransformer,wtsr,2,0
electricity,iTransformer,wtsr,3,0:03:27.798693
traffic,DLinear,feature_ablation,1,0:00:53.271410
traffic,DLinear,feature_ablation,2,0:00:49.461766
traffic,DLinear,feature_ablation,3,0:00:48.525051
traffic,DLinear,augmented_occlusion,1,0:00:52.980976
traffic,DLinear,augmented_occlusion,2,0:00:54.072109
traffic,DLinear,augmented_occlusion,3,0:00:53.274258
traffic,DLinear,feature_permutation,1,0:00:51.383348
traffic,DLinear,feature_permutation,2,0:00:52.204900
traffic,DLinear,feature_permutation,3,0:00:51.067590
traffic,DLinear,integrated_gradients,1,0:01:09.796374
traffic,DLinear,integrated_gradients,2,0:01:07.939584
traffic,DLinear,integrated_gradients,3,0:01:08.080822
traffic,DLinear,gradient_shap,1,0:00:39.302372
traffic,DLinear,gradient_shap,2,0:00:38.991040
traffic,DLinear,gradient_shap,3,0:00:38.828685
traffic,DLinear,dyna_mask,1,0
traffic,DLinear,dyna_mask,2,0
traffic,DLinear,dyna_mask,3,0
traffic,DLinear,winIT,1,0:01:25.641775
traffic,DLinear,winIT,2,0:01:26.167070
traffic,DLinear,winIT,3,0:01:26.834117
traffic,DLinear,tsr,1,0:12:59.522867
traffic,DLinear,tsr,2,0:12:37.486521
traffic,DLinear,tsr,3,0:12:49.808473
traffic,DLinear,wtsr,1,0:00:50.030262
traffic,DLinear,wtsr,2,0:00:50.644390
traffic,DLinear,wtsr,3,0:00:50.323680
traffic,MICN,feature_ablation,1,0:03:30.106362
traffic,MICN,feature_ablation,2,0:03:16.182047
traffic,MICN,feature_ablation,3,0:03:15.804712
traffic,MICN,augmented_occlusion,1,0:03:26.264554
traffic,MICN,augmented_occlusion,2,0:03:20.498361
traffic,MICN,augmented_occlusion,3,0:03:20.622982
traffic,MICN,feature_permutation,1,0:03:22.963266
traffic,MICN,feature_permutation,2,0:03:18.509018
traffic,MICN,feature_permutation,3,0:03:18.393249
traffic,MICN,integrated_gradients,1,0:03:44.188772
traffic,MICN,integrated_gradients,2,0:03:39.825483
traffic,MICN,integrated_gradients,3,0:03:39.508689
traffic,MICN,gradient_shap,1,0:02:18.358304
traffic,MICN,gradient_shap,2,0:02:16.426669
traffic,MICN,gradient_shap,3,0:02:16.186199
traffic,MICN,dyna_mask,1,0
traffic,MICN,dyna_mask,2,0
traffic,MICN,dyna_mask,3,0
traffic,MICN,winIT,1,0:03:56.610227
traffic,MICN,winIT,2,0:03:53.070883
traffic,MICN,winIT,3,0:03:53.180932
traffic,MICN,tsr,1,0:25:02.274435
traffic,MICN,tsr,2,0:24:58.099536
traffic,MICN,tsr,3,0:25:01.414970
traffic,MICN,wtsr,1,0:02:54.420842
traffic,MICN,wtsr,2,0:02:48.668072
traffic,MICN,wtsr,3,0:02:48.877277
traffic,SegRNN,feature_ablation,1,0:01:12.219598
traffic,SegRNN,feature_ablation,2,0
traffic,SegRNN,feature_ablation,3,0
traffic,SegRNN,augmented_occlusion,1,0:01:16.327336
traffic,SegRNN,augmented_occlusion,2,0
traffic,SegRNN,augmented_occlusion,3,0
traffic,SegRNN,feature_permutation,1,0:01:14.097283
